metric,value
traffic_instances,204201
partitions,1420416
vehicle_sequence_evaluations,11283786
platoon_sequence_evaluations,31745682
local_repairs_checked,18890172
local_repair_violations,0
zero_bound_cases,815560
positive_bound_cases,604856
violations,0
max_gap_over_bound_num,8
max_gap_over_bound_den,10
min_bound_excess_scaled,0
max_bound_excess_scaled,52
start_time,1783715163.3645022
end_time,1783715330.0706484
runtime_seconds,166.70614624023438
max_gap_over_bound,8/10
config,"{""L_values"": [3], ""check_local"": true, ""hF"": 1, ""hS_values"": [2, 3, 4], ""keep_all_optima"": true, ""max_n"": 3, ""max_release"": 5, ""max_total_vehicles"": 6, ""stop_on_counterexample"": true}"
platform,"{""machine"": ""x86_64"", ""processor"": ""x86_64"", ""python"": ""3.12.9"", ""release"": ""6.8.0-52-generic"", ""system"": ""Linux""}"
counterexample_found,False
local_repair_violation_found,False
