metric,value
traffic_instances,192423
partitions,4499523
vehicle_sequence_evaluations,4874226
platoon_sequence_evaluations,36998430
repair_traces_checked,4499523
repair_steps_checked,1395323
local_repair_violations,0
indexed_bound_violations,0
bound_dominance_violations,0
indexed_zero_bound_cases,2052005
index_free_zero_bound_cases,1687215
indexed_positive_bound_cases,2447518
index_free_positive_bound_cases,2812308
max_gap_over_indexed_bound_num,2
max_gap_over_indexed_bound_den,2
max_gap_over_index_free_bound_num,8
max_gap_over_index_free_bound_den,10
min_indexed_bound_excess_scaled,0
max_indexed_bound_excess_scaled,46
min_index_free_bound_excess_scaled,0
max_index_free_bound_excess_scaled,61
total_scaled_indexed_bound,22822632
total_scaled_index_free_bound,35126546
max_scaled_bound_reduction,25
positive_equality_cases,93466
zero_equality_cases,2052005
start_time,1783726778.5136414
end_time,1783726948.347016
runtime_seconds,169.83337473869324
max_gap_over_indexed_bound,2/2
max_gap_over_index_free_bound,8/10
total_equality_cases,2145471
aggregate_indexed_bound_reduction,1 - sum(B_idx)/sum(B_0)
aggregate_indexed_bound_reduction_fraction,12303914/35126546
config,"{""L_values"": [2], ""check_repair"": true, ""hF"": 1, ""hS_values"": [2, 3, 4], ""keep_all_optima"": true, ""max_n"": 4, ""max_release"": 6, ""max_total_vehicles"": 7, ""stop_on_counterexample"": true}"
platform,"{""machine"": ""x86_64"", ""processor"": ""x86_64"", ""python"": ""3.12.9"", ""release"": ""6.8.0-52-generic"", ""system"": ""Linux""}"
indexed_counterexample_found,False
local_repair_violation_found,False
