instance_id,dimension_budget,bound_partition_index,oracle_partition_index,bound_dimension,oracle_dimension,bound_scaled_gap,oracle_scaled_gap,bound_scaled_indexed_bound,oracle_scaled_indexed_bound,bound_actual_gap,oracle_actual_gap,selection_regret
1,3,0,0,3,3,0,0,0,0,0/6,0/6,0/6
1,5,0,0,3,3,0,0,0,0,0/6,0/6,0/6
1,7,0,0,3,3,0,0,0,0,0/6,0/6,0/6
1,8,0,0,3,3,0,0,0,0,0/6,0/6,0/6
1,11,0,0,3,3,0,0,0,0,0/6,0/6,0/6
2,3,0,0,3,3,0,0,0,0,0/6,0/6,0/6
2,5,0,0,3,3,0,0,0,0,0/6,0/6,0/6
2,7,0,0,3,3,0,0,0,0,0/6,0/6,0/6
2,8,0,0,3,3,0,0,0,0,0/6,0/6,0/6
2,11,0,0,3,3,0,0,0,0,0/6,0/6,0/6
3,3,0,0,3,3,0,0,0,0,0/6,0/6,0/6
3,5,0,0,3,3,0,0,0,0,0/6,0/6,0/6
3,7,0,0,3,3,0,0,0,0,0/6,0/6,0/6
3,8,0,0,3,3,0,0,0,0,0/6,0/6,0/6
3,11,0,0,3,3,0,0,0,0,0/6,0/6,0/6
4,3,0,0,3,3,0,0,0,0,0/6,0/6,0/6
4,5,0,0,3,3,0,0,0,0,0/6,0/6,0/6
4,7,0,0,3,3,0,0,0,0,0/6,0/6,0/6
4,8,0,0,3,3,0,0,0,0,0/6,0/6,0/6
4,11,0,0,3,3,0,0,0,0,0/6,0/6,0/6
5,3,0,0,3,3,0,0,0,0,0/6,0/6,0/6
5,5,0,0,3,3,0,0,0,0,0/6,0/6,0/6
5,7,0,0,3,3,0,0,0,0,0/6,0/6,0/6
5,8,0,0,3,3,0,0,0,0,0/6,0/6,0/6
5,11,0,0,3,3,0,0,0,0,0/6,0/6,0/6
6,3,0,0,3,3,0,0,0,0,0/6,0/6,0/6
6,5,0,0,3,3,0,0,0,0,0/6,0/6,0/6
6,7,0,0,3,3,0,0,0,0,0/6,0/6,0/6
6,8,0,0,3,3,0,0,0,0,0/6,0/6,0/6
