instance_id,partition_index,L,N,counts,releases,hF,hS,dimension_budget,partition,scaled_gap,scaled_indexed_bound,scaled_index_free_bound,actual_gap,indexed_bound,index_free_bound
1,0,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,2,3,"[[3],[2],[1]]",0,0,0,0/6,0/6,0/6
1,1,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,2,5,"[[3],[1,1],[1]]",0,0,0,0/6,0/6,0/6
1,2,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,2,5,"[[1,2],[2],[1]]",0,0,0,0/6,0/6,0/6
1,3,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,2,8,"[[1,2],[1,1],[1]]",0,0,0,0/6,0/6,0/6
1,4,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,2,5,"[[2,1],[2],[1]]",0,0,0,0/6,0/6,0/6
1,5,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,2,8,"[[2,1],[1,1],[1]]",0,0,0,0/6,0/6,0/6
1,6,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,2,7,"[[1,1,1],[2],[1]]",0,0,0,0/6,0/6,0/6
1,7,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,2,11,"[[1,1,1],[1,1],[1]]",0,0,0,0/6,0/6,0/6
2,0,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,3,3,"[[3],[2],[1]]",0,0,0,0/6,0/6,0/6
2,1,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,3,5,"[[3],[1,1],[1]]",0,0,0,0/6,0/6,0/6
2,2,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,3,5,"[[1,2],[2],[1]]",0,0,0,0/6,0/6,0/6
2,3,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,3,8,"[[1,2],[1,1],[1]]",0,0,0,0/6,0/6,0/6
2,4,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,3,5,"[[2,1],[2],[1]]",0,0,0,0/6,0/6,0/6
2,5,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,3,8,"[[2,1],[1,1],[1]]",0,0,0,0/6,0/6,0/6
2,6,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,3,7,"[[1,1,1],[2],[1]]",0,0,0,0/6,0/6,0/6
2,7,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,3,11,"[[1,1,1],[1,1],[1]]",0,0,0,0/6,0/6,0/6
3,0,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,4,3,"[[3],[2],[1]]",0,0,0,0/6,0/6,0/6
3,1,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,4,5,"[[3],[1,1],[1]]",0,0,0,0/6,0/6,0/6
3,2,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,4,5,"[[1,2],[2],[1]]",0,0,0,0/6,0/6,0/6
3,3,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,4,8,"[[1,2],[1,1],[1]]",0,0,0,0/6,0/6,0/6
3,4,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,4,5,"[[2,1],[2],[1]]",0,0,0,0/6,0/6,0/6
3,5,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,4,8,"[[2,1],[1,1],[1]]",0,0,0,0/6,0/6,0/6
3,6,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,4,7,"[[1,1,1],[2],[1]]",0,0,0,0/6,0/6,0/6
3,7,3,6,"[3,2,1]","[[0,0,0],[0,0],[0]]",1,4,11,"[[1,1,1],[1,1],[1]]",0,0,0,0/6,0/6,0/6
4,0,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,2,3,"[[3],[2],[1]]",0,0,0,0/6,0/6,0/6
4,1,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,2,5,"[[3],[1,1],[1]]",0,0,0,0/6,0/6,0/6
4,2,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,2,5,"[[1,2],[2],[1]]",0,0,0,0/6,0/6,0/6
4,3,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,2,8,"[[1,2],[1,1],[1]]",0,0,0,0/6,0/6,0/6
4,4,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,2,5,"[[2,1],[2],[1]]",0,0,0,0/6,0/6,0/6
4,5,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,2,8,"[[2,1],[1,1],[1]]",0,0,0,0/6,0/6,0/6
4,6,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,2,7,"[[1,1,1],[2],[1]]",0,0,0,0/6,0/6,0/6
4,7,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,2,11,"[[1,1,1],[1,1],[1]]",0,0,0,0/6,0/6,0/6
5,0,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,3,3,"[[3],[2],[1]]",0,0,0,0/6,0/6,0/6
5,1,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,3,5,"[[3],[1,1],[1]]",0,0,0,0/6,0/6,0/6
5,2,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,3,5,"[[1,2],[2],[1]]",0,0,0,0/6,0/6,0/6
5,3,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,3,8,"[[1,2],[1,1],[1]]",0,0,0,0/6,0/6,0/6
5,4,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,3,5,"[[2,1],[2],[1]]",0,0,0,0/6,0/6,0/6
5,5,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,3,8,"[[2,1],[1,1],[1]]",0,0,0,0/6,0/6,0/6
5,6,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,3,7,"[[1,1,1],[2],[1]]",0,0,0,0/6,0/6,0/6
5,7,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,3,11,"[[1,1,1],[1,1],[1]]",0,0,0,0/6,0/6,0/6
6,0,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,4,3,"[[3],[2],[1]]",0,0,0,0/6,0/6,0/6
6,1,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,4,5,"[[3],[1,1],[1]]",0,0,0,0/6,0/6,0/6
6,2,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,4,5,"[[1,2],[2],[1]]",0,0,0,0/6,0/6,0/6
6,3,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,4,8,"[[1,2],[1,1],[1]]",0,0,0,0/6,0/6,0/6
6,4,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,4,5,"[[2,1],[2],[1]]",0,0,0,0/6,0/6,0/6
6,5,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,4,8,"[[2,1],[1,1],[1]]",0,0,0,0/6,0/6,0/6
6,6,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,4,7,"[[1,1,1],[2],[1]]",0,0,0,0/6,0/6,0/6
6,7,3,6,"[3,2,1]","[[0,0,0],[0,0],[1]]",1,4,11,"[[1,1,1],[1,1],[1]]",0,0,0,0/6,0/6,0/6
7,0,3,6,"[3,2,1]","[[0,0,0],[0,0],[2]]",1,2,3,"[[3],[2],[1]]",0,0,0,0/6,0/6,0/6
7,1,3,6,"[3,2,1]","[[0,0,0],[0,0],[2]]",1,2,5,"[[3],[1,1],[1]]",0,0,0,0/6,0/6,0/6
7,2,3,6,"[3,2,1]","[[0,0,0],[0,0],[2]]",1,2,5,"[[1,2],[2],[1]]",0,0,0,0/6,0/6,0/6
7,3,3,6,"[3,2,1]","[[0,0,0],[0,0],[2]]",1,2,8,"[[1,2],[1,1],[1]]",0,0,0,0/6,0/6,0/6
7,4,3,6,"[3,2,1]","[[0,0,0],[0,0],[2]]",1,2,5,"[[2,1],[2],[1]]",0,0,0,0/6,0/6,0/6
7,5,3,6,"[3,2,1]","[[0,0,0],[0,0],[2]]",1,2,8,"[[2,1],[1,1],[1]]",0,0,0,0/6,0/6,0/6
7,6,3,6,"[3,2,1]","[[0,0,0],[0,0],[2]]",1,2,7,"[[1,1,1],[2],[1]]",0,0,0,0/6,0/6,0/6
7,7,3,6,"[3,2,1]","[[0,0,0],[0,0],[2]]",1,2,11,"[[1,1,1],[1,1],[1]]",0,0,0,0/6,0/6,0/6
8,0,3,6,"[3,2,1]","[[0,0,0],[0,0],[2]]",1,3,3,"[[3],[2],[1]]",0,0,0,0/6,0/6,0/6
8,1,3,6,"[3,2,1]","[[0,0,0],[0,0],[2]]",1,3,5,"[[3],[1,1],[1]]",0,0,0,0/6,0/6,0/6
8,2,3,6,"[3,2,1]","[[0,0,0],[0,0],[2]]",1,3,5,"[[1,2],[2],[1]]",0,0,0,0/6,0/6,0/6
8,3,3,6,"[3,2,1]","[[0,0,0],[0,0],[2]]",1,3,8,"[[1,2],[1,1],[1]]",0,0,0,0/6,0/6,0/6
8,4,3,6,"[3,2,1]","[[0,0,0],[0,0],[2]]",1,3,5,"[[2,1],[2],[1]]",0,0,0,0/6,0/6,0/6
8,5,3,6,"[3,2,1]","[[0,0,0],[0,0],[2]]",1,3,8,"[[2,1],[1,1],[1]]",0,0,0,0/6,0/6,0/6
