experiment_group,scenario,replication,budget_type,budget,counts,hF,hS,N,partition,total_platoons,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,runtime_seconds,node_count,time_to_first_feasible,mip_gap,objective_average_delay,vehicle_level_average_delay,actual_average_gap
dimension_loss_frontier,balanced_uniform_L3,0,loss_budget,0,"[5, 5, 5]",1,2,15,"[[1, 1, 1, 1, 1], [1, 1, 2, 1], [2, 1, 2]]",12,47,75,28/75,0,0.0,0.04593300819396973,630.0,5.888938903808594e-05,0.0,2.6666666666666665,2.6666666666666665,0.0
dimension_loss_frontier,balanced_uniform_L3,0,loss_budget,29,"[5, 5, 5]",1,2,15,"[[2, 1, 1, 1], [2, 2, 1], [2, 1, 2]]",10,33,75,14/25,24,1.6,0.020676136016845703,165.0,5.7220458984375e-05,0.0,2.8,2.6666666666666665,0.1333333333333333
dimension_loss_frontier,balanced_uniform_L3,0,loss_budget,73,"[5, 5, 5]",1,2,15,"[[4, 1], [2, 2, 1], [2, 1, 2]]",8,21,75,18/25,70,4.666666666666667,0.0032699108123779297,1.0,3.2901763916015625e-05,0.0,2.8,2.6666666666666665,0.1333333333333333
dimension_loss_frontier,balanced_uniform_L3,0,loss_budget,146,"[5, 5, 5]",1,2,15,"[[4, 1], [2, 3], [2, 1, 2]]",7,16,75,59/75,101,6.733333333333333,0.0028600692749023438,1.0,2.4080276489257812e-05,0.0,2.8,2.6666666666666665,0.1333333333333333
dimension_loss_frontier,balanced_uniform_L3,0,loss_budget,219,"[5, 5, 5]",1,2,15,"[[4, 1], [2, 3], [2, 3]]",6,12,75,21/25,171,11.4,0.001138925552368164,1.0,2.4080276489257812e-05,0.0,2.8,2.6666666666666665,0.1333333333333333
dimension_loss_frontier,balanced_uniform_L3,0,loss_budget,292,"[5, 5, 5]",1,2,15,"[[4, 1], [2, 3], [2, 3]]",6,12,75,21/25,171,11.4,0.001383066177368164,1.0,2.4080276489257812e-05,0.0,2.8,2.6666666666666665,0.1333333333333333
dimension_loss_frontier,balanced_uniform_L3,0,size_budget,15,"[5, 5, 5]",1,2,15,"[[4, 1], [2, 3], [2, 3]]",6,12,75,21/25,171,11.4,0.0011091232299804688,1.0,2.4080276489257812e-05,0.0,2.8,2.6666666666666665,0.1333333333333333
dimension_loss_frontier,balanced_uniform_L3,0,size_budget,26,"[5, 5, 5]",1,2,15,"[[2, 1, 1, 1], [2, 3], [2, 1, 2]]",9,26,75,49/75,55,3.6666666666666665,0.00937509536743164,1.0,4.887580871582031e-05,0.0,2.8,2.6666666666666665,0.1333333333333333
dimension_loss_frontier,balanced_uniform_L3,0,size_budget,38,"[5, 5, 5]",1,2,15,"[[2, 1, 1, 1], [2, 2, 1], [2, 1, 2]]",10,33,75,14/25,24,1.6,0.020960092544555664,165.0,6.604194641113281e-05,0.0,2.8,2.6666666666666665,0.1333333333333333
dimension_loss_frontier,balanced_uniform_L3,0,size_budget,52,"[5, 5, 5]",1,2,15,"[[1, 1, 1, 1, 1], [1, 1, 2, 1], [2, 1, 2]]",12,47,75,28/75,0,0.0,0.046285152435302734,630.0,6.103515625e-05,0.0,2.6666666666666665,2.6666666666666665,0.0
dimension_loss_frontier,balanced_uniform_L3,0,size_budget,75,"[5, 5, 5]",1,2,15,"[[1, 1, 1, 1, 1], [1, 1, 2, 1], [2, 1, 2]]",12,47,75,28/75,0,0.0,0.04619288444519043,630.0,5.984306335449219e-05,0.0,2.6666666666666665,2.6666666666666665,0.0
dimension_loss_frontier,balanced_poisson_L3,1,loss_budget,0,"[5, 5, 5]",1,2,15,"[[3, 2], [1, 4], [1, 4]]",6,12,75,21/25,0,0.0,0.004661083221435547,1.0,3.0040740966796875e-05,0.0,5.733333333333333,5.733333333333333,0.0
dimension_loss_frontier,balanced_poisson_L3,1,loss_budget,3,"[5, 5, 5]",1,2,15,"[[3, 2], [1, 4], [1, 4]]",6,12,75,21/25,0,0.0,0.0043718814849853516,1.0,2.9802322387695312e-05,0.0,5.733333333333333,5.733333333333333,0.0
dimension_loss_frontier,balanced_poisson_L3,1,loss_budget,8,"[5, 5, 5]",1,2,15,"[[3, 2], [1, 4], [1, 4]]",6,12,75,21/25,0,0.0,0.003860950469970703,1.0,2.9087066650390625e-05,0.0,5.733333333333333,5.733333333333333,0.0
dimension_loss_frontier,balanced_poisson_L3,1,loss_budget,17,"[5, 5, 5]",1,2,15,"[[3, 2], [1, 4], [1, 4]]",6,12,75,21/25,0,0.0,0.0040438175201416016,1.0,2.9802322387695312e-05,0.0,5.733333333333333,5.733333333333333,0.0
dimension_loss_frontier,balanced_poisson_L3,1,loss_budget,26,"[5, 5, 5]",1,2,15,"[[3, 2], [1, 4], [1, 4]]",6,12,75,21/25,0,0.0,0.0041348934173583984,1.0,3.0040740966796875e-05,0.0,5.733333333333333,5.733333333333333,0.0
dimension_loss_frontier,balanced_poisson_L3,1,loss_budget,34,"[5, 5, 5]",1,2,15,"[[3, 2], [1, 4], [1, 4]]",6,12,75,21/25,0,0.0,0.004251003265380859,1.0,2.8848648071289062e-05,0.0,5.733333333333333,5.733333333333333,0.0
dimension_loss_frontier,balanced_poisson_L3,1,size_budget,15,"[5, 5, 5]",1,2,15,"[[3, 2], [1, 4], [1, 4]]",6,12,75,21/25,0,0.0,0.004287004470825195,1.0,2.9802322387695312e-05,0.0,5.733333333333333,5.733333333333333,0.0
dimension_loss_frontier,balanced_poisson_L3,1,size_budget,26,"[5, 5, 5]",1,2,15,"[[3, 2], [1, 4], [1, 4]]",6,12,75,21/25,0,0.0,0.003854990005493164,1.0,3.0040740966796875e-05,0.0,5.733333333333333,5.733333333333333,0.0
dimension_loss_frontier,balanced_poisson_L3,1,size_budget,38,"[5, 5, 5]",1,2,15,"[[3, 2], [1, 4], [1, 4]]",6,12,75,21/25,0,0.0,0.004093170166015625,1.0,2.9087066650390625e-05,0.0,5.733333333333333,5.733333333333333,0.0
dimension_loss_frontier,balanced_poisson_L3,1,size_budget,52,"[5, 5, 5]",1,2,15,"[[3, 2], [1, 4], [1, 4]]",6,12,75,21/25,0,0.0,0.00422978401184082,1.0,2.9802322387695312e-05,0.0,5.733333333333333,5.733333333333333,0.0
dimension_loss_frontier,balanced_poisson_L3,1,size_budget,75,"[5, 5, 5]",1,2,15,"[[3, 2], [1, 4], [1, 4]]",6,12,75,21/25,0,0.0,0.0043261051177978516,1.0,2.9087066650390625e-05,0.0,5.733333333333333,5.733333333333333,0.0
dimension_loss_frontier,balanced_bursty_L3,2,loss_budget,0,"[5, 5, 5]",1,2,15,"[[4, 1], [4, 1], [2, 3]]",6,12,75,21/25,0,0.0,0.0002949237823486328,0.0,2.002716064453125e-05,0.0,1.2,1.2,0.0
dimension_loss_frontier,balanced_bursty_L3,2,loss_budget,1,"[5, 5, 5]",1,2,15,"[[4, 1], [4, 1], [2, 3]]",6,12,75,21/25,0,0.0,0.00027680397033691406,0.0,1.9788742065429688e-05,0.0,1.2,1.2,0.0
dimension_loss_frontier,balanced_bursty_L3,2,loss_budget,3,"[5, 5, 5]",1,2,15,"[[4, 1], [4, 1], [2, 3]]",6,12,75,21/25,0,0.0,0.00027489662170410156,0.0,2.002716064453125e-05,0.0,1.2,1.2,0.0
dimension_loss_frontier,balanced_bursty_L3,2,loss_budget,6,"[5, 5, 5]",1,2,15,"[[4, 1], [4, 1], [2, 3]]",6,12,75,21/25,0,0.0,0.0002760887145996094,0.0,2.002716064453125e-05,0.0,1.2,1.2,0.0
dimension_loss_frontier,balanced_bursty_L3,2,loss_budget,8,"[5, 5, 5]",1,2,15,"[[4, 1], [4, 1], [2, 3]]",6,12,75,21/25,0,0.0,0.0002770423889160156,0.0,2.002716064453125e-05,0.0,1.2,1.2,0.0
dimension_loss_frontier,balanced_bursty_L3,2,loss_budget,11,"[5, 5, 5]",1,2,15,"[[4, 1], [2, 3], [2, 3]]",6,12,75,21/25,0,0.0,0.0002770423889160156,0.0,2.09808349609375e-05,0.0,1.2,1.2,0.0
dimension_loss_frontier,balanced_bursty_L3,2,size_budget,15,"[5, 5, 5]",1,2,15,"[[4, 1], [3, 2], [2, 3]]",6,12,75,21/25,0,0.0,0.00028204917907714844,0.0,2.002716064453125e-05,0.0,1.2,1.2,0.0
dimension_loss_frontier,balanced_bursty_L3,2,size_budget,26,"[5, 5, 5]",1,2,15,"[[4, 1], [3, 2], [2, 3]]",6,12,75,21/25,0,0.0,0.0002739429473876953,0.0,2.002716064453125e-05,0.0,1.2,1.2,0.0
dimension_loss_frontier,balanced_bursty_L3,2,size_budget,38,"[5, 5, 5]",1,2,15,"[[4, 1], [3, 2], [2, 3]]",6,12,75,21/25,0,0.0,0.0002751350402832031,0.0,2.002716064453125e-05,0.0,1.2,1.2,0.0
dimension_loss_frontier,balanced_bursty_L3,2,size_budget,52,"[5, 5, 5]",1,2,15,"[[4, 1], [3, 2], [2, 3]]",6,12,75,21/25,0,0.0,0.0002751350402832031,0.0,2.002716064453125e-05,0.0,1.2,1.2,0.0
dimension_loss_frontier,balanced_bursty_L3,2,size_budget,75,"[5, 5, 5]",1,2,15,"[[4, 1], [1, 4], [2, 3]]",6,12,75,21/25,0,0.0,0.00032782554626464844,0.0,2.002716064453125e-05,0.0,1.2,1.2,0.0
dimension_loss_frontier,unbalanced_uniform_L3,3,loss_budget,0,"[8, 5, 3]",1,2,16,"[[2, 1, 2, 3], [1, 1, 2, 1], [1, 1, 1]]",11,40,79,39/79,0,0.0,0.025951147079467773,225.0,4.100799560546875e-05,0.0,2.5625,2.5625,0.0
dimension_loss_frontier,unbalanced_uniform_L3,3,loss_budget,27,"[8, 5, 3]",1,2,16,"[[2, 3, 3], [1, 1, 2, 1], [2, 1]]",9,26,79,53/79,24,1.5,0.012151956558227539,71.0,4.601478576660156e-05,0.0,2.625,2.5625,0.0625
dimension_loss_frontier,unbalanced_uniform_L3,3,loss_budget,66,"[8, 5, 3]",1,2,16,"[[2, 3, 3], [2, 2, 1], [2, 1]]",8,21,79,58/79,37,2.3125,0.004844188690185547,1.0,3.409385681152344e-05,0.0,2.625,2.5625,0.0625
dimension_loss_frontier,unbalanced_uniform_L3,3,loss_budget,133,"[8, 5, 3]",1,2,16,"[[2, 3, 3], [2, 2, 1], [3]]",7,15,79,64/79,105,6.5625,0.00486302375793457,1.0,3.3855438232421875e-05,0.0,4.0625,2.5625,1.5
dimension_loss_frontier,unbalanced_uniform_L3,3,loss_budget,200,"[8, 5, 3]",1,2,16,"[[2, 3, 3], [2, 3], [3]]",6,11,79,68/79,163,10.1875,0.002496957778930664,1.0,2.5987625122070312e-05,0.0,4.0625,2.5625,1.5
dimension_loss_frontier,unbalanced_uniform_L3,3,loss_budget,266,"[8, 5, 3]",1,2,16,"[[4, 4], [2, 3], [3]]",5,8,79,71/79,242,15.125,0.0014510154724121094,1.0,0.00023603439331054688,0.0,4.4375,2.5625,1.875
dimension_loss_frontier,unbalanced_uniform_L3,3,size_budget,16,"[8, 5, 3]",1,2,16,"[[2, 3, 3], [2, 3], [2, 1]]",7,16,79,63/79,95,5.9375,0.003907918930053711,1.0,2.6941299438476562e-05,0.0,3.125,2.5625,0.5625
dimension_loss_frontier,unbalanced_uniform_L3,3,size_budget,28,"[8, 5, 3]",1,2,16,"[[2, 3, 3], [1, 1, 2, 1], [2, 1]]",9,26,79,53/79,24,1.5,0.012050867080688477,71.0,4.38690185546875e-05,0.0,2.625,2.5625,0.0625
dimension_loss_frontier,unbalanced_uniform_L3,3,size_budget,40,"[8, 5, 3]",1,2,16,"[[2, 1, 2, 3], [1, 1, 2, 1], [1, 1, 1]]",11,40,79,39/79,0,0.0,0.02615809440612793,225.0,4.1961669921875e-05,0.0,2.5625,2.5625,0.0
dimension_loss_frontier,unbalanced_uniform_L3,3,size_budget,55,"[8, 5, 3]",1,2,16,"[[2, 1, 2, 3], [1, 1, 2, 1], [1, 1, 1]]",11,40,79,39/79,0,0.0,0.02546405792236328,225.0,4.291534423828125e-05,0.0,2.5625,2.5625,0.0
dimension_loss_frontier,unbalanced_uniform_L3,3,size_budget,79,"[8, 5, 3]",1,2,16,"[[2, 1, 2, 3], [1, 1, 2, 1], [1, 1, 1]]",11,40,79,39/79,0,0.0,0.0247650146484375,225.0,3.790855407714844e-05,0.0,2.5625,2.5625,0.0
dimension_loss_frontier,balanced_uniform_L4,4,loss_budget,0,"[4, 4, 4, 4]",1,2,16,"[[1, 2, 1], [1, 1, 1, 1], [1, 1, 2], [1, 2, 1]]",13,63,96,11/32,0,0.0,0.12831401824951172,2441.0,5.984306335449219e-05,0.0,3.6875,3.6875,0.0
dimension_loss_frontier,balanced_uniform_L4,4,loss_budget,40,"[4, 4, 4, 4]",1,2,16,"[[3, 1], [1, 1, 1, 1], [1, 1, 2], [1, 2, 1]]",12,53,96,43/96,28,1.75,0.06463003158569336,647.0,0.000659942626953125,0.0,3.6875,3.6875,0.0
dimension_loss_frontier,balanced_uniform_L4,4,loss_budget,100,"[4, 4, 4, 4]",1,2,16,"[[1, 2, 1], [1, 1, 1, 1], [2, 2], [4]]",10,35,96,61/96,93,5.8125,0.017264842987060547,112.0,5.3882598876953125e-05,0.0,3.875,3.6875,0.1875
dimension_loss_frontier,balanced_uniform_L4,4,loss_budget,200,"[4, 4, 4, 4]",1,2,16,"[[4], [1, 2, 1], [2, 2], [4]]",7,17,96,79/96,198,12.375,0.0033910274505615234,1.0,3.1948089599609375e-05,0.0,4.875,3.6875,1.1875
dimension_loss_frontier,balanced_uniform_L4,4,loss_budget,300,"[4, 4, 4, 4]",1,2,16,"[[4], [1, 2, 1], [4], [4]]",6,12,96,7/8,266,16.625,0.0034050941467285156,1.0,2.9087066650390625e-05,0.0,7.4375,3.6875,3.75
dimension_loss_frontier,balanced_uniform_L4,4,loss_budget,400,"[4, 4, 4, 4]",1,2,16,"[[4], [4], [4], [4]]",4,6,96,15/16,400,25.0,0.001425027847290039,1.0,0.00020194053649902344,0.0,9.0,3.6875,5.3125
dimension_loss_frontier,balanced_uniform_L4,4,size_budget,19,"[4, 4, 4, 4]",1,2,16,"[[4], [1, 2, 1], [2, 2], [4]]",7,17,96,79/96,198,12.375,0.0026569366455078125,1.0,2.7894973754882812e-05,0.0,4.875,3.6875,1.1875
dimension_loss_frontier,balanced_uniform_L4,4,size_budget,34,"[4, 4, 4, 4]",1,2,16,"[[3, 1], [1, 1, 1, 1], [2, 2], [4]]",9,28,96,17/24,121,7.5625,0.004837989807128906,1.0,4.601478576660156e-05,0.0,3.875,3.6875,0.1875
dimension_loss_frontier,balanced_uniform_L4,4,size_budget,48,"[4, 4, 4, 4]",1,2,16,"[[3, 1], [1, 1, 1, 1], [2, 2], [1, 2, 1]]",11,44,96,13/24,56,3.5,0.03678488731384277,474.0,5.4836273193359375e-05,0.0,3.6875,3.6875,0.0
dimension_loss_frontier,balanced_uniform_L4,4,size_budget,67,"[4, 4, 4, 4]",1,2,16,"[[1, 2, 1], [1, 1, 1, 1], [1, 1, 2], [1, 2, 1]]",13,63,96,11/32,0,0.0,0.12931394577026367,2441.0,7.605552673339844e-05,0.0,3.6875,3.6875,0.0
dimension_loss_frontier,balanced_uniform_L4,4,size_budget,96,"[4, 4, 4, 4]",1,2,16,"[[1, 2, 1], [1, 1, 1, 1], [1, 1, 2], [1, 2, 1]]",13,63,96,11/32,0,0.0,0.12767887115478516,2441.0,6.389617919921875e-05,0.0,3.6875,3.6875,0.0
dimension_loss_frontier,high_headway_bursty_L3,5,loss_budget,0,"[5, 5, 5]",1,3,15,"[[2, 3], [4, 1], [2, 3]]",6,12,75,21/25,0,0.0,0.0018877983093261719,1.0,2.8848648071289062e-05,0.0,4.066666666666666,4.066666666666666,0.0
dimension_loss_frontier,high_headway_bursty_L3,5,loss_budget,16,"[5, 5, 5]",1,3,15,"[[2, 3], [4, 1], [2, 3]]",6,12,75,21/25,0,0.0,0.0023021697998046875,1.0,2.8133392333984375e-05,0.0,4.066666666666666,4.066666666666666,0.0
dimension_loss_frontier,high_headway_bursty_L3,5,loss_budget,40,"[5, 5, 5]",1,3,15,"[[2, 3], [2, 3], [2, 3]]",6,12,75,21/25,0,0.0,0.002763032913208008,1.0,2.6941299438476562e-05,0.0,4.066666666666666,4.066666666666666,0.0
dimension_loss_frontier,high_headway_bursty_L3,5,loss_budget,80,"[5, 5, 5]",1,3,15,"[[2, 3], [2, 3], [2, 3]]",6,12,75,21/25,0,0.0,0.0024709701538085938,1.0,2.7179718017578125e-05,0.0,4.066666666666666,4.066666666666666,0.0
dimension_loss_frontier,high_headway_bursty_L3,5,loss_budget,121,"[5, 5, 5]",1,3,15,"[[2, 3], [2, 3], [2, 3]]",6,12,75,21/25,0,0.0,0.0023632049560546875,1.0,2.7179718017578125e-05,0.0,4.066666666666666,4.066666666666666,0.0
dimension_loss_frontier,high_headway_bursty_L3,5,loss_budget,161,"[5, 5, 5]",1,3,15,"[[2, 3], [4, 1], [2, 3]]",6,12,75,21/25,0,0.0,0.002415180206298828,1.0,2.8133392333984375e-05,0.0,4.066666666666666,4.066666666666666,0.0
dimension_loss_frontier,high_headway_bursty_L3,5,size_budget,15,"[5, 5, 5]",1,3,15,"[[2, 3], [3, 2], [2, 3]]",6,12,75,21/25,0,0.0,0.002404928207397461,1.0,2.5987625122070312e-05,0.0,4.066666666666666,4.066666666666666,0.0
dimension_loss_frontier,high_headway_bursty_L3,5,size_budget,26,"[5, 5, 5]",1,3,15,"[[2, 3], [3, 2], [2, 3]]",6,12,75,21/25,0,0.0,0.0023140907287597656,1.0,2.5987625122070312e-05,0.0,4.066666666666666,4.066666666666666,0.0
