scenario,replication,target_dimension_reduction,raw_target_ordering_budget,target_ordering_budget,method_family,method_detail,N,L,counts,demand_pattern,arrival_mode,hF,hS,max_platoon_size,partition,total_platoons,platoons_by_approach,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,actual_average_gap,actual_gap_le_indexed_bound,vehicle_level_average_delay,vehicle_level_status,vehicle_level_mip_gap,vehicle_level_nodes,vehicle_level_time_to_first_feasible,vehicle_level_model_construction_seconds,vehicle_level_downstream_optimization_seconds,vehicle_level_wall_time_seconds,objective_average_delay,status,mip_gap,nodes,time_to_first_feasible,partition_time_seconds,partition_model_construction_seconds,partition_optimization_seconds,model_construction_seconds,downstream_optimization_seconds,end_to_end_seconds
N40_L4_balanced_poisson_hS2,0,0.25,450,450,proposed_bound_aware,min_Bidx_under_C_budget,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[1, 1, 3, 1, 1, 1, 2], [2, 2, 1, 2, 1, 1, 1], [3, 3, 2, 1, 1], [1, 1, 3, 1, 3, 1]]",25,"[7, 7, 5, 6]",233,600,0.6116666666666667,0,0.0,,,,TIME_LIMIT,0.826702788389506,10609.0,0.007447957992553711,0.02533941250294447,30.000136852264404,30.025551470927894,13.325,TIME_LIMIT,0.5914978702613666,47359.0,0.002227783203125,0.017245113849639893,0.01129813864827156,0.005672931671142578,0.008124125190079212,30.00059199333191,30.026016601361334
N40_L4_balanced_poisson_hS2,0,0.25,450,450,fixed_size_closest_dimension,fixed_size_2,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]",20,"[5, 5, 5, 5]",150,600,0.75,837,20.925,,,,TIME_LIMIT,0.826702788389506,10609.0,0.007447957992553711,0.02533941250294447,30.000136852264404,30.025551470927894,13.475,TIME_LIMIT,0.5735983611149297,37376.0,0.0015499591827392578,2.238340675830841e-05,2.238340675830841e-05,0.0,0.006670578382909298,30.000244140625,30.00699249934405
N40_L4_balanced_poisson_hS2,0,0.25,450,450,threshold_closest_dimension,release_gap_threshold_0,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[1, 1, 2, 1, 1, 1, 1, 1, 1], [2, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 2, 2, 1, 1], [1, 1, 2, 1, 1, 3, 1]]",33,"[9, 9, 8, 7]",407,600,0.32166666666666666,0,0.0,,,,TIME_LIMIT,0.826702788389506,10609.0,0.007447957992553711,0.02533941250294447,30.000136852264404,30.025551470927894,13.85,TIME_LIMIT,0.7627118771928333,16354.0,0.0039789676666259766,0.00011337082833051682,0.00011337082833051682,0.0,0.011921482160687447,30.00039505958557,30.012487534433603
N40_L4_balanced_poisson_hS2,0,0.5,300,300,proposed_bound_aware,min_Bidx_under_C_budget,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[1, 1, 3, 1, 1, 1, 2], [2, 2, 1, 2, 1, 1, 1], [3, 3, 2, 1, 1], [1, 1, 3, 1, 3, 1]]",25,"[7, 7, 5, 6]",233,600,0.6116666666666667,0,0.0,,,,TIME_LIMIT,0.826702788389506,10609.0,0.007447957992553711,0.02533941250294447,30.000136852264404,30.025551470927894,13.325,TIME_LIMIT,0.5916656278030377,47267.0,0.0023000240325927734,0.01691111084073782,0.01144043356180191,0.005192995071411133,0.008136824704706669,30.000135898590088,30.025240811519325
N40_L4_balanced_poisson_hS2,0,0.5,300,300,fixed_size_closest_dimension,fixed_size_2,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]",20,"[5, 5, 5, 5]",150,600,0.75,837,20.925,,,,TIME_LIMIT,0.826702788389506,10609.0,0.007447957992553711,0.02533941250294447,30.000136852264404,30.025551470927894,13.475,TIME_LIMIT,0.5714268606051249,38197.0,0.0015530586242675781,6.190408021211624e-05,6.190408021211624e-05,0.0,0.007401912473142147,30.00025200843811,30.007771778851748
N40_L4_balanced_poisson_hS2,0,0.5,300,300,threshold_closest_dimension,release_gap_threshold_1,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[1, 1, 3, 1, 1, 1, 2], [2, 2, 1, 2, 1, 1, 1], [3, 4, 1, 1, 1], [1, 1, 3, 1, 3, 1]]",25,"[7, 7, 5, 6]",233,600,0.6116666666666667,0,0.0,,,,TIME_LIMIT,0.826702788389506,10609.0,0.007447957992553711,0.02533941250294447,30.000136852264404,30.025551470927894,13.325,TIME_LIMIT,0.6181605792060413,55131.0,0.0025141239166259766,4.1632913053035736e-05,4.1632913053035736e-05,0.0,0.008276013657450676,30.00030207633972,30.008678493089974
N40_L4_balanced_poisson_hS2,0,0.75,150,150,proposed_bound_aware,min_Bidx_under_C_budget,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[1, 4, 2, 3], [2, 2, 1, 2, 1, 1, 1], [3, 1, 4, 1, 1], [1, 1, 4, 4]]",20,"[4, 7, 5, 4]",147,600,0.755,192,4.8,,,,TIME_LIMIT,0.826702788389506,10609.0,0.007447957992553711,0.02533941250294447,30.000136852264404,30.025551470927894,13.175,TIME_LIMIT,0.44323369783199174,71358.0,0.0019299983978271484,0.0540653457865119,0.011097106151282787,0.04269599914550781,0.007006865926086903,30.000142097473145,30.06127441767603
N40_L4_balanced_poisson_hS2,0,0.75,150,150,fixed_size_closest_dimension,fixed_size_2,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]",20,"[5, 5, 5, 5]",150,600,0.75,837,20.925,,,,TIME_LIMIT,0.826702788389506,10609.0,0.007447957992553711,0.02533941250294447,30.000136852264404,30.025551470927894,13.475,TIME_LIMIT,0.5711066760671989,38509.0,0.0016169548034667969,6.451737135648727e-05,6.451737135648727e-05,0.0,0.007311265915632248,30.000865936279297,30.0083020478487
N40_L4_balanced_poisson_hS2,0,0.75,150,150,threshold_closest_dimension,release_gap_threshold_3,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[1, 4, 2, 3], [4, 1, 2, 2, 1], [4, 4, 1, 1], [4, 2, 4]]",16,"[4, 5, 4, 3]",95,600,0.8416666666666667,550,13.75,,,,TIME_LIMIT,0.826702788389506,10609.0,0.007447957992553711,0.02533941250294447,30.000136852264404,30.025551470927894,13.425,OPTIMAL,9.31972420668384e-05,102600.0,0.001255035400390625,4.311557859182358e-05,4.311557859182358e-05,0.0,0.00637176726013422,24.00563097000122,24.01210319902748
N40_L4_balanced_poisson_hS2,0,0.9,60,60,proposed_bound_aware,min_Bidx_under_C_budget,40,4,"[10, 10, 10, 10]",balanced,poisson,1,2,4,"[[4, 3, 3], [4, 3, 3], [3, 4, 3], [2, 4, 4]]",12,"[3, 3, 3, 3]",54,600,0.91,899,22.475,,,,TIME_LIMIT,0.826702788389506,10609.0,0.007447957992553711,0.02533941250294447,30.000136852264404,30.025551470927894,12.925,OPTIMAL,0.0,31243.0,0.0010590553283691406,0.1475797714665532,0.01099790632724762,0.13629698753356934,0.005686541087925434,7.34039306640625,7.493727829307318
