scenario,replication,target_dimension_reduction,raw_target_ordering_budget,target_ordering_budget,method_family,method_detail,N,L,counts,demand_pattern,arrival_mode,hF,hS,max_platoon_size,partition,total_platoons,platoons_by_approach,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,actual_average_gap,actual_gap_le_indexed_bound,vehicle_level_average_delay,vehicle_level_status,vehicle_level_mip_gap,vehicle_level_nodes,vehicle_level_time_to_first_feasible,vehicle_level_model_construction_seconds,vehicle_level_downstream_optimization_seconds,vehicle_level_wall_time_seconds,objective_average_delay,status,mip_gap,nodes,time_to_first_feasible,partition_time_seconds,partition_model_construction_seconds,partition_optimization_seconds,model_construction_seconds,downstream_optimization_seconds,end_to_end_seconds,batch
N20_L4_balanced_poisson_hS2,0,0.25,112,112,proposed_bound_aware,min_Bidx_under_C_budget,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 2, 1], [1, 1, 1, 2], [4, 1], [1, 3, 1]]",12,"[3, 4, 2, 3]",53,150,0.6466666666666666,0,0.0,,,,TIME_LIMIT,0.23125663466848073,63379.0,0.0020859241485595703,0.014497675001621246,30.000228881835938,30.014795765280724,5.1,OPTIMAL,0.0,2469.0,0.0008349418640136719,0.00729798711836338,0.0050219884142279625,0.002183198928833008,0.004097761586308479,0.24754786491394043,0.2589912423864007,N20_L4_balanced_poisson_hS2
N20_L4_balanced_poisson_hS2,0,0.25,112,112,fixed_size_closest_dimension,fixed_size_2,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 1]]",12,"[3, 3, 3, 3]",54,150,0.64,163,8.15,,,,TIME_LIMIT,0.23125663466848073,63379.0,0.0020859241485595703,0.014497675001621246,30.000228881835938,30.014795765280724,5.1,OPTIMAL,0.0,1449.0,0.0007560253143310547,4.7662295401096344e-05,4.7662295401096344e-05,0.0,0.0047241877764463425,0.14606809616088867,0.150884629227221,N20_L4_balanced_poisson_hS2
N20_L4_balanced_poisson_hS2,0,0.25,112,112,threshold_closest_dimension,release_gap_threshold_1,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 2, 1], [1, 1, 1, 2], [4, 1], [1, 3, 1]]",12,"[3, 4, 2, 3]",53,150,0.6466666666666666,0,0.0,,,,TIME_LIMIT,0.23125663466848073,63379.0,0.0020859241485595703,0.014497675001621246,30.000228881835938,30.014795765280724,5.1,OPTIMAL,0.0,2469.0,0.0007841587066650391,9.185727685689926e-05,9.185727685689926e-05,0.0,0.004391205497086048,0.24589204788208008,0.25041893869638443,N20_L4_balanced_poisson_hS2
N20_L4_balanced_poisson_hS2,0,0.5,75,75,proposed_bound_aware,min_Bidx_under_C_budget,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 2, 1], [1, 1, 1, 2], [4, 1], [1, 3, 1]]",12,"[3, 4, 2, 3]",53,150,0.6466666666666666,0,0.0,,,,TIME_LIMIT,0.23125663466848073,63379.0,0.0020859241485595703,0.014497675001621246,30.000228881835938,30.014795765280724,5.1,OPTIMAL,0.0,2469.0,0.00080108642578125,0.007839015685021877,0.0056639183312654495,0.002089977264404297,0.004539339803159237,0.24726510047912598,0.25968788750469685,N20_L4_balanced_poisson_hS2
N20_L4_balanced_poisson_hS2,0,0.5,75,75,fixed_size_closest_dimension,fixed_size_2,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 1]]",12,"[3, 3, 3, 3]",54,150,0.64,163,8.15,,,,TIME_LIMIT,0.23125663466848073,63379.0,0.0020859241485595703,0.014497675001621246,30.000228881835938,30.014795765280724,5.1,OPTIMAL,0.0,1449.0,0.0007641315460205078,5.1448121666908264e-05,5.1448121666908264e-05,0.0,0.004879963584244251,0.14698314666748047,0.15195956360548735,N20_L4_balanced_poisson_hS2
N20_L4_balanced_poisson_hS2,0,0.5,75,75,threshold_closest_dimension,release_gap_threshold_1,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 2, 1], [1, 1, 1, 2], [4, 1], [1, 3, 1]]",12,"[3, 4, 2, 3]",53,150,0.6466666666666666,0,0.0,,,,TIME_LIMIT,0.23125663466848073,63379.0,0.0020859241485595703,0.014497675001621246,30.000228881835938,30.014795765280724,5.1,OPTIMAL,0.0,2469.0,0.0007870197296142578,8.356571197509766e-05,8.356571197509766e-05,0.0,0.004739291034638882,0.246596097946167,0.25146415922790766,N20_L4_balanced_poisson_hS2
N20_L4_balanced_poisson_hS2,0,0.75,38,38,proposed_bound_aware,min_Bidx_under_C_budget,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 3], [1, 1, 3], [4, 1], [1, 3, 1]]",10,"[2, 3, 2, 3]",37,150,0.7533333333333333,29,1.45,,,,TIME_LIMIT,0.23125663466848073,63379.0,0.0020859241485595703,0.014497675001621246,30.000228881835938,30.014795765280724,5.1,OPTIMAL,0.0,909.0,0.0006859302520751953,0.00761748943477869,0.005734354257583618,0.0017938613891601562,0.004228018224239349,0.09979701042175293,0.11168572027236223,N20_L4_balanced_poisson_hS2
N20_L4_balanced_poisson_hS2,0,0.75,38,38,fixed_size_closest_dimension,fixed_size_3,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[3, 2], [3, 2], [3, 2], [3, 2]]",8,"[2, 2, 2, 2]",24,150,0.84,290,14.5,,,,TIME_LIMIT,0.23125663466848073,63379.0,0.0020859241485595703,0.014497675001621246,30.000228881835938,30.014795765280724,5.3,OPTIMAL,0.0,135.0,0.00016689300537109375,3.8047321140766144e-05,3.8047321140766144e-05,0.0,0.004328309558331966,0.02893686294555664,0.03335202392190695,N20_L4_balanced_poisson_hS2
N20_L4_balanced_poisson_hS2,0,0.75,38,38,threshold_closest_dimension,release_gap_threshold_2,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 3], [1, 4], [4, 1], [1, 3, 1]]",9,"[2, 2, 2, 3]",30,150,0.8,45,2.25,,,,TIME_LIMIT,0.23125663466848073,63379.0,0.0020859241485595703,0.014497675001621246,30.000228881835938,30.014795765280724,5.1,OPTIMAL,0.0,509.0,0.0001811981201171875,2.6510097086429596e-05,2.6510097086429596e-05,0.0,0.0036124978214502335,0.0573420524597168,0.06102360412478447,N20_L4_balanced_poisson_hS2
N20_L4_balanced_poisson_hS2,0,0.9,15,24,proposed_bound_aware,min_Bidx_under_C_budget,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 3], [1, 4], [4, 1], [4, 1]]",8,"[2, 2, 2, 2]",24,150,0.84,81,4.05,,,,TIME_LIMIT,0.23125663466848073,63379.0,0.0020859241485595703,0.014497675001621246,30.000228881835938,30.014795765280724,5.1,OPTIMAL,0.0,202.0,0.0005900859832763672,0.00676397979259491,0.005223331972956657,0.0014591217041015625,0.004302029497921467,0.03156113624572754,0.04267031233757734,N20_L4_balanced_poisson_hS2
