scenario,replication,target_dimension_reduction,target_ordering_budget,method_family,method_detail,N,L,counts,demand_pattern,arrival_mode,hF,hS,max_platoon_size,partition,total_platoons,platoons_by_approach,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,actual_average_gap,actual_gap_le_indexed_bound,vehicle_level_average_delay,objective_average_delay,status,mip_gap,nodes,time_to_first_feasible,partition_time_seconds,partition_model_construction_seconds,partition_optimization_seconds,model_construction_seconds,downstream_optimization_seconds,end_to_end_seconds
N20_L3_balanced_uniform_hS2,0,0.25,100,proposed_bound_aware,min_Bidx_under_C_budget,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[1, 2, 1, 1, 1, 1], [1, 1, 1, 1, 2, 1], [1, 1, 2, 1, 1]]",17,"[6, 6, 5]",96,133,0.2781954887218045,13,0.65,0.09999999999999987,True,1.05,1.15,OPTIMAL,0.0,13.0,5.793571472167969e-05,0.005361929535865784,0.002524293027818203,0.0027620792388916016,0.003301887772977352,0.02113509178161621,0.029798909090459347
N20_L3_balanced_uniform_hS2,0,0.25,100,fixed_size_closest_dimension,fixed_size_1,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1]]",20,"[7, 7, 6]",133,133,0.0,0,0.0,0.0,True,1.05,1.05,OPTIMAL,0.0,43.0,0.0009720325469970703,0.0,0.0,0.0,0.0040505873039364815,0.04631519317626953,0.05036578048020601
N20_L3_balanced_uniform_hS2,0,0.25,100,threshold_closest_dimension,release_gap_threshold_1,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[1, 2, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 2, 1, 1]]",18,"[6, 7, 5]",107,133,0.19548872180451127,0,0.0,0.0,True,1.05,1.05,OPTIMAL,0.0,75.0,6.318092346191406e-05,0.0,0.0,0.0,0.0032924730330705643,0.026741981506347656,0.03003445453941822
N20_L3_balanced_uniform_hS2,0,0.5,66,proposed_bound_aware,min_Bidx_under_C_budget,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[1, 2, 1, 1, 1, 1], [1, 3, 2, 1], [1, 1, 2, 2]]",14,"[6, 4, 4]",64,133,0.518796992481203,72,3.6,0.19999999999999996,True,1.05,1.25,OPTIMAL,0.0,1.0,5.1021575927734375e-05,0.004240415059030056,0.0023909714072942734,0.0017778873443603516,0.0024512726813554764,0.002927064895629883,0.009618752636015415
N20_L3_balanced_uniform_hS2,0,0.5,66,fixed_size_closest_dimension,fixed_size_2,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[2, 2, 2, 1], [2, 2, 2, 1], [2, 2, 2]]",11,"[4, 4, 3]",40,133,0.6992481203007519,746,37.3,2.45,True,1.05,3.5,OPTIMAL,0.0,10.0,3.314018249511719e-05,0.0,0.0,0.0,0.0019297348335385323,0.010479211807250977,0.012408946640789509
N20_L3_balanced_uniform_hS2,0,0.5,66,threshold_closest_dimension,release_gap_threshold_3,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[1, 2, 1, 1, 1, 1], [1, 3, 2, 1], [1, 1, 2, 2]]",14,"[6, 4, 4]",64,133,0.518796992481203,72,3.6,0.19999999999999996,True,1.05,1.25,OPTIMAL,0.0,1.0,4.8160552978515625e-05,0.0,0.0,0.0,0.0024381037801504135,0.002894163131713867,0.005332266911864281
N20_L3_balanced_uniform_hS2,0,0.75,33,proposed_bound_aware,min_Bidx_under_C_budget,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[4, 2, 1], [1, 3, 2, 1], [1, 3, 2]]",10,"[3, 4, 3]",33,133,0.7518796992481203,286,14.3,1.2499999999999998,True,1.05,2.3,OPTIMAL,0.0,1.0,2.8133392333984375e-05,0.004164921119809151,0.002381286583840847,0.0017101764678955078,0.0017987368628382683,0.0018780231475830078,0.007841681130230427
N20_L3_balanced_uniform_hS2,0,0.75,33,fixed_size_closest_dimension,fixed_size_2,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[2, 2, 2, 1], [2, 2, 2, 1], [2, 2, 2]]",11,"[4, 4, 3]",40,133,0.6992481203007519,746,37.3,2.45,True,1.05,3.5,OPTIMAL,0.0,10.0,4.887580871582031e-05,0.0,0.0,0.0,0.0020316187292337418,0.010519981384277344,0.012551600113511086
N20_L3_balanced_uniform_hS2,0,0.75,33,threshold_closest_dimension,release_gap_threshold_5,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[4, 2, 1], [1, 3, 2, 1], [1, 3, 2]]",10,"[3, 4, 3]",33,133,0.7518796992481203,286,14.3,1.2499999999999998,True,1.05,2.3,OPTIMAL,0.0,1.0,2.7894973754882812e-05,0.0,0.0,0.0,0.001795952208340168,0.0018429756164550781,0.003638927824795246
N20_L3_balanced_uniform_hS2,0,0.9,13,proposed_bound_aware,min_Bidx_under_C_budget,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[4, 3], [4, 3], [4, 2]]",6,"[2, 2, 2]",12,133,0.9097744360902256,1006,50.3,3.6000000000000005,True,1.05,4.65,OPTIMAL,0.0,0.0,2.4080276489257812e-05,0.008282549679279327,0.0023803748190402985,0.005830049514770508,0.0013924632221460342,0.00026798248291015625,0.009942995384335518
