N,L,demand_pattern,arrival_mode,target_dimension_reduction,method_family,cases,mean_end_to_end_seconds,ci95_end_to_end_seconds,mean_partition_time_seconds,ci95_partition_time_seconds,mean_model_construction_seconds,ci95_model_construction_seconds,mean_downstream_optimization_seconds,ci95_downstream_optimization_seconds,mean_actual_average_gap,ci95_actual_average_gap,mean_indexed_bound,ci95_indexed_bound,mean_ordering_variables,ci95_ordering_variables,mean_nodes,ci95_nodes,statuses,all_actual_gaps_within_bound
20,3,balanced,uniform,0.25,fixed_size_closest_dimension,1,0.05036578048020601,0.0,0.0,0.0,0.0040505873039364815,0.0,0.04631519317626953,0.0,0.0,0.0,0.0,0.0,133.0,0.0,43.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.25,proposed_bound_aware,1,0.029798909090459347,0.0,0.005361929535865784,0.0,0.003301887772977352,0.0,0.02113509178161621,0.0,0.09999999999999987,0.0,0.65,0.0,96.0,0.0,13.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.25,threshold_closest_dimension,1,0.03003445453941822,0.0,0.0,0.0,0.0032924730330705643,0.0,0.026741981506347656,0.0,0.0,0.0,0.0,0.0,107.0,0.0,75.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.5,fixed_size_closest_dimension,1,0.012408946640789509,0.0,0.0,0.0,0.0019297348335385323,0.0,0.010479211807250977,0.0,2.45,0.0,37.3,0.0,40.0,0.0,10.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.5,proposed_bound_aware,1,0.009618752636015415,0.0,0.004240415059030056,0.0,0.0024512726813554764,0.0,0.002927064895629883,0.0,0.19999999999999996,0.0,3.6,0.0,64.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.5,threshold_closest_dimension,1,0.005332266911864281,0.0,0.0,0.0,0.0024381037801504135,0.0,0.002894163131713867,0.0,0.19999999999999996,0.0,3.6,0.0,64.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.75,fixed_size_closest_dimension,1,0.012551600113511086,0.0,0.0,0.0,0.0020316187292337418,0.0,0.010519981384277344,0.0,2.45,0.0,37.3,0.0,40.0,0.0,10.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.75,proposed_bound_aware,1,0.007841681130230427,0.0,0.004164921119809151,0.0,0.0017987368628382683,0.0,0.0018780231475830078,0.0,1.2499999999999998,0.0,14.3,0.0,33.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.75,threshold_closest_dimension,1,0.003638927824795246,0.0,0.0,0.0,0.001795952208340168,0.0,0.0018429756164550781,0.0,1.2499999999999998,0.0,14.3,0.0,33.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.9,fixed_size_closest_dimension,1,0.0015763752162456512,0.0,0.0,0.0,0.0013265125453472137,0.0,0.0002498626708984375,0.0,3.6000000000000005,0.0,50.3,0.0,12.0,0.0,0.0,0.0,"{""OPTIMAL"": 1}",True
