scenario,replication,N,L,ordering_budget,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,partition,partition_time_seconds
N20_L3_balanced_uniform_hS2,0,20,3,12,12,133,0.9097744360902256,1006,50.3,"[[4, 3], [4, 3], [4, 2]]",0.010249649174511433
N20_L3_balanced_uniform_hS2,0,20,3,16,16,133,0.8796992481203008,723,36.15,"[[4, 3], [4, 3], [1, 3, 2]]",0.010734932497143745
N20_L3_balanced_uniform_hS2,0,20,3,20,20,133,0.849624060150376,671,33.55,"[[4, 3], [4, 3], [1, 1, 2, 2]]",0.044276654720306396
N20_L3_balanced_uniform_hS2,0,20,3,21,21,133,0.8421052631578947,478,23.9,"[[4, 3], [1, 3, 3], [1, 3, 2]]",0.009049434214830399
N20_L3_balanced_uniform_hS2,0,20,3,26,26,133,0.8045112781954887,410,20.5,"[[4, 3], [1, 3, 2, 1], [1, 3, 2]]",0.011451195925474167
N20_L3_balanced_uniform_hS2,0,20,3,27,27,133,0.7969924812030075,354,17.7,"[[4, 2, 1], [1, 3, 3], [1, 3, 2]]",0.006761104799807072
N20_L3_balanced_uniform_hS2,0,20,3,33,33,133,0.7518796992481203,286,14.3,"[[4, 2, 1], [1, 3, 2, 1], [1, 3, 2]]",0.00736604817211628
N20_L3_balanced_uniform_hS2,0,20,3,39,39,133,0.706766917293233,241,12.05,"[[1, 3, 1, 1, 1], [1, 3, 3], [1, 3, 2]]",0.01001670677214861
N20_L3_balanced_uniform_hS2,0,20,3,40,40,133,0.6992481203007519,228,11.4,"[[4, 1, 1, 1], [1, 3, 2, 1], [1, 3, 2]]",0.0064128488302230835
N20_L3_balanced_uniform_hS2,0,20,3,45,45,133,0.6616541353383458,192,9.6,"[[1, 2, 1, 1, 1, 1], [1, 3, 3], [1, 3, 2]]",0.008729220367968082
N20_L3_balanced_uniform_hS2,0,20,3,47,47,133,0.6466165413533834,173,8.65,"[[1, 3, 1, 1, 1], [1, 3, 2, 1], [1, 3, 2]]",0.006744850426912308
N20_L3_balanced_uniform_hS2,0,20,3,54,54,133,0.5939849624060151,124,6.2,"[[1, 2, 1, 1, 1, 1], [1, 3, 2, 1], [1, 3, 2]]",0.006703046150505543
N20_L3_balanced_uniform_hS2,0,20,3,56,56,133,0.5789473684210527,121,6.05,"[[1, 3, 1, 1, 1], [1, 3, 2, 1], [1, 1, 2, 2]]",0.007007606327533722
N20_L3_balanced_uniform_hS2,0,20,3,63,63,133,0.5263157894736842,108,5.4,"[[1, 2, 1, 1, 1, 1], [1, 1, 2, 2, 1], [1, 3, 2]]",0.010492125526070595
N20_L3_balanced_uniform_hS2,0,20,3,64,64,133,0.518796992481203,72,3.6,"[[1, 2, 1, 1, 1, 1], [1, 3, 2, 1], [1, 1, 2, 2]]",0.006924531422555447
N20_L3_balanced_uniform_hS2,0,20,3,74,74,133,0.44360902255639095,44,2.2,"[[1, 2, 1, 1, 1, 1], [1, 3, 2, 1], [1, 1, 2, 1, 1]]",0.006532799452543259
N20_L3_balanced_uniform_hS2,0,20,3,84,84,133,0.3684210526315789,41,2.05,"[[1, 2, 1, 1, 1, 1], [1, 1, 1, 1, 2, 1], [1, 1, 2, 2]]",0.007561485283076763
N20_L3_balanced_uniform_hS2,0,20,3,85,85,133,0.3609022556390977,28,1.4,"[[1, 2, 1, 1, 1, 1], [1, 1, 2, 2, 1], [1, 1, 2, 1, 1]]",0.006863409653306007
N20_L3_balanced_uniform_hS2,0,20,3,96,96,133,0.2781954887218045,13,0.65,"[[1, 2, 1, 1, 1, 1], [1, 1, 1, 1, 2, 1], [1, 1, 2, 1, 1]]",0.006338424980640411
N20_L3_balanced_uniform_hS2,0,20,3,107,107,133,0.19548872180451127,0,0.0,"[[1, 2, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 2, 1, 1]]",0.005922275595366955
