scenario,replication,target_dimension_reduction,target_ordering_budget,method_family,method_detail,N,L,counts,demand_pattern,arrival_mode,hF,hS,max_platoon_size,partition,total_platoons,platoons_by_approach,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,actual_average_gap,actual_gap_le_indexed_bound,vehicle_level_average_delay,objective_average_delay,status,mip_gap,nodes,time_to_first_feasible,partition_time_seconds,partition_model_construction_seconds,partition_optimization_seconds,model_construction_seconds,downstream_optimization_seconds,end_to_end_seconds
N20_L3_balanced_uniform_hS2,0,0.25,100,proposed_bound_aware,min_Bidx_under_C_budget,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[1, 2, 1, 1, 1, 1], [1, 1, 1, 1, 2, 1], [1, 1, 2, 1, 1]]",17,"[6, 6, 5]",96,133,0.2781954887218045,13,0.65,0.09999999999999987,True,1.05,1.15,OPTIMAL,0.0,13.0,0.00014710426330566406,0.007437635213136673,0.004775042645633221,0.0025849342346191406,0.005459035746753216,0.02080512046813965,0.03370179142802954
N20_L3_balanced_uniform_hS2,0,0.25,100,fixed_size_closest_dimension,fixed_size_1,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1]]",20,"[7, 7, 6]",133,133,0.0,0,0.0,0.0,True,1.05,1.05,OPTIMAL,0.0,43.0,0.0012052059173583984,0.0,0.0,0.0,0.006517114117741585,0.04636812210083008,0.05288523621857166
N20_L3_balanced_uniform_hS2,0,0.25,100,threshold_closest_dimension,release_gap_threshold_1,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[1, 2, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 2, 1, 1]]",18,"[6, 7, 5]",107,133,0.19548872180451127,0,0.0,0.0,True,1.05,1.05,OPTIMAL,0.0,75.0,0.0001480579376220703,0.0,0.0,0.0,0.0051640793681144714,0.026664018630981445,0.03182809799909592
N20_L3_balanced_uniform_hS2,0,0.5,66,proposed_bound_aware,min_Bidx_under_C_budget,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[1, 2, 1, 1, 1, 1], [1, 3, 2, 1], [1, 1, 2, 2]]",14,"[6, 4, 4]",64,133,0.518796992481203,72,3.6,0.19999999999999996,True,1.05,1.25,OPTIMAL,0.0,1.0,0.00013685226440429688,0.005960503593087196,0.004272453486919403,0.0016129016876220703,0.005100593902170658,0.003228902816772461,0.014290000312030315
N20_L3_balanced_uniform_hS2,0,0.5,66,fixed_size_closest_dimension,fixed_size_2,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[2, 2, 2, 1], [2, 2, 2, 1], [2, 2, 2]]",11,"[4, 4, 3]",40,133,0.6992481203007519,746,37.3,2.45,True,1.05,3.5,OPTIMAL,0.0,10.0,0.00011706352233886719,0.0,0.0,0.0,0.00501297228038311,0.010318994522094727,0.015331966802477837
N20_L3_balanced_uniform_hS2,0,0.5,66,threshold_closest_dimension,release_gap_threshold_3,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[1, 2, 1, 1, 1, 1], [1, 3, 2, 1], [1, 1, 2, 2]]",14,"[6, 4, 4]",64,133,0.518796992481203,72,3.6,0.19999999999999996,True,1.05,1.25,OPTIMAL,0.0,1.0,0.00013899803161621094,0.0,0.0,0.0,0.004908474162220955,0.003213167190551758,0.008121641352772713
N20_L3_balanced_uniform_hS2,0,0.75,33,proposed_bound_aware,min_Bidx_under_C_budget,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[4, 2, 1], [1, 3, 2, 1], [1, 3, 2]]",10,"[3, 4, 3]",33,133,0.7518796992481203,286,14.3,1.2499999999999998,True,1.05,2.3,OPTIMAL,0.0,1.0,0.00011610984802246094,0.0067510465160012245,0.004888875409960747,0.0017879009246826172,0.004248607903718948,0.0019559860229492188,0.012955640442669392
N20_L3_balanced_uniform_hS2,0,0.75,33,fixed_size_closest_dimension,fixed_size_2,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[2, 2, 2, 1], [2, 2, 2, 1], [2, 2, 2]]",11,"[4, 4, 3]",40,133,0.6992481203007519,746,37.3,2.45,True,1.05,3.5,OPTIMAL,0.0,10.0,0.00013303756713867188,0.0,0.0,0.0,0.004797525703907013,0.010575056076049805,0.015372581779956818
N20_L3_balanced_uniform_hS2,0,0.75,33,threshold_closest_dimension,release_gap_threshold_5,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[4, 2, 1], [1, 3, 2, 1], [1, 3, 2]]",10,"[3, 4, 3]",33,133,0.7518796992481203,286,14.3,1.2499999999999998,True,1.05,2.3,OPTIMAL,0.0,1.0,0.0001399517059326172,0.0,0.0,0.0,0.005151781253516674,0.002302885055541992,0.007454666309058666
N20_L3_balanced_uniform_hS2,0,0.9,13,proposed_bound_aware,min_Bidx_under_C_budget,20,3,"[7, 7, 6]",balanced,uniform,1,2,4,"[[4, 3], [4, 3], [4, 2]]",6,"[2, 2, 2]",12,133,0.9097744360902256,1006,50.3,3.6000000000000005,True,1.05,4.65,OPTIMAL,0.0,0.0,0.00010704994201660156,0.011051952838897705,0.005115225911140442,0.00586390495300293,0.003471953794360161,0.0003662109375,0.014890117570757866
