N,L,demand_pattern,arrival_mode,target_dimension_reduction,method_family,cases,mean_end_to_end_seconds,ci95_end_to_end_seconds,mean_partition_time_seconds,ci95_partition_time_seconds,mean_model_construction_seconds,ci95_model_construction_seconds,mean_downstream_optimization_seconds,ci95_downstream_optimization_seconds,mean_actual_average_gap,ci95_actual_average_gap,mean_indexed_bound,ci95_indexed_bound,mean_ordering_variables,ci95_ordering_variables,mean_nodes,ci95_nodes,statuses,all_actual_gaps_within_bound
20,3,balanced,uniform,0.25,fixed_size_closest_dimension,1,0.05288523621857166,0.0,0.0,0.0,0.006517114117741585,0.0,0.04636812210083008,0.0,0.0,0.0,0.0,0.0,133.0,0.0,43.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.25,proposed_bound_aware,1,0.03370179142802954,0.0,0.007437635213136673,0.0,0.005459035746753216,0.0,0.02080512046813965,0.0,0.09999999999999987,0.0,0.65,0.0,96.0,0.0,13.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.25,threshold_closest_dimension,1,0.03182809799909592,0.0,0.0,0.0,0.0051640793681144714,0.0,0.026664018630981445,0.0,0.0,0.0,0.0,0.0,107.0,0.0,75.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.5,fixed_size_closest_dimension,1,0.015331966802477837,0.0,0.0,0.0,0.00501297228038311,0.0,0.010318994522094727,0.0,2.45,0.0,37.3,0.0,40.0,0.0,10.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.5,proposed_bound_aware,1,0.014290000312030315,0.0,0.005960503593087196,0.0,0.005100593902170658,0.0,0.003228902816772461,0.0,0.19999999999999996,0.0,3.6,0.0,64.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.5,threshold_closest_dimension,1,0.008121641352772713,0.0,0.0,0.0,0.004908474162220955,0.0,0.003213167190551758,0.0,0.19999999999999996,0.0,3.6,0.0,64.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.75,fixed_size_closest_dimension,1,0.015372581779956818,0.0,0.0,0.0,0.004797525703907013,0.0,0.010575056076049805,0.0,2.45,0.0,37.3,0.0,40.0,0.0,10.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.75,proposed_bound_aware,1,0.012955640442669392,0.0,0.0067510465160012245,0.0,0.004248607903718948,0.0,0.0019559860229492188,0.0,1.2499999999999998,0.0,14.3,0.0,33.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.75,threshold_closest_dimension,1,0.007454666309058666,0.0,0.0,0.0,0.005151781253516674,0.0,0.002302885055541992,0.0,1.2499999999999998,0.0,14.3,0.0,33.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.9,fixed_size_closest_dimension,1,0.003598722629249096,0.0,0.0,0.0,0.0032568303868174553,0.0,0.0003418922424316406,0.0,3.6000000000000005,0.0,50.3,0.0,12.0,0.0,0.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.9,proposed_bound_aware,1,0.014890117570757866,0.0,0.011051952838897705,0.0,0.003471953794360161,0.0,0.0003662109375,0.0,3.6000000000000005,0.0,50.3,0.0,12.0,0.0,0.0,0.0,"{""OPTIMAL"": 1}",True
20,3,balanced,uniform,0.9,threshold_closest_dimension,1,0.0038963817059993744,0.0,0.0,0.0,0.0035594962537288666,0.0,0.0003368854522705078,0.0,3.6000000000000005,0.0,50.3,0.0,12.0,0.0,0.0,0.0,"{""OPTIMAL"": 1}",True
30,3,balanced,uniform,0.25,fixed_size_closest_dimension,1,0.035949550569057465,0.0,0.0,0.0,0.009136520326137543,0.0,0.026813030242919922,0.0,0.0,0.0,0.0,0.0,300.0,0.0,16.0,0.0,"{""OPTIMAL"": 1}",True
30,3,balanced,uniform,0.25,proposed_bound_aware,1,0.033031619153916836,0.0,0.010177642107009888,0.0,0.007187015376985073,0.0,0.015666961669921875,0.0,0.0,0.0,0.0,0.0,191.0,0.0,13.0,0.0,"{""OPTIMAL"": 1}",True
30,3,balanced,uniform,0.25,threshold_closest_dimension,1,0.02335386350750923,0.0,0.0,0.0,0.008040715008974075,0.0,0.015313148498535156,0.0,0.0,0.0,0.0,0.0,191.0,0.0,13.0,0.0,"{""OPTIMAL"": 1}",True
