scenario,replication,target_dimension_reduction,target_ordering_budget,method_family,method_detail,N,L,counts,demand_pattern,arrival_mode,hF,hS,max_platoon_size,partition,total_platoons,platoons_by_approach,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,actual_average_gap,actual_gap_le_indexed_bound,vehicle_level_average_delay,objective_average_delay,status,mip_gap,nodes,time_to_first_feasible,partition_time_seconds,partition_model_construction_seconds,partition_optimization_seconds,model_construction_seconds,downstream_optimization_seconds,end_to_end_seconds
N20_L4_unbalanced_bursty_hS2,0,0.25,105,proposed_bound_aware,min_Bidx_under_C_budget,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[4, 1, 3], [2, 1, 3], [3, 1], [2]]",9,"[3, 3, 2, 1]",29,140,0.7928571428571428,0,0.0,0.0,True,0.8,0.8,OPTIMAL,0.0,1.0,2.5033950805664062e-05,0.003069225698709488,0.002307385206222534,0.0006878376007080078,0.0016888603568077087,0.0005600452423095703,0.005318131297826767
N20_L4_unbalanced_bursty_hS2,0,0.25,105,fixed_size_closest_dimension,fixed_size_1,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1]]",20,"[8, 6, 4, 2]",140,140,0.0,0,0.0,0.0,True,0.8,0.8,OPTIMAL,0.0,1.0,0.0011539459228515625,0.0,0.0,0.0,0.00415587704628706,0.003793954849243164,0.007949831895530224
N20_L4_unbalanced_bursty_hS2,0,0.25,105,threshold_closest_dimension,release_gap_threshold_0,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[1, 2, 2, 1, 1, 1], [2, 1, 1, 1, 1], [2, 1, 1], [1, 1]]",16,"[6, 5, 3, 2]",91,140,0.35,0,0.0,0.0,True,0.8,0.8,OPTIMAL,0.0,1.0,5.221366882324219e-05,0.0,0.0,0.0,0.0032347552478313446,0.0026412010192871094,0.005875956267118454
N20_L4_unbalanced_bursty_hS2,0,0.5,70,proposed_bound_aware,min_Bidx_under_C_budget,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[4, 1, 3], [2, 1, 3], [3, 1], [2]]",9,"[3, 3, 2, 1]",29,140,0.7928571428571428,0,0.0,0.0,True,0.8,0.8,OPTIMAL,0.0,1.0,2.6941299438476562e-05,0.0050988513976335526,0.0022333823144435883,0.0027921199798583984,0.001962995156645775,0.0006449222564697266,0.007706768810749054
N20_L4_unbalanced_bursty_hS2,0,0.5,70,fixed_size_closest_dimension,fixed_size_2,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[2, 2, 2, 2], [2, 2, 2], [2, 2], [2]]",10,"[4, 3, 2, 1]",35,140,0.75,526,26.3,1.9000000000000001,True,0.8,2.7,OPTIMAL,0.0,1.0,3.0994415283203125e-05,0.0,0.0,0.0,0.0019594095647335052,0.001077890396118164,0.0030372999608516693
N20_L4_unbalanced_bursty_hS2,0,0.5,70,threshold_closest_dimension,release_gap_threshold_0,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[1, 2, 2, 1, 1, 1], [2, 1, 1, 1, 1], [2, 1, 1], [1, 1]]",16,"[6, 5, 3, 2]",91,140,0.35,0,0.0,0.0,True,0.8,0.8,OPTIMAL,0.0,1.0,4.601478576660156e-05,0.0,0.0,0.0,0.0029607703909277916,0.0026159286499023438,0.005576699040830135
N20_L4_unbalanced_bursty_hS2,0,0.75,35,proposed_bound_aware,min_Bidx_under_C_budget,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[4, 1, 3], [2, 1, 3], [3, 1], [2]]",9,"[3, 3, 2, 1]",29,140,0.7928571428571428,0,0.0,0.0,True,0.8,0.8,OPTIMAL,0.0,1.0,2.3126602172851562e-05,0.004157808609306812,0.002249518409371376,0.001834869384765625,0.0017481809481978416,0.0005869865417480469,0.006492976099252701
N20_L4_unbalanced_bursty_hS2,0,0.75,35,fixed_size_closest_dimension,fixed_size_2,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[2, 2, 2, 2], [2, 2, 2], [2, 2], [2]]",10,"[4, 3, 2, 1]",35,140,0.75,526,26.3,1.9000000000000001,True,0.8,2.7,OPTIMAL,0.0,1.0,3.0994415283203125e-05,0.0,0.0,0.0,0.0018128277733922005,0.001065969467163086,0.0028787972405552864
N20_L4_unbalanced_bursty_hS2,0,0.75,35,threshold_closest_dimension,release_gap_threshold_1,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[4, 1, 3], [2, 1, 3], [3, 1], [2]]",9,"[3, 3, 2, 1]",29,140,0.7928571428571428,0,0.0,0.0,True,0.8,0.8,OPTIMAL,0.0,1.0,2.3126602172851562e-05,0.0,0.0,0.0,0.0016806675121188164,0.0005631446838378906,0.002243812195956707
N20_L4_unbalanced_bursty_hS2,0,0.9,14,proposed_bound_aware,min_Bidx_under_C_budget,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[4, 4], [3, 3], [4], [2]]",6,"[2, 2, 1, 1]",13,140,0.9071428571428571,374,18.7,1.05,True,0.8,1.85,OPTIMAL,0.0,1.0,2.09808349609375e-05,0.004067573696374893,0.002235736697912216,0.0017559528350830078,0.001408376730978489,0.00043201446533203125,0.005907964892685413
