N,L,demand_pattern,arrival_mode,target_dimension_reduction,method_family,cases,mean_end_to_end_seconds,ci95_end_to_end_seconds,mean_partition_time_seconds,ci95_partition_time_seconds,mean_model_construction_seconds,ci95_model_construction_seconds,mean_downstream_optimization_seconds,ci95_downstream_optimization_seconds,mean_actual_average_gap,ci95_actual_average_gap,mean_indexed_bound,ci95_indexed_bound,mean_ordering_variables,ci95_ordering_variables,mean_nodes,ci95_nodes,statuses,all_actual_gaps_within_bound
20,4,unbalanced,bursty,0.25,fixed_size_closest_dimension,1,0.007949831895530224,0.0,0.0,0.0,0.00415587704628706,0.0,0.003793954849243164,0.0,0.0,0.0,0.0,0.0,140.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,4,unbalanced,bursty,0.25,proposed_bound_aware,1,0.005318131297826767,0.0,0.003069225698709488,0.0,0.0016888603568077087,0.0,0.0005600452423095703,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,4,unbalanced,bursty,0.25,threshold_closest_dimension,1,0.005875956267118454,0.0,0.0,0.0,0.0032347552478313446,0.0,0.0026412010192871094,0.0,0.0,0.0,0.0,0.0,91.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,4,unbalanced,bursty,0.5,fixed_size_closest_dimension,1,0.0030372999608516693,0.0,0.0,0.0,0.0019594095647335052,0.0,0.001077890396118164,0.0,1.9000000000000001,0.0,26.3,0.0,35.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,4,unbalanced,bursty,0.5,proposed_bound_aware,1,0.007706768810749054,0.0,0.0050988513976335526,0.0,0.001962995156645775,0.0,0.0006449222564697266,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,4,unbalanced,bursty,0.5,threshold_closest_dimension,1,0.005576699040830135,0.0,0.0,0.0,0.0029607703909277916,0.0,0.0026159286499023438,0.0,0.0,0.0,0.0,0.0,91.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,4,unbalanced,bursty,0.75,fixed_size_closest_dimension,1,0.0028787972405552864,0.0,0.0,0.0,0.0018128277733922005,0.0,0.001065969467163086,0.0,1.9000000000000001,0.0,26.3,0.0,35.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,4,unbalanced,bursty,0.75,proposed_bound_aware,1,0.006492976099252701,0.0,0.004157808609306812,0.0,0.0017481809481978416,0.0,0.0005869865417480469,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,4,unbalanced,bursty,0.75,threshold_closest_dimension,1,0.002243812195956707,0.0,0.0,0.0,0.0016806675121188164,0.0,0.0005631446838378906,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,4,unbalanced,bursty,0.9,fixed_size_closest_dimension,1,0.0017351238057017326,0.0,0.0,0.0,0.0013462631031870842,0.0,0.00038886070251464844,0.0,3.3,0.0,27.1,0.0,13.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,4,unbalanced,bursty,0.9,proposed_bound_aware,1,0.005907964892685413,0.0,0.004067573696374893,0.0,0.001408376730978489,0.0,0.00043201446533203125,0.0,1.05,0.0,18.7,0.0,13.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
20,4,unbalanced,bursty,0.9,threshold_closest_dimension,1,0.0017471471801400185,0.0,0.0,0.0,0.0013601938262581825,0.0,0.00038695335388183594,0.0,3.3,0.0,27.1,0.0,13.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
30,4,unbalanced,bursty,0.25,fixed_size_closest_dimension,1,0.037087162025272846,0.0,0.0,0.0,0.007854183204472065,0.0,0.02923297882080078,0.0,0.0,0.0,0.0,0.0,315.0,0.0,23.0,0.0,"{""OPTIMAL"": 1}",True
30,4,unbalanced,bursty,0.25,proposed_bound_aware,1,0.0137132303789258,0.0,0.00997228268533945,0.0,0.0023137740790843964,0.0,0.0014271736145019531,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
30,4,unbalanced,bursty,0.25,threshold_closest_dimension,1,0.017823833040893078,0.0,0.0,0.0,0.004352944903075695,0.0,0.013470888137817383,0.0,0.0,0.0,0.0,0.0,152.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
30,4,unbalanced,bursty,0.5,fixed_size_closest_dimension,1,0.004132876172661781,0.0,0.0,0.0,0.0030478332191705704,0.0,0.001085042953491211,0.0,1.3,0.0,49.63333333333333,0.0,91.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
30,4,unbalanced,bursty,0.5,proposed_bound_aware,1,0.013743900693953037,0.0,0.010041385889053345,0.0,0.0022784406319260597,0.0,0.0014240741729736328,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
30,4,unbalanced,bursty,0.5,threshold_closest_dimension,1,0.017749883234500885,0.0,0.0,0.0,0.004340745508670807,0.0,0.013409137725830078,0.0,0.0,0.0,0.0,0.0,152.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
30,4,unbalanced,bursty,0.75,fixed_size_closest_dimension,1,0.004190170206129551,0.0,0.0,0.0,0.003107273019850254,0.0,0.0010828971862792969,0.0,1.3,0.0,49.63333333333333,0.0,91.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
30,4,unbalanced,bursty,0.75,proposed_bound_aware,1,0.013587886467576027,0.0,0.00987339299172163,0.0,0.002286604605615139,0.0,0.0014278888702392578,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1.0,0.0,"{""OPTIMAL"": 1}",True
