scenario,replication,target_dimension_reduction,target_ordering_budget,method_family,method_detail,N,L,counts,demand_pattern,arrival_mode,hF,hS,max_platoon_size,partition,total_platoons,platoons_by_approach,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,actual_average_gap,actual_gap_le_indexed_bound,vehicle_level_average_delay,objective_average_delay,status,mip_gap,nodes,time_to_first_feasible,partition_time_seconds,partition_model_construction_seconds,partition_optimization_seconds,model_construction_seconds,downstream_optimization_seconds,end_to_end_seconds
N20_L4_unbalanced_bursty_hS2,0,0.25,105,proposed_bound_aware,min_Bidx_under_C_budget,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[4, 1, 3], [2, 1, 3], [3, 1], [2]]",9,"[3, 3, 2, 1]",29,140,0.7928571428571428,0,0.0,0.0,True,0.8,0.8,OPTIMAL,0.0,1.0,0.00011014938354492188,0.005119983106851578,0.004264951683580875,0.0007839202880859375,0.004273795522749424,0.0006570816040039062,0.010050860233604908
N20_L4_unbalanced_bursty_hS2,0,0.25,105,fixed_size_closest_dimension,fixed_size_1,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1]]",20,"[8, 6, 4, 2]",140,140,0.0,0,0.0,0.0,True,0.8,0.8,OPTIMAL,0.0,1.0,0.0013248920440673828,0.0,0.0,0.0,0.0069070421159267426,0.003827810287475586,0.010734852403402328
N20_L4_unbalanced_bursty_hS2,0,0.25,105,threshold_closest_dimension,release_gap_threshold_0,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[1, 2, 2, 1, 1, 1], [2, 1, 1, 1, 1], [2, 1, 1], [1, 1]]",16,"[6, 5, 3, 2]",91,140,0.35,0,0.0,0.0,True,0.8,0.8,OPTIMAL,0.0,1.0,0.0001327991485595703,0.0,0.0,0.0,0.005224931985139847,0.0027430057525634766,0.007967937737703323
N20_L4_unbalanced_bursty_hS2,0,0.5,70,proposed_bound_aware,min_Bidx_under_C_budget,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[4, 1, 3], [2, 1, 3], [3, 1], [2]]",9,"[3, 3, 2, 1]",29,140,0.7928571428571428,0,0.0,0.0,True,0.8,0.8,OPTIMAL,0.0,1.0,0.00010895729064941406,0.007504714652895927,0.004835884086787701,0.002593994140625,0.0035680094733834267,0.0006859302520751953,0.01175865437835455
N20_L4_unbalanced_bursty_hS2,0,0.5,70,fixed_size_closest_dimension,fixed_size_2,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[2, 2, 2, 2], [2, 2, 2], [2, 2], [2]]",10,"[4, 3, 2, 1]",35,140,0.75,526,26.3,1.9000000000000001,True,0.8,2.7,OPTIMAL,0.0,1.0,0.00011587142944335938,0.0,0.0,0.0,0.003725556656718254,0.0011608600616455078,0.004886416718363762
N20_L4_unbalanced_bursty_hS2,0,0.5,70,threshold_closest_dimension,release_gap_threshold_0,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[1, 2, 2, 1, 1, 1], [2, 1, 1, 1, 1], [2, 1, 1], [1, 1]]",16,"[6, 5, 3, 2]",91,140,0.35,0,0.0,0.0,True,0.8,0.8,OPTIMAL,0.0,1.0,0.00013399124145507812,0.0,0.0,0.0,0.006424193270504475,0.0027179718017578125,0.009142165072262287
N20_L4_unbalanced_bursty_hS2,0,0.75,35,proposed_bound_aware,min_Bidx_under_C_budget,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[4, 1, 3], [2, 1, 3], [3, 1], [2]]",9,"[3, 3, 2, 1]",29,140,0.7928571428571428,0,0.0,0.0,True,0.8,0.8,OPTIMAL,0.0,1.0,0.00010991096496582031,0.006565175950527191,0.004690353758633137,0.0017998218536376953,0.004513337276875973,0.0006749629974365234,0.011753476224839687
N20_L4_unbalanced_bursty_hS2,0,0.75,35,fixed_size_closest_dimension,fixed_size_2,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[2, 2, 2, 2], [2, 2, 2], [2, 2], [2]]",10,"[4, 3, 2, 1]",35,140,0.75,526,26.3,1.9000000000000001,True,0.8,2.7,OPTIMAL,0.0,1.0,0.00012993812561035156,0.0,0.0,0.0,0.003965769894421101,0.0012798309326171875,0.005245600827038288
N20_L4_unbalanced_bursty_hS2,0,0.75,35,threshold_closest_dimension,release_gap_threshold_1,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[4, 1, 3], [2, 1, 3], [3, 1], [2]]",9,"[3, 3, 2, 1]",29,140,0.7928571428571428,0,0.0,0.0,True,0.8,0.8,OPTIMAL,0.0,1.0,0.00010895729064941406,0.0,0.0,0.0,0.004445495083928108,0.0006530284881591797,0.005098523572087288
N20_L4_unbalanced_bursty_hS2,0,0.9,14,proposed_bound_aware,min_Bidx_under_C_budget,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[4, 4], [3, 3], [4], [2]]",6,"[2, 2, 1, 1]",13,140,0.9071428571428571,374,18.7,1.05,True,0.8,1.85,OPTIMAL,0.0,1.0,0.00010704994201660156,0.0061130523681640625,0.004173303954303265,0.0018668174743652344,0.003946931101381779,0.0005199909210205078,0.010579974390566349
N20_L4_unbalanced_bursty_hS2,0,0.9,14,fixed_size_closest_dimension,fixed_size_4,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[4, 4], [4, 2], [4], [2]]",6,"[2, 2, 1, 1]",13,140,0.9071428571428571,542,27.1,3.3,True,0.8,4.1,OPTIMAL,0.0,1.0,0.00010704994201660156,0.0,0.0,0.0,0.003268226981163025,0.00047516822814941406,0.003743395209312439
N20_L4_unbalanced_bursty_hS2,0,0.9,14,threshold_closest_dimension,release_gap_threshold_24,20,4,"[8, 6, 4, 2]",unbalanced,bursty,1,2,4,"[[4, 4], [4, 2], [4], [2]]",6,"[2, 2, 1, 1]",13,140,0.9071428571428571,542,27.1,3.3,True,0.8,4.1,OPTIMAL,0.0,1.0,0.00011706352233886719,0.0,0.0,0.0,0.004074704833328724,0.0005190372467041016,0.0045937420800328255
N30_L4_unbalanced_bursty_hS2,0,0.25,236,proposed_bound_aware,min_Bidx_under_C_budget,30,4,"[12, 9, 6, 3]",unbalanced,bursty,1,2,4,"[[1, 2, 4, 1, 4], [4, 3, 2], [2, 4], [1, 2]]",12,"[5, 3, 2, 2]",51,315,0.8380952380952381,0,0.0,0.0,True,1.0333333333333334,1.0333333333333334,OPTIMAL,0.0,1.0,0.00011801719665527344,0.012718971818685532,0.006646598689258099,0.005926847457885742,0.004349900409579277,0.0015058517456054688,0.018574723973870277
