mode,solver,status,partition,scaled_loss_budget,ordering_budget,objective_value,ordering_variables,scaled_indexed_bound,total_platoons,platoons_by_approach,vehicle_level_ordering_variables,dimension_reduction_fraction,indexed_bound,actual_scaled_gap,actual_average_gap,gap_le_indexed_bound
size_budget,enum,OPTIMAL,"[[3], [3], [3]]",,3,0,3,0,3,"[1, 1, 1]",27,8/9,0,0,0,True
size_budget,enum,OPTIMAL,"[[3], [3], [3]]",,5,0,3,0,3,"[1, 1, 1]",27,8/9,0,0,0,True
size_budget,enum,OPTIMAL,"[[3], [3], [3]]",,7,0,3,0,3,"[1, 1, 1]",27,8/9,0,0,0,True
size_budget,enum,OPTIMAL,"[[3], [3], [3]]",,8,0,3,0,3,"[1, 1, 1]",27,8/9,0,0,0,True
size_budget,enum,OPTIMAL,"[[3], [3], [3]]",,11,0,3,0,3,"[1, 1, 1]",27,8/9,0,0,0,True
size_budget,enum,OPTIMAL,"[[3], [3], [3]]",,12,0,3,0,3,"[1, 1, 1]",27,8/9,0,0,0,True
size_budget,enum,OPTIMAL,"[[3], [3], [3]]",,15,0,3,0,3,"[1, 1, 1]",27,8/9,0,0,0,True
size_budget,enum,OPTIMAL,"[[3], [3], [3]]",,16,0,3,0,3,"[1, 1, 1]",27,8/9,0,0,0,True
size_budget,enum,OPTIMAL,"[[3], [3], [3]]",,21,0,3,0,3,"[1, 1, 1]",27,8/9,0,0,0,True
size_budget,enum,OPTIMAL,"[[3], [3], [3]]",,27,0,3,0,3,"[1, 1, 1]",27,8/9,0,0,0,True
