scenario,replication,target_dimension_reduction,raw_target_ordering_budget,target_ordering_budget,method_family,method_detail,N,L,counts,demand_pattern,arrival_mode,hF,hS,max_platoon_size,partition,total_platoons,platoons_by_approach,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,actual_average_gap,actual_gap_le_indexed_bound,vehicle_level_average_delay,vehicle_level_status,vehicle_level_mip_gap,vehicle_level_nodes,vehicle_level_time_to_first_feasible,vehicle_level_model_construction_seconds,vehicle_level_downstream_optimization_seconds,vehicle_level_wall_time_seconds,objective_average_delay,status,mip_gap,nodes,time_to_first_feasible,partition_time_seconds,partition_model_construction_seconds,partition_optimization_seconds,model_construction_seconds,downstream_optimization_seconds,end_to_end_seconds
N20_L4_balanced_poisson_hS2,0,0.25,112,112,proposed_bound_aware,min_Bidx_under_C_budget,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 2, 1], [1, 1, 1, 2], [4, 1], [1, 3, 1]]",12,"[3, 4, 2, 3]",53,150,0.6466666666666666,0,0.0,,,,TIME_LIMIT,0.2328270544376062,62852.0,0.0020940303802490234,0.014192365109920502,30.000147104263306,30.01441132929176,5.1,OPTIMAL,0.0,2469.0,0.0009028911590576172,0.007741010747849941,0.005613393150269985,0.0020270347595214844,0.004137057811021805,0.25153303146362305,0.26345962285995483
N20_L4_balanced_poisson_hS2,0,0.25,112,112,fixed_size_closest_dimension,fixed_size_2,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 1]]",12,"[3, 3, 3, 3]",54,150,0.64,163,8.15,,,,TIME_LIMIT,0.2328270544376062,62852.0,0.0020940303802490234,0.014192365109920502,30.000147104263306,30.01441132929176,5.1,OPTIMAL,0.0,1449.0,0.0007791519165039062,0.0,0.0,0.0,0.005126879550516605,0.14897513389587402,0.15414655022323132
N20_L4_balanced_poisson_hS2,0,0.25,112,112,threshold_closest_dimension,release_gap_threshold_1,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 2, 1], [1, 1, 1, 2], [4, 1], [1, 3, 1]]",12,"[3, 4, 2, 3]",53,150,0.6466666666666666,0,0.0,,,,TIME_LIMIT,0.2328270544376062,62852.0,0.0020940303802490234,0.014192365109920502,30.000147104263306,30.01441132929176,5.1,OPTIMAL,0.0,2469.0,0.000782012939453125,0.0,0.0,0.0,0.004185951314866543,0.25032496452331543,0.25455624982714653
N20_L4_balanced_poisson_hS2,0,0.5,75,75,proposed_bound_aware,min_Bidx_under_C_budget,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 2, 1], [1, 1, 1, 2], [4, 1], [1, 3, 1]]",12,"[3, 4, 2, 3]",53,150,0.6466666666666666,0,0.0,,,,TIME_LIMIT,0.2328270544376062,62852.0,0.0020940303802490234,0.014192365109920502,30.000147104263306,30.01441132929176,5.1,OPTIMAL,0.0,2469.0,0.0008950233459472656,0.006754854694008827,0.004824304021894932,0.0018520355224609375,0.0049758413806557655,0.24893498420715332,0.26071614772081375
N20_L4_balanced_poisson_hS2,0,0.5,75,75,fixed_size_closest_dimension,fixed_size_2,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 1]]",12,"[3, 3, 3, 3]",54,150,0.64,163,8.15,,,,TIME_LIMIT,0.2328270544376062,62852.0,0.0020940303802490234,0.014192365109920502,30.000147104263306,30.01441132929176,5.1,OPTIMAL,0.0,1449.0,0.0007569789886474609,0.0,0.0,0.0,0.0041875336319208145,0.14843082427978516,0.15266283322125673
N20_L4_balanced_poisson_hS2,0,0.5,75,75,threshold_closest_dimension,release_gap_threshold_1,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 2, 1], [1, 1, 1, 2], [4, 1], [1, 3, 1]]",12,"[3, 4, 2, 3]",53,150,0.6466666666666666,0,0.0,,,,TIME_LIMIT,0.2328270544376062,62852.0,0.0020940303802490234,0.014192365109920502,30.000147104263306,30.01441132929176,5.1,OPTIMAL,0.0,2469.0,0.0007891654968261719,0.0,0.0,0.0,0.004111268557608128,0.24908709526062012,0.2532433932647109
N20_L4_balanced_poisson_hS2,0,0.75,38,38,proposed_bound_aware,min_Bidx_under_C_budget,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 3], [1, 1, 3], [4, 1], [1, 3, 1]]",10,"[2, 3, 2, 3]",37,150,0.7533333333333333,29,1.45,,,,TIME_LIMIT,0.2328270544376062,62852.0,0.0020940303802490234,0.014192365109920502,30.000147104263306,30.01441132929176,5.1,OPTIMAL,0.0,909.0,0.0007131099700927734,0.0073277875781059265,0.005514344200491905,0.0017328262329101562,0.004164819605648518,0.10112595558166504,0.11266336496919394
N20_L4_balanced_poisson_hS2,0,0.75,38,38,fixed_size_closest_dimension,fixed_size_3,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[3, 2], [3, 2], [3, 2], [3, 2]]",8,"[2, 2, 2, 2]",24,150,0.84,290,14.5,,,,TIME_LIMIT,0.2328270544376062,62852.0,0.0020940303802490234,0.014192365109920502,30.000147104263306,30.01441132929176,5.3,OPTIMAL,0.0,135.0,0.00019884109497070312,0.0,0.0,0.0,0.0050948020070791245,0.0297698974609375,0.03492551948875189
N20_L4_balanced_poisson_hS2,0,0.75,38,38,threshold_closest_dimension,release_gap_threshold_2,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 3], [1, 4], [4, 1], [1, 3, 1]]",9,"[2, 2, 2, 3]",30,150,0.8,45,2.25,,,,TIME_LIMIT,0.2328270544376062,62852.0,0.0020940303802490234,0.014192365109920502,30.000147104263306,30.01441132929176,5.1,OPTIMAL,0.0,509.0,0.00018787384033203125,0.0,0.0,0.0,0.005056804046034813,0.05830097198486328,0.06341482140123844
N20_L4_balanced_poisson_hS2,0,0.9,15,24,proposed_bound_aware,min_Bidx_under_C_budget,20,4,"[5, 5, 5, 5]",balanced,poisson,1,2,4,"[[2, 3], [1, 4], [4, 1], [4, 1]]",8,"[2, 2, 2, 2]",24,150,0.84,81,4.05,,,,TIME_LIMIT,0.2328270544376062,62852.0,0.0020940303802490234,0.014192365109920502,30.000147104263306,30.01441132929176,5.1,OPTIMAL,0.0,202.0,0.0006120204925537109,0.007785208523273468,0.0055835675448179245,0.002107858657836914,0.004393904469907284,0.03309798240661621,0.045325398445129395
