N,L,demand_pattern,arrival_mode,target_dimension_reduction,method_family,cases,mean_end_to_end_seconds,ci95_end_to_end_seconds,mean_partition_time_seconds,ci95_partition_time_seconds,mean_model_construction_seconds,ci95_model_construction_seconds,mean_downstream_optimization_seconds,ci95_downstream_optimization_seconds,mean_actual_average_gap,ci95_actual_average_gap,mean_indexed_bound,ci95_indexed_bound,mean_ordering_variables,ci95_ordering_variables,mean_nodes,ci95_nodes,statuses,all_actual_gaps_within_bound
20,4,balanced,poisson,0.25,fixed_size_closest_dimension,2,0.20820559840649366,0.10595573443919419,0.0,0.0,0.004761975258588791,0.0007152124121785164,0.20339715480804443,0.10666716098785399,,,7.050000000000001,2.1559999999999997,54.0,0.0,2114.0,1303.3999999999999,"{""OPTIMAL"": 2}",True
20,4,balanced,poisson,0.25,proposed_bound_aware,2,0.2253759833984077,0.07464393334463239,0.007305460516363382,0.0008536784537136555,0.0042520263232290745,0.00022533828392624854,0.2137695550918579,0.07401641368865967,,,0.0,0.0,47.5,10.78,2157.5,610.5399999999998,"{""OPTIMAL"": 2}",True
20,4,balanced,poisson,0.25,threshold_closest_dimension,2,3.462024132721126,6.2866370504722,0.0,0.0,0.004829517100006342,0.001261388938874006,3.457145929336548,6.285369091033934,,,0.0,0.0,74.0,41.15999999999999,12705.0,20062.559999999998,"{""OPTIMAL"": 2}",True
20,4,balanced,poisson,0.5,fixed_size_closest_dimension,2,0.20822762278839946,0.10890698755159973,0.0,0.0,0.004680983256548643,0.0009671612642705439,0.20350146293640137,0.10793845176696776,,,7.050000000000001,2.1559999999999997,54.0,0.0,2114.0,1303.3999999999999,"{""OPTIMAL"": 2}",True
20,4,balanced,poisson,0.5,proposed_bound_aware,2,0.2250872328877449,0.06983267307281493,0.00726270629093051,0.0009953891299664974,0.0047894613817334175,0.0003653047978878021,0.2129840850830078,0.0704637622833252,,,0.0,0.0,47.5,10.78,2157.5,610.5399999999998,"{""OPTIMAL"": 2}",True
20,4,balanced,poisson,0.5,threshold_closest_dimension,2,0.2163133304566145,0.07238292310386894,0.0,0.0,0.004446054343134165,0.0006561801396310329,0.211822509765625,0.07303858757019042,,,0.0,0.0,47.5,10.78,2157.5,610.5399999999998,"{""OPTIMAL"": 2}",True
20,4,balanced,poisson,0.75,fixed_size_closest_dimension,2,0.037263003177940845,0.004581468030810355,0.0,0.0,0.004501082003116608,0.0011636912077665328,0.032709479331970215,0.00576158046722412,,,13.125,2.695,24.0,0.0,182.0,92.11999999999999,"{""OPTIMAL"": 2}",True
20,4,balanced,poisson,0.75,proposed_bound_aware,2,0.10881968354806304,0.007533615585416555,0.006941871717572212,0.0007563950866460799,0.0042399088852107525,0.00014717498794198036,0.09759294986724854,0.006924691200256346,,,1.125,0.6369999999999999,36.5,0.9799999999999999,1059.5,294.98,"{""OPTIMAL"": 2}",True
20,4,balanced,poisson,0.75,threshold_closest_dimension,2,0.08133487775921822,0.035123310461640356,0.0,0.0,0.0047832573764026165,0.0005361514724791049,0.07650089263916016,0.03567184448242187,,,1.525,1.4209999999999998,33.0,5.879999999999998,859.5,686.9799999999999,"{""OPTIMAL"": 2}",True
20,4,balanced,poisson,0.9,fixed_size_closest_dimension,2,0.03728834539651871,0.005646149963140487,0.0,0.0,0.004672334995120764,0.0004130835272371769,0.03256356716156006,0.006067194938659667,,,13.125,2.695,24.0,0.0,182.0,92.11999999999999,"{""OPTIMAL"": 2}",True
20,4,balanced,poisson,0.9,proposed_bound_aware,2,0.04574480606243014,0.0008220389299094677,0.00717219989746809,0.0012014969065785406,0.003948342986404896,0.0008733005076646805,0.03457748889923096,0.002899832725524902,,,3.9749999999999996,0.1469999999999999,24.0,0.0,245.5,85.25999999999999,"{""OPTIMAL"": 2}",True
20,4,balanced,poisson,0.9,threshold_closest_dimension,2,0.038164451252669096,0.0042678282223641865,0.0,0.0,0.004365211818367243,0.0007815937139093875,0.033748507499694824,0.00347414493560791,,,4.775,1.421,24.0,0.0,273.5,140.14,"{""OPTIMAL"": 2}",True
