partition,platoons_by_approach,total_platoons,ordering_variables,vehicle_level_ordering_variables,dimension_reduction_fraction,scaled_indexed_bound,indexed_bound,actual_scaled_gap,actual_average_gap,gap_le_indexed_bound
"[[3], [3], [3]]","[1, 1, 1]",3,3,27,8/9,123,41/3,30,10/3,True
"[[3], [3], [1, 2]]","[1, 1, 2]",4,5,27,22/27,101,101/9,16,16/9,True
"[[3], [1, 2], [3]]","[1, 2, 1]",4,5,27,22/27,101,101/9,16,16/9,True
"[[1, 2], [3], [3]]","[2, 1, 1]",4,5,27,22/27,101,101/9,16,16/9,True
"[[3], [3], [1, 1, 1]]","[1, 1, 3]",5,7,27,20/27,82,82/9,12,4/3,True
"[[3], [1, 1, 1], [3]]","[1, 3, 1]",5,7,27,20/27,82,82/9,12,4/3,True
"[[1, 1, 1], [3], [3]]","[3, 1, 1]",5,7,27,20/27,82,82/9,12,4/3,True
"[[3], [1, 2], [1, 2]]","[1, 2, 2]",5,8,27,19/27,79,79/9,7,7/9,True
"[[1, 2], [3], [1, 2]]","[2, 1, 2]",5,8,27,19/27,79,79/9,7,7/9,True
"[[1, 2], [1, 2], [3]]","[2, 2, 1]",5,8,27,19/27,79,79/9,7,7/9,True
"[[3], [1, 2], [1, 1, 1]]","[1, 2, 3]",6,11,27,16/27,60,20/3,1,1/9,True
"[[3], [1, 1, 1], [1, 2]]","[1, 3, 2]",6,11,27,16/27,60,20/3,1,1/9,True
"[[1, 2], [3], [1, 1, 1]]","[2, 1, 3]",6,11,27,16/27,60,20/3,1,1/9,True
"[[1, 2], [1, 1, 1], [3]]","[2, 3, 1]",6,11,27,16/27,60,20/3,1,1/9,True
"[[1, 1, 1], [3], [1, 2]]","[3, 1, 2]",6,11,27,16/27,60,20/3,1,1/9,True
"[[1, 1, 1], [1, 2], [3]]","[3, 2, 1]",6,11,27,16/27,60,20/3,1,1/9,True
"[[1, 2], [1, 2], [1, 2]]","[2, 2, 2]",6,12,27,5/9,57,19/3,7,7/9,True
"[[3], [1, 1, 1], [1, 1, 1]]","[1, 3, 3]",7,15,27,4/9,41,41/9,1,1/9,True
"[[1, 1, 1], [3], [1, 1, 1]]","[3, 1, 3]",7,15,27,4/9,41,41/9,1,1/9,True
"[[1, 1, 1], [1, 1, 1], [3]]","[3, 3, 1]",7,15,27,4/9,41,41/9,1,1/9,True
"[[1, 2], [1, 2], [1, 1, 1]]","[2, 2, 3]",7,16,27,11/27,38,38/9,0,0,True
"[[1, 2], [1, 1, 1], [1, 2]]","[2, 3, 2]",7,16,27,11/27,38,38/9,0,0,True
"[[1, 1, 1], [1, 2], [1, 2]]","[3, 2, 2]",7,16,27,11/27,38,38/9,0,0,True
"[[1, 2], [1, 1, 1], [1, 1, 1]]","[2, 3, 3]",8,21,27,2/9,19,19/9,0,0,True
"[[1, 1, 1], [1, 2], [1, 1, 1]]","[3, 2, 3]",8,21,27,2/9,19,19/9,0,0,True
"[[1, 1, 1], [1, 1, 1], [1, 2]]","[3, 3, 2]",8,21,27,2/9,19,19/9,0,0,True
"[[1, 1, 1], [1, 1, 1], [1, 1, 1]]","[3, 3, 3]",9,27,27,0,0,0,0,0,True
