seed,replication,N,L,counts,releases,arrival_rate,h_F,h_S,threshold,max_platoon_size,method,partition,number_of_platoons,ordering_variable_count,vehicle_level_ordering_variable_count,formation_time_ms,model_build_time_s,solve_time_s,end_to_end_time_s,status,objective,actual_optimality_gap,actual_gap_reference,terminal_mip_gap,node_count,partition_specific_upper_bound,scaled_partition_specific_upper_bound,rule_level_upper_bound,scaled_rule_level_upper_bound
3098514068560073851,0,8,4,"[2, 2, 2, 2]","[[2, 5], [4, 6], [3, 4], [0, 1]]",0.7,1,2,,1,NP,"[[1, 1], [1, 1], [1, 1], [1, 1]]",8,24,24,0.005427747964859009,0.0035018399357795715,0.015398979187011719,0.01894922647625208,OPTIMAL,1.875,0.0,exact_enumeration,0.0,45.0,0.0,0,0.0,0
3098514068560073851,0,8,4,"[2, 2, 2, 2]","[[2, 5], [4, 6], [3, 4], [0, 1]]",0.7,1,2,4,,CHP,"[[2], [2], [2], [2]]",4,6,24,0.005188398063182831,0.0035897335037589073,0.002813100814819336,0.006450866349041462,OPTIMAL,1.875,0.0,exact_enumeration,0.0,3.0,2.125,17,16.625,133
3098514068560073851,0,8,4,"[2, 2, 2, 2]","[[2, 5], [4, 6], [3, 4], [0, 1]]",0.7,1,2,4,2,PP,"[[2], [2], [2], [2]]",4,6,24,0.0037960708141326904,0.002993771806359291,0.002688884735107422,0.005729885771870613,OPTIMAL,1.875,0.0,exact_enumeration,0.0,3.0,2.125,17,9.5,76
7190825650129794193,1,8,4,"[2, 2, 2, 2]","[[2, 2], [0, 1], [2, 2], [5, 6]]",0.7,1,2,,1,NP,"[[1, 1], [1, 1], [1, 1], [1, 1]]",8,24,24,0.00792182981967926,0.004159163683652878,0.020292997360229492,0.024503037333488464,OPTIMAL,2.5,0.0,exact_enumeration,0.0,71.0,0.0,0,0.0,0
7190825650129794193,1,8,4,"[2, 2, 2, 2]","[[2, 2], [0, 1], [2, 2], [5, 6]]",0.7,1,2,4,,CHP,"[[2], [2], [2], [2]]",4,6,24,0.010726042091846466,0.0033959494903683662,0.0011529922485351562,0.0046106548979878426,OPTIMAL,2.5,0.0,exact_enumeration,0.0,1.0,0.0,0,16.625,133
7190825650129794193,1,8,4,"[2, 2, 2, 2]","[[2, 2], [0, 1], [2, 2], [5, 6]]",0.7,1,2,4,2,PP,"[[2], [2], [2], [2]]",4,6,24,0.00412575900554657,0.0033478476107120514,0.001132965087890625,0.004532326944172382,OPTIMAL,2.5,0.0,exact_enumeration,0.0,1.0,0.0,0,9.5,76
5818830428614376838,0,12,4,"[3, 3, 3, 3]","[[2, 3, 3], [2, 2, 2], [1, 2, 6], [1, 2, 2]]",0.7,1,2,,1,NP,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]",12,54,54,0.006388872861862183,0.004740942269563675,0.7117559909820557,0.7165571199730039,OPTIMAL,5.666666666666667,0.0,np_gurobi_optimal,0.0,4050.0,0.0,0,0.0,0
5818830428614376838,0,12,4,"[3, 3, 3, 3]","[[2, 3, 3], [2, 2, 2], [1, 2, 6], [1, 2, 2]]",0.7,1,2,4,,CHP,"[[3], [3], [3], [3]]",4,6,54,0.010755844414234161,0.004063578322529793,0.004998207092285156,0.009115329012274742,OPTIMAL,5.666666666666667,0.0,np_gurobi_optimal,0.0,23.0,2.3333333333333335,28,28.416666666666668,341
5818830428614376838,0,12,4,"[3, 3, 3, 3]","[[2, 3, 3], [2, 2, 2], [1, 2, 6], [1, 2, 2]]",0.7,1,2,4,2,PP,"[[2, 1], [2, 1], [2, 1], [2, 1]]",8,24,54,0.01268833875656128,0.0034376727417111397,0.03696799278259277,0.0404608640819788,OPTIMAL,5.666666666666667,0.0,np_gurobi_optimal,0.0,267.0,0.0,0,15.5,186
5820462537680838533,1,12,4,"[3, 3, 3, 3]","[[4, 5, 6], [1, 2, 4], [0, 1, 1], [2, 3, 7]]",0.7,1,2,,1,NP,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]",12,54,54,0.006029382348060608,0.0049180202186107635,0.2709770202636719,0.27594547159969807,OPTIMAL,4.0,0.0,np_gurobi_optimal,0.0,2242.0,0.0,0,0.0,0
5820462537680838533,1,12,4,"[3, 3, 3, 3]","[[4, 5, 6], [1, 2, 4], [0, 1, 1], [2, 3, 7]]",0.7,1,2,4,,CHP,"[[3], [3], [3], [3]]",4,6,54,0.011546537280082703,0.004176490008831024,0.002911090850830078,0.007141578011214733,OPTIMAL,4.0,0.0,np_gurobi_optimal,0.0,9.0,3.0,36,28.416666666666668,341
5820462537680838533,1,12,4,"[3, 3, 3, 3]","[[4, 5, 6], [1, 2, 4], [0, 1, 1], [2, 3, 7]]",0.7,1,2,4,2,PP,"[[2, 1], [2, 1], [2, 1], [2, 1]]",8,24,54,0.011377036571502686,0.004343461245298386,0.029754161834716797,0.03415070287883282,OPTIMAL,4.0,0.0,np_gurobi_optimal,0.0,138.0,0.0,0,15.5,186
