instance_id,seed,replication,N,L,counts,releases,lambda,arrival_rate,total_arrival_rate,per_approach_arrival_rate,h_F,h_S,method,run_role,threshold,delta,max_platoon_size,Pmax,partition,number_of_platoons,ordering_variable_count,vehicle_level_ordering_variable_count,dimension_reduction_ratio,formation_time_ms,formation_repetitions,partition_specific_upper_bound,scaled_partition_specific_upper_bound,rule_level_upper_bound,scaled_rule_level_upper_bound,time_limit_s,threads,status,objective,objective_total_delay,best_bound,terminal_mip_gap,solve_time_s,model_construction_time_s,end_to_end_time_s,node_count,time_to_first_feasible_s,sol_count,np_status,np_objective,np_terminal_mip_gap,np_solve_time_s,np_optimal_objective,np_optimal_source,matching_chp_objective,pp_optimal_objective,actual_optimality_gap,bound_check_available,bound_slack,bound_valid,delay_order_check_available,np_pp_chp_delay_order_holds
N20_lambda0p5_rep000_seed810262021606489046,810262021606489046,0,20,4,"[5, 5, 5, 5]","[[5, 9, 10, 23, 25], [14, 17, 30, 45, 52], [4, 5, 6, 6, 11], [4, 12, 20, 27, 34]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,2,2,2,2,"[[1, 2, 2], [1, 1, 1, 1, 1], [2, 2, 1], [1, 1, 1, 1, 1]]",16,94,150,0.3733333333333333,0.001968,20,0.6,12,7.5,150,600.0,12,OPTIMAL,3.35,67.0,67.0,0.0,0.1579570770263672,0.006212770007550716,0.16423760738587903,1660.0,0.0012099742889404297,10,OPTIMAL,3.35,0.0,0.43045997619628906,3.35,uniform_600s,3.35,3.35,0.0,True,7.5,True,True,True
N20_lambda0p5_rep000_seed810262021606489046,810262021606489046,0,20,4,"[5, 5, 5, 5]","[[5, 9, 10, 23, 25], [14, 17, 30, 45, 52], [4, 5, 6, 6, 11], [4, 12, 20, 27, 34]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,2,2,4,4,"[[1, 2, 2], [1, 1, 1, 1, 1], [4, 1], [1, 1, 1, 1, 1]]",15,81,150,0.45999999999999996,0.0018675,20,0.6,12,11.25,225,600.0,12,OPTIMAL,3.35,67.0,66.99999999999937,0.0,0.07497906684875488,0.006062704138457775,0.08111291584824801,980.0,0.0001881122589111328,10,OPTIMAL,3.35,0.0,0.43045997619628906,3.35,uniform_600s,3.35,3.35,0.0,True,11.25,True,True,True
N20_lambda0p5_rep000_seed810262021606489046,810262021606489046,0,20,4,"[5, 5, 5, 5]","[[5, 9, 10, 23, 25], [14, 17, 30, 45, 52], [4, 5, 6, 6, 11], [4, 12, 20, 27, 34]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,2,2,6,6,"[[1, 2, 2], [1, 1, 1, 1, 1], [4, 1], [1, 1, 1, 1, 1]]",15,81,150,0.45999999999999996,0.0029595,20,0.6,12,12.0,240,600.0,12,OPTIMAL,3.35,67.0,66.99999999999937,0.0,0.08673214912414551,0.008642083033919334,0.09547149924461555,980.0,0.00028896331787109375,10,OPTIMAL,3.35,0.0,0.43045997619628906,3.35,uniform_600s,3.35,3.35,0.0,True,12.0,True,True,True
N20_lambda0p5_rep000_seed810262021606489046,810262021606489046,0,20,4,"[5, 5, 5, 5]","[[5, 9, 10, 23, 25], [14, 17, 30, 45, 52], [4, 5, 6, 6, 11], [4, 12, 20, 27, 34]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,2,2,8,8,"[[1, 2, 2], [1, 1, 1, 1, 1], [4, 1], [1, 1, 1, 1, 1]]",15,81,150,0.45999999999999996,0.002534,20,0.6,12,12.75,255,600.0,12,OPTIMAL,3.35,67.0,66.99999999999937,0.0,0.08477091789245605,0.008851779624819756,0.09372183947058582,980.0,0.0002849102020263672,10,OPTIMAL,3.35,0.0,0.43045997619628906,3.35,uniform_600s,3.35,3.35,0.0,True,12.75,True,True,True
N20_lambda0p5_rep000_seed810262021606489046,810262021606489046,0,20,4,"[5, 5, 5, 5]","[[5, 9, 10, 23, 25], [14, 17, 30, 45, 52], [4, 5, 6, 6, 11], [4, 12, 20, 27, 34]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,4,4,2,2,"[[2, 1, 2], [2, 1, 1, 1], [2, 2, 1], [1, 1, 1, 1, 1]]",15,83,150,0.44666666666666666,0.001848,20,4.95,99,26.5,530,600.0,12,OPTIMAL,3.35,67.0,67.0,0.0,0.13424181938171387,0.0061350734904408455,0.14045145667613554,639.0,0.0001919269561767578,7,OPTIMAL,3.35,0.0,0.43045997619628906,3.35,uniform_600s,3.35,3.35,0.0,True,26.5,True,True,True
N20_lambda0p5_rep000_seed810262021606489046,810262021606489046,0,20,4,"[5, 5, 5, 5]","[[5, 9, 10, 23, 25], [14, 17, 30, 45, 52], [4, 5, 6, 6, 11], [4, 12, 20, 27, 34]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,4,4,4,4,"[[3, 2], [2, 1, 1, 1], [4, 1], [1, 1, 1, 1, 1]]",13,60,150,0.6,0.0017725,20,4.95,99,39.75,795,600.0,12,OPTIMAL,3.35,67.0,67.0,0.0,0.02653217315673828,0.005435395985841751,0.03203715310188293,232.0,0.00017213821411132812,5,OPTIMAL,3.35,0.0,0.43045997619628906,3.35,uniform_600s,3.35,3.35,0.0,True,39.75,True,True,True
N20_lambda0p5_rep000_seed810262021606489046,810262021606489046,0,20,4,"[5, 5, 5, 5]","[[5, 9, 10, 23, 25], [14, 17, 30, 45, 52], [4, 5, 6, 6, 11], [4, 12, 20, 27, 34]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,4,4,6,6,"[[3, 2], [2, 1, 1, 1], [4, 1], [1, 1, 1, 1, 1]]",13,60,150,0.6,0.0018075,20,4.95,99,42.4,848,600.0,12,OPTIMAL,3.35,67.0,67.0,0.0,0.024766921997070312,0.0055549778044223785,0.030384812306935786,232.0,0.00017404556274414062,5,OPTIMAL,3.35,0.0,0.43045997619628906,3.35,uniform_600s,3.35,3.35,0.0,True,42.4,True,True,True
N20_lambda0p5_rep000_seed810262021606489046,810262021606489046,0,20,4,"[5, 5, 5, 5]","[[5, 9, 10, 23, 25], [14, 17, 30, 45, 52], [4, 5, 6, 6, 11], [4, 12, 20, 27, 34]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,4,4,8,8,"[[3, 2], [2, 1, 1, 1], [4, 1], [1, 1, 1, 1, 1]]",13,60,150,0.6,0.001883,20,4.95,99,45.05,901,600.0,12,OPTIMAL,3.35,67.0,67.0,0.0,0.025101900100708008,0.00534634105861187,0.03050484774248171,232.0,0.00016808509826660156,5,OPTIMAL,3.35,0.0,0.43045997619628906,3.35,uniform_600s,3.35,3.35,0.0,True,45.05,True,True,True
N20_lambda0p5_rep000_seed810262021606489046,810262021606489046,0,20,4,"[5, 5, 5, 5]","[[5, 9, 10, 23, 25], [14, 17, 30, 45, 52], [4, 5, 6, 6, 11], [4, 12, 20, 27, 34]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,6,6,2,2,"[[2, 1, 2], [2, 1, 1, 1], [2, 2, 1], [1, 1, 1, 1, 1]]",15,83,150,0.44666666666666666,0.0019225,20,4.95,99,45.5,910,600.0,12,OPTIMAL,3.35,67.0,67.0,0.0,0.13185787200927734,0.005888018757104874,0.13783057710962057,639.0,0.0002028942108154297,7,OPTIMAL,3.35,0.0,0.43045997619628906,3.35,uniform_600s,3.65,3.35,0.0,True,45.5,True,True,True
N20_lambda0p5_rep000_seed810262021606489046,810262021606489046,0,20,4,"[5, 5, 5, 5]","[[5, 9, 10, 23, 25], [14, 17, 30, 45, 52], [4, 5, 6, 6, 11], [4, 12, 20, 27, 34]]",0.5,0.5,0.5,0.125,1,3,PP,uniform_600s,6,6,4,4,"[[3, 2], [2, 1, 1, 1], [4, 1], [1, 1, 1, 1, 1]]",13,60,150,0.6,0.0018575,20,4.95,99,68.25,1365,600.0,12,OPTIMAL,3.35,67.0,67.0,0.0,0.025964975357055664,0.00561038963496685,0.031642121705634595,232.0,0.00018095970153808594,5,OPTIMAL,3.35,0.0,0.43045997619628906,3.35,uniform_600s,3.65,3.35,0.0,True,68.25,True,True,True
