seed,replication,N,L,counts,releases,arrival_rate,h_F,h_S,threshold,max_platoon_size,method,partition,number_of_platoons,ordering_variable_count,vehicle_level_ordering_variable_count,formation_time_ms,formation_repetitions,model_build_time_s,solve_time_s,end_to_end_time_s,status,objective,actual_optimality_gap,actual_gap_reference,terminal_mip_gap,node_count,partition_specific_upper_bound,scaled_partition_specific_upper_bound,rule_level_upper_bound,scaled_rule_level_upper_bound,np_pp_chp_delay_order_holds,matching_chp_objective
10090335541577908271,0,8,4,"[2, 2, 2, 2]","[[4, 13], [3, 5], [3, 10], [5, 5]]",0.4,1,2,,1,NP,"[[1, 1], [1, 1], [1, 1], [1, 1]]",8,24,24,0.0009465,20,0.2752416953444481,0.025928974151611328,0.3012405254846778,OPTIMAL,2.625,0.0,exact_enumeration,0.0,161.0,0.0,0,0.0,0,,
10090335541577908271,0,8,4,"[2, 2, 2, 2]","[[4, 13], [3, 5], [3, 10], [5, 5]]",0.4,1,2,2,,CHP,"[[1, 1], [2], [1, 1], [2]]",6,13,24,0.003535,20,0.003804687410593033,0.009872913360595703,0.013724864160034657,OPTIMAL,2.625,0.0,exact_enumeration,0.0,38.0,0.625,5,4.375,35,,
10090335541577908271,0,8,4,"[2, 2, 2, 2]","[[4, 13], [3, 5], [3, 10], [5, 5]]",0.4,1,2,2,2,PP,"[[1, 1], [2], [1, 1], [2]]",6,13,24,0.003906,20,0.004570764489471912,0.010202884674072266,0.01483495071117258,OPTIMAL,2.625,0.0,exact_enumeration,0.0,38.0,0.625,5,2.5,20,True,2.625
10090335541577908271,0,8,4,"[2, 2, 2, 2]","[[4, 13], [3, 5], [3, 10], [5, 5]]",0.4,1,2,2,3,PP,"[[1, 1], [2], [1, 1], [2]]",6,13,24,0.0035155,20,0.004510883241891861,0.010202169418334961,0.014773987922242165,OPTIMAL,2.625,0.0,exact_enumeration,0.0,38.0,0.625,5,3.125,25,True,2.625
10090335541577908271,0,8,4,"[2, 2, 2, 2]","[[4, 13], [3, 5], [3, 10], [5, 5]]",0.4,1,2,3,,CHP,"[[1, 1], [2], [1, 1], [2]]",6,13,24,0.0028145,20,0.003363311290740967,0.009660005569458008,0.013069714462723255,OPTIMAL,2.625,0.0,exact_enumeration,0.0,38.0,0.625,5,10.5,84,,
10090335541577908271,0,8,4,"[2, 2, 2, 2]","[[4, 13], [3, 5], [3, 10], [5, 5]]",0.4,1,2,3,2,PP,"[[1, 1], [2], [1, 1], [2]]",6,13,24,0.0035155,20,0.004789224825799465,0.010025978088378906,0.014876093472710133,OPTIMAL,2.625,0.0,exact_enumeration,0.0,38.0,0.625,5,6.0,48,True,2.625
10090335541577908271,0,8,4,"[2, 2, 2, 2]","[[4, 13], [3, 5], [3, 10], [5, 5]]",0.4,1,2,3,3,PP,"[[1, 1], [2], [1, 1], [2]]",6,13,24,0.003796,20,0.004656624048948288,0.010067939758300781,0.014785947207327843,OPTIMAL,2.625,0.0,exact_enumeration,0.0,38.0,0.625,5,7.5,60,True,2.625
5614894019028137893,1,8,4,"[2, 2, 2, 2]","[[4, 7], [3, 10], [6, 7], [0, 1]]",0.4,1,2,,1,NP,"[[1, 1], [1, 1], [1, 1], [1, 1]]",8,24,24,0.0009315,20,0.004175286740064621,0.007580995559692383,0.011815048931640626,OPTIMAL,1.0,0.0,exact_enumeration,0.0,1.0,0.0,0,0.0,0,,
5614894019028137893,1,8,4,"[2, 2, 2, 2]","[[4, 7], [3, 10], [6, 7], [0, 1]]",0.4,1,2,2,,CHP,"[[1, 1], [1, 1], [2], [2]]",6,13,24,0.0011665,20,0.003913993015885353,0.0007309913635253906,0.004689800105837822,OPTIMAL,1.0,0.0,exact_enumeration,0.0,1.0,0.0,0,4.375,35,,
5614894019028137893,1,8,4,"[2, 2, 2, 2]","[[4, 7], [3, 10], [6, 7], [0, 1]]",0.4,1,2,2,2,PP,"[[1, 1], [1, 1], [2], [2]]",6,13,24,0.0034,20,0.00381257850676775,0.0007388591766357422,0.00459845058825016,OPTIMAL,1.0,0.0,exact_enumeration,0.0,1.0,0.0,0,2.5,20,True,1.0
5614894019028137893,1,8,4,"[2, 2, 2, 2]","[[4, 7], [3, 10], [6, 7], [0, 1]]",0.4,1,2,2,3,PP,"[[1, 1], [1, 1], [2], [2]]",6,13,24,0.002884,20,0.003271722234785557,0.0007288455963134766,0.004046382076498508,OPTIMAL,1.0,0.0,exact_enumeration,0.0,1.0,0.0,0,3.125,25,True,1.0
5614894019028137893,1,8,4,"[2, 2, 2, 2]","[[4, 7], [3, 10], [6, 7], [0, 1]]",0.4,1,2,3,,CHP,"[[2], [1, 1], [2], [2]]",5,9,24,0.00369,20,0.004459806717932224,0.0009429454803466797,0.005462606537463665,OPTIMAL,1.125,0.125,exact_enumeration,0.0,1.0,1.5,12,10.5,84,,
5614894019028137893,1,8,4,"[2, 2, 2, 2]","[[4, 7], [3, 10], [6, 7], [0, 1]]",0.4,1,2,3,2,PP,"[[2], [1, 1], [2], [2]]",5,9,24,0.001192,20,0.003928525373339653,0.0009379386901855469,0.004930068645863056,OPTIMAL,1.125,0.125,exact_enumeration,0.0,1.0,1.5,12,6.0,48,True,1.125
5614894019028137893,1,8,4,"[2, 2, 2, 2]","[[4, 7], [3, 10], [6, 7], [0, 1]]",0.4,1,2,3,3,PP,"[[2], [1, 1], [2], [2]]",5,9,24,0.003515,20,0.00433812290430069,0.0010027885437011719,0.0054093005159044265,OPTIMAL,1.125,0.125,exact_enumeration,0.0,1.0,1.5,12,7.5,60,True,1.125
15633632879917000470,2,8,4,"[2, 2, 2, 2]","[[4, 4], [0, 4], [10, 11], [1, 2]]",0.4,1,2,,1,NP,"[[1, 1], [1, 1], [1, 1], [1, 1]]",8,24,24,0.0009765,20,0.004169289022684097,0.003573179244995117,0.0078001185403122906,OPTIMAL,1.125,0.0,exact_enumeration,0.0,1.0,0.0,0,0.0,0,,
15633632879917000470,2,8,4,"[2, 2, 2, 2]","[[4, 4], [0, 4], [10, 11], [1, 2]]",0.4,1,2,2,,CHP,"[[2], [1, 1], [2], [2]]",5,9,24,0.001146,20,0.003114153631031513,0.0020589828491210938,0.005217546139033794,OPTIMAL,1.125,0.0,exact_enumeration,0.0,1.0,0.0,0,4.375,35,,
15633632879917000470,2,8,4,"[2, 2, 2, 2]","[[4, 4], [0, 4], [10, 11], [1, 2]]",0.4,1,2,2,2,PP,"[[2], [1, 1], [2], [2]]",5,9,24,0.001091,20,0.003073222003877163,0.002054929733276367,0.005172382530132294,OPTIMAL,1.125,0.0,exact_enumeration,0.0,1.0,0.0,0,2.5,20,True,1.125
15633632879917000470,2,8,4,"[2, 2, 2, 2]","[[4, 4], [0, 4], [10, 11], [1, 2]]",0.4,1,2,2,3,PP,"[[2], [1, 1], [2], [2]]",5,9,24,0.0010965,20,0.0030530719086527824,0.0020439624786376953,0.005141270680269241,OPTIMAL,1.125,0.0,exact_enumeration,0.0,1.0,0.0,0,3.125,25,True,1.125
15633632879917000470,2,8,4,"[2, 2, 2, 2]","[[4, 4], [0, 4], [10, 11], [1, 2]]",0.4,1,2,3,,CHP,"[[2], [1, 1], [2], [2]]",5,9,24,0.00317,20,0.003580640070140362,0.0020530223846435547,0.0056852444648575785,OPTIMAL,1.125,0.0,exact_enumeration,0.0,1.0,0.0,0,10.5,84,,
15633632879917000470,2,8,4,"[2, 2, 2, 2]","[[4, 4], [0, 4], [10, 11], [1, 2]]",0.4,1,2,3,2,PP,"[[2], [1, 1], [2], [2]]",5,9,24,0.00335,20,0.003707701340317726,0.002051115036010742,0.005805005352115631,OPTIMAL,1.125,0.0,exact_enumeration,0.0,1.0,0.0,0,6.0,48,True,1.125
15633632879917000470,2,8,4,"[2, 2, 2, 2]","[[4, 4], [0, 4], [10, 11], [1, 2]]",0.4,1,2,3,3,PP,"[[2], [1, 1], [2], [2]]",5,9,24,0.0028145,20,0.003822214901447296,0.0022721290588378906,0.006144313184883118,OPTIMAL,1.125,0.0,exact_enumeration,0.0,1.0,0.0,0,7.5,60,True,1.125
4207984890178760656,0,8,4,"[2, 2, 2, 2]","[[2, 3], [1, 1], [3, 7], [3, 4]]",0.7,1,2,,1,NP,"[[1, 1], [1, 1], [1, 1], [1, 1]]",8,24,24,0.000931,20,0.0033676763996481895,0.03196597099304199,0.03537733261812306,OPTIMAL,3.0,0.0,exact_enumeration,0.0,176.0,0.0,0,0.0,0,,
4207984890178760656,0,8,4,"[2, 2, 2, 2]","[[2, 3], [1, 1], [3, 7], [3, 4]]",0.7,1,2,2,,CHP,"[[2], [2], [1, 1], [2]]",5,9,24,0.003656,20,0.004544084891676903,0.0090179443359375,0.013624473102491855,OPTIMAL,3.0,0.0,exact_enumeration,0.0,31.0,0.0,0,4.375,35,,
4207984890178760656,0,8,4,"[2, 2, 2, 2]","[[2, 3], [1, 1], [3, 7], [3, 4]]",0.7,1,2,2,2,PP,"[[2], [2], [1, 1], [2]]",5,9,24,0.0035955,20,0.004354358650743961,0.009155035018920898,0.013569820335813046,OPTIMAL,3.0,0.0,exact_enumeration,0.0,31.0,0.0,0,2.5,20,True,3.0
