seed,replication,N,L,counts,releases,arrival_rate,h_F,h_S,threshold,max_platoon_size,method,partition,number_of_platoons,ordering_variable_count,vehicle_level_ordering_variable_count,dimension_reduction_ratio,formation_time_ms,formation_repetitions,model_build_time_s,solve_time_s,end_to_end_time_s,status,objective,actual_optimality_gap,actual_gap_reference,terminal_mip_gap,node_count,partition_specific_upper_bound,scaled_partition_specific_upper_bound,rule_level_upper_bound,scaled_rule_level_upper_bound,np_optimal_objective,matching_chp_objective,pp_optimal_objective,D_NP,D_CHP,D_PP,bound_check_available,bound_valid,bound_slack,delay_order_check_available,np_pp_chp_delay_order_holds
10090335541577908271,0,8,4,"[2, 2, 2, 2]","[[4, 13], [3, 5], [3, 10], [5, 5]]",0.4,1,2,,1,NP,"[[1, 1], [1, 1], [1, 1], [1, 1]]",8,24,24,0.0,0.000902,20,0.22643443197011948,0.026525020599365234,0.2530351379095812,OPTIMAL,2.625,0.0,exact_enumeration,0.0,161.0,0.0,0,0.0,0,2.625,,,2.625,,,False,,,False,
10090335541577908271,0,8,4,"[2, 2, 2, 2]","[[4, 13], [3, 5], [3, 10], [5, 5]]",0.4,1,2,2,,CHP,"[[1, 1], [2], [1, 1], [2]]",6,13,24,0.45833333333333337,0.0034,20,0.0040467269718647,0.010648965835571289,0.014746834265255929,OPTIMAL,2.625,0.0,exact_enumeration,0.0,38.0,0.625,5,4.375,35,2.625,,,2.625,2.625,,False,,,False,
10090335541577908271,0,8,4,"[2, 2, 2, 2]","[[4, 13], [3, 5], [3, 10], [5, 5]]",0.4,1,2,2,2,PP,"[[1, 1], [2], [1, 1], [2]]",6,13,24,0.45833333333333337,0.00325,20,0.0039024483412504196,0.00995492935180664,0.013908886966228485,OPTIMAL,2.625,0.0,exact_enumeration,0.0,38.0,0.625,5,2.5,20,2.625,2.625,2.625,2.625,2.625,2.625,True,True,2.5,True,True
10090335541577908271,0,8,4,"[2, 2, 2, 2]","[[4, 13], [3, 5], [3, 10], [5, 5]]",0.4,1,2,2,3,PP,"[[1, 1], [2], [1, 1], [2]]",6,13,24,0.45833333333333337,0.00336,20,0.0041868481785058975,0.010406017303466797,0.014644258443758489,OPTIMAL,2.625,0.0,exact_enumeration,0.0,38.0,0.625,5,3.125,25,2.625,2.625,2.625,2.625,2.625,2.625,True,True,3.125,True,True
10090335541577908271,0,8,4,"[2, 2, 2, 2]","[[4, 13], [3, 5], [3, 10], [5, 5]]",0.4,1,2,3,,CHP,"[[1, 1], [2], [1, 1], [2]]",6,13,24,0.45833333333333337,0.0011265,20,0.0031577218323946,0.009704113006591797,0.012906211028028965,OPTIMAL,2.625,0.0,exact_enumeration,0.0,38.0,0.625,5,10.5,84,2.625,,,2.625,2.625,,False,,,False,
10090335541577908271,0,8,4,"[2, 2, 2, 2]","[[4, 13], [3, 5], [3, 10], [5, 5]]",0.4,1,2,3,2,PP,"[[1, 1], [2], [1, 1], [2]]",6,13,24,0.45833333333333337,0.0034,20,0.00372975692152977,0.010092973709106445,0.013870288359189034,OPTIMAL,2.625,0.0,exact_enumeration,0.0,38.0,0.625,5,6.0,48,2.625,2.625,2.625,2.625,2.625,2.625,True,True,6.0,True,True
10090335541577908271,0,8,4,"[2, 2, 2, 2]","[[4, 13], [3, 5], [3, 10], [5, 5]]",0.4,1,2,3,3,PP,"[[1, 1], [2], [1, 1], [2]]",6,13,24,0.45833333333333337,0.00331,20,0.0038275346159934998,0.009771108627319336,0.013646249738929271,OPTIMAL,2.625,0.0,exact_enumeration,0.0,38.0,0.625,5,7.5,60,2.625,2.625,2.625,2.625,2.625,2.625,True,True,7.5,True,True
5614894019028137893,1,8,4,"[2, 2, 2, 2]","[[4, 7], [3, 10], [6, 7], [0, 1]]",0.4,1,2,,1,NP,"[[1, 1], [1, 1], [1, 1], [1, 1]]",8,24,24,0.0,0.000996,20,0.004548094235360622,0.0075380802154541016,0.012146273112722396,OPTIMAL,1.0,0.0,exact_enumeration,0.0,1.0,0.0,0,0.0,0,1.0,,,1.0,,,False,,,False,
5614894019028137893,1,8,4,"[2, 2, 2, 2]","[[4, 7], [3, 10], [6, 7], [0, 1]]",0.4,1,2,2,,CHP,"[[1, 1], [1, 1], [2], [2]]",6,13,24,0.45833333333333337,0.003475,20,0.0045641688629984856,0.0009610652923583984,0.00558399060074091,OPTIMAL,1.0,0.0,exact_enumeration,0.0,1.0,0.0,0,4.375,35,1.0,,,1.0,1.0,,False,,,False,
5614894019028137893,1,8,4,"[2, 2, 2, 2]","[[4, 7], [3, 10], [6, 7], [0, 1]]",0.4,1,2,2,2,PP,"[[1, 1], [1, 1], [2], [2]]",6,13,24,0.45833333333333337,0.0028145,20,0.004263062961399555,0.0009601116180419922,0.005281671924855232,OPTIMAL,1.0,0.0,exact_enumeration,0.0,1.0,0.0,0,2.5,20,1.0,1.0,1.0,1.0,1.0,1.0,True,True,2.5,True,True
