N,arrival_rate,method,threshold,max_platoon_size,cases,case_count,optimality_rate,mean_average_delay,median_average_delay,mean_actual_optimality_gap,median_actual_optimality_gap,actual_gap_case_count,actual_gap_availability_rate,bound_check_case_count,bound_violation_count,bound_violation_rate,mean_rule_level_upper_bound,median_rule_level_upper_bound,mean_bound_slack,median_bound_slack,delay_order_check_case_count,delay_order_failure_count,delay_order_failure_rate,mean_number_of_platoons,mean_ordering_variable_count,mean_dimension_reduction_ratio,mean_formation_time_ms,median_formation_time_ms,mean_solve_time_s,mean_end_to_end_time_s,mean_terminal_mip_gap,mean_node_count
8,0.4,CHP,2,NA,3,3,1.0,1.5833333333333333,1.125,0.0,0.0,3,1.0,0,0,,4.375,4.375,,,0,0,,5.666666666666667,11.666666666666666,0.513888888888889,0.002658833333333333,0.0034,0.0045566558837890625,0.008501007129021963,0.0,13.333333333333334
8,0.4,CHP,3,NA,3,3,1.0,1.625,1.125,0.041666666666666664,0.0,3,1.0,0,0,,10.5,10.5,,,0,0,,5.333333333333333,10.333333333333334,0.5694444444444445,0.002522166666666667,0.00321,0.004162708918253581,0.0075989565711193086,0.0,13.333333333333334
8,0.4,NP,NA,1,3,3,1.0,1.5833333333333333,1.125,0.0,0.0,3,1.0,0,0,,0.0,0.0,,,0,0,,8.0,24.0,0.0,0.0009431666666666667,0.0009315,0.012459039688110352,0.0906368404479359,0.0,54.333333333333336
8,0.4,PP,2,2,3,3,1.0,1.5833333333333333,1.125,0.0,0.0,3,1.0,3,0,0.0,2.5,2.5,2.5,2.5,3,0,0.0,5.666666666666667,11.666666666666666,0.513888888888889,0.0024271666666666664,0.0028145,0.004321734110514323,0.008141087197727045,0.0,13.333333333333334
8,0.4,PP,2,3,3,3,1.0,1.5833333333333333,1.125,0.0,0.0,3,1.0,3,0,0.0,3.125,3.125,3.125,3.125,3,0,0.0,5.666666666666667,11.666666666666666,0.513888888888889,0.0018728333333333333,0.0011515,0.004471937815348308,0.008274592713278453,0.0,13.333333333333334
8,0.4,PP,3,2,3,3,1.0,1.625,1.125,0.041666666666666664,0.0,3,1.0,3,0,0.0,6.0,6.0,5.958333333333333,6.0,3,0,0.0,5.333333333333333,10.333333333333334,0.5694444444444445,0.0018876666666666666,0.001141,0.004292964935302734,0.007616850112859567,0.0,13.333333333333334
8,0.4,PP,3,3,3,3,1.0,1.625,1.125,0.041666666666666664,0.0,3,1.0,3,0,0.0,7.5,7.5,7.458333333333333,7.5,3,0,0.0,5.333333333333333,10.333333333333334,0.5694444444444445,0.0018513333333333333,0.001132,0.004183371861775716,0.007545021847539424,0.0,13.333333333333334
8,0.7,CHP,2,NA,3,3,1.0,3.2916666666666665,3.0,0.0,0.0,3,1.0,0,0,,4.375,4.375,,,0,0,,5.333333333333333,11.0,0.5416666666666666,0.0034685,0.00324,0.009685277938842773,0.01410699847481823,0.0,47.666666666666664
8,0.7,CHP,3,NA,3,3,1.0,3.625,3.75,0.3333333333333333,0.0,3,1.0,0,0,,10.5,10.5,,,0,0,,4.666666666666667,8.0,0.6666666666666666,0.0025703333333333333,0.0032545,0.008635759353637695,0.011968362649034977,0.0,36.666666666666664
8,0.7,NP,NA,1,3,3,1.0,3.2916666666666665,3.0,0.0,0.0,3,1.0,0,0,,0.0,0.0,,,0,0,,8.0,24.0,0.0,0.000945,0.0009665,0.0441582997639974,0.04792147379929543,0.0,320.6666666666667
