N,arrival_rate,threshold,max_platoon_size,cases,case_count,actual_gap_case_count,actual_gap_availability_rate,np_optimality_rate,pp_optimality_rate,violation_count,violation_rate,actual_equals_partition_bound_cases,partition_equals_rule_bound_cases,mean_actual_gap,median_actual_gap,mean_partition_specific_upper_bound,median_partition_specific_upper_bound,mean_rule_level_upper_bound,median_rule_level_upper_bound,mean_number_of_platoons,mean_ordering_variable_count,optimality_rate
8,0.4,1,2,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.333333333333334,1.0
8,0.4,1,3,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.333333333333334,1.0
8,0.4,1,4,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.333333333333334,1.0
8,0.4,1,5,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.333333333333334,1.0
8,0.4,2,2,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.0,0.0,0.20833333333333334,0.0,2.5,2.5,5.666666666666667,11.666666666666666,1.0
8,0.4,2,3,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.0,0.0,0.20833333333333334,0.0,3.125,3.125,5.666666666666667,11.666666666666666,1.0
8,0.4,2,4,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.0,0.0,0.20833333333333334,0.0,3.75,3.75,5.666666666666667,11.666666666666666,1.0
8,0.4,2,5,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.0,0.0,0.20833333333333334,0.0,3.75,3.75,5.666666666666667,11.666666666666666,1.0
8,0.4,3,2,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.041666666666666664,0.0,0.7083333333333334,0.625,6.0,6.0,5.333333333333333,10.333333333333334,1.0
8,0.4,3,3,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.041666666666666664,0.0,0.7083333333333334,0.625,7.5,7.5,5.333333333333333,10.333333333333334,1.0
8,0.4,3,4,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.041666666666666664,0.0,0.7083333333333334,0.625,9.0,9.0,5.333333333333333,10.333333333333334,1.0
8,0.4,3,5,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.041666666666666664,0.0,0.7083333333333334,0.625,9.0,9.0,5.333333333333333,10.333333333333334,1.0
8,0.4,4,2,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.16666666666666666,0.125,1.5,1.5,9.5,9.5,5.0,9.333333333333334,1.0
8,0.4,4,3,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.16666666666666666,0.125,1.5,1.5,11.875,11.875,5.0,9.333333333333334,1.0
8,0.4,4,4,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.16666666666666666,0.125,1.5,1.5,14.25,14.25,5.0,9.333333333333334,1.0
8,0.4,4,5,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.16666666666666666,0.125,1.5,1.5,14.25,14.25,5.0,9.333333333333334,1.0
8,0.7,1,2,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,1.0
8,0.7,1,3,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,1.0
8,0.7,1,4,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,1.0
8,0.7,1,5,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,1.0
8,0.7,2,2,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.0,0.0,0.4166666666666667,0.625,2.5,2.5,5.333333333333333,11.0,1.0
8,0.7,2,3,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.0,0.0,0.4166666666666667,0.625,3.125,3.125,5.333333333333333,11.0,1.0
8,0.7,2,4,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.0,0.0,0.4166666666666667,0.625,3.75,3.75,5.333333333333333,11.0,1.0
8,0.7,2,5,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.0,0.0,0.4166666666666667,0.625,3.75,3.75,5.333333333333333,11.0,1.0
8,0.7,3,2,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.3333333333333333,0.0,1.4166666666666667,0.625,6.0,6.0,4.666666666666667,8.0,1.0
8,0.7,3,3,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.3333333333333333,0.0,1.4166666666666667,0.625,7.5,7.5,4.666666666666667,8.0,1.0
8,0.7,3,4,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.3333333333333333,0.0,1.4166666666666667,0.625,9.0,9.0,4.666666666666667,8.0,1.0
8,0.7,3,5,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.3333333333333333,0.0,1.4166666666666667,0.625,9.0,9.0,4.666666666666667,8.0,1.0
8,0.7,4,2,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.4166666666666667,0.0,3.0,2.375,9.5,9.5,4.0,6.0,1.0
8,0.7,4,3,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.4166666666666667,0.0,3.0,2.375,11.875,11.875,4.0,6.0,1.0
8,0.7,4,4,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.4166666666666667,0.0,3.0,2.375,14.25,14.25,4.0,6.0,1.0
8,0.7,4,5,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.4166666666666667,0.0,3.0,2.375,14.25,14.25,4.0,6.0,1.0
8,1.0,1,2,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,8.0,1.0
8,1.0,1,3,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,8.0,1.0
8,1.0,1,4,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,8.0,1.0
8,1.0,1,5,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,8.0,1.0
8,1.0,2,2,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.125,0.0,0.4166666666666667,0.625,2.5,2.5,4.0,6.0,1.0
8,1.0,2,3,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.125,0.0,0.4166666666666667,0.625,3.125,3.125,4.0,6.0,1.0
8,1.0,2,4,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.125,0.0,0.4166666666666667,0.625,3.75,3.75,4.0,6.0,1.0
8,1.0,2,5,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.125,0.0,0.4166666666666667,0.625,3.75,3.75,4.0,6.0,1.0
8,1.0,3,2,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.125,0.0,0.4166666666666667,0.625,6.0,6.0,4.0,6.0,1.0
8,1.0,3,3,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.125,0.0,0.4166666666666667,0.625,7.5,7.5,4.0,6.0,1.0
8,1.0,3,4,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.125,0.0,0.4166666666666667,0.625,9.0,9.0,4.0,6.0,1.0
8,1.0,3,5,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.125,0.0,0.4166666666666667,0.625,9.0,9.0,4.0,6.0,1.0
8,1.0,4,2,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.125,0.0,0.4166666666666667,0.625,9.5,9.5,4.0,6.0,1.0
8,1.0,4,3,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.125,0.0,0.4166666666666667,0.625,11.875,11.875,4.0,6.0,1.0
8,1.0,4,4,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.125,0.0,0.4166666666666667,0.625,14.25,14.25,4.0,6.0,1.0
8,1.0,4,5,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.125,0.0,0.4166666666666667,0.625,14.25,14.25,4.0,6.0,1.0
12,0.4,1,2,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,9.666666666666666,34.666666666666664,1.0
12,0.4,1,3,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,29.333333333333332,1.0
12,0.4,1,4,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,29.333333333333332,1.0
12,0.4,1,5,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,29.333333333333332,1.0
12,0.4,2,2,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.0,0.0,1.0,0.75,4.5,4.5,8.666666666666666,28.0,1.0
12,0.4,2,3,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.0,0.0,1.0,0.75,6.0,6.0,7.666666666666667,21.333333333333332,1.0
12,0.4,2,4,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.0,0.0,1.0,0.75,6.75,6.75,7.666666666666667,21.333333333333332,1.0
12,0.4,2,5,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.0,0.0,1.0,0.75,6.75,6.75,7.666666666666667,21.333333333333332,1.0
12,0.4,3,2,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.027777777777777752,0.0,2.0555555555555554,2.25,10.0,10.0,8.0,24.0,1.0
12,0.4,3,3,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.027777777777777752,0.0,2.0555555555555554,2.25,13.333333333333334,13.333333333333334,7.0,18.0,1.0
12,0.4,3,4,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.027777777777777752,0.0,2.0555555555555554,2.25,15.0,15.0,7.0,18.0,1.0
12,0.4,3,5,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.027777777777777752,0.0,2.0555555555555554,2.25,15.0,15.0,7.0,18.0,1.0
12,0.4,4,2,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.027777777777777752,0.0,2.4166666666666665,2.4166666666666665,15.5,15.5,8.0,24.0,1.0
12,0.4,4,3,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.08333333333333326,0.08333333333333326,4.472222222222222,3.8333333333333335,20.666666666666668,20.666666666666668,6.0,13.333333333333334,1.0
12,0.4,4,4,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.08333333333333326,0.08333333333333326,4.472222222222222,3.8333333333333335,23.25,23.25,6.0,13.333333333333334,1.0
12,0.4,4,5,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.08333333333333326,0.08333333333333326,4.472222222222222,3.8333333333333335,23.25,23.25,6.0,13.333333333333334,1.0
12,0.7,1,2,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,26.0,1.0
12,0.7,1,3,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,14.333333333333334,1.0
12,0.7,1,4,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,14.333333333333334,1.0
12,0.7,1,5,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,14.333333333333334,1.0
12,0.7,2,2,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.0,0.0,0.2222222222222222,0.0,4.5,4.5,8.0,24.0,1.0
12,0.7,2,3,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.0,0.0,0.2222222222222222,0.0,6.0,6.0,6.0,13.0,1.0
12,0.7,2,4,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.0,0.0,0.2222222222222222,0.0,6.75,6.75,6.0,13.0,1.0
12,0.7,2,5,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.0,0.0,0.2222222222222222,0.0,6.75,6.75,6.0,13.0,1.0
12,0.7,3,2,3,3,3,1.0,1.0,1.0,0,0.0,2,0,0.44444444444444436,0.0,0.5555555555555556,0.0,10.0,10.0,8.0,24.0,1.0
12,0.7,3,3,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.44444444444444436,0.0,1.277777777777778,1.5,13.333333333333334,13.333333333333334,5.333333333333333,10.333333333333334,1.0
12,0.7,3,4,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.44444444444444436,0.0,1.277777777777778,1.5,15.0,15.0,5.333333333333333,10.333333333333334,1.0
12,0.7,3,5,3,3,3,1.0,1.0,1.0,0,0.0,1,0,0.44444444444444436,0.0,1.277777777777778,1.5,15.0,15.0,5.333333333333333,10.333333333333334,1.0
12,0.7,4,2,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.8888888888888888,1.333333333333333,4.0,4.25,15.5,15.5,8.0,24.0,1.0
12,0.7,4,3,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.8888888888888888,1.333333333333333,4.722222222222222,4.916666666666667,20.666666666666668,20.666666666666668,4.0,6.0,1.0
12,0.7,4,4,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.8888888888888888,1.333333333333333,4.722222222222222,4.916666666666667,23.25,23.25,4.0,6.0,1.0
12,0.7,4,5,3,3,3,1.0,1.0,1.0,0,0.0,0,0,0.8888888888888888,1.333333333333333,4.722222222222222,4.916666666666667,23.25,23.25,4.0,6.0,1.0
12,1.0,1,2,3,3,3,1.0,1.0,1.0,0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,1.0
