instance_id,seed,replication,N,L,counts,releases,arrival_rate,h_F,h_S,method,run_role,threshold,delta,max_platoon_size,Pmax,partition,number_of_platoons,ordering_variable_count,vehicle_level_ordering_variable_count,dimension_reduction_ratio,formation_time_ms,formation_repetitions,partition_specific_upper_bound,scaled_partition_specific_upper_bound,rule_level_upper_bound,scaled_rule_level_upper_bound,time_limit_s,threads,status,objective,objective_total_delay,best_bound,terminal_mip_gap,solve_time_s,model_construction_time_s,end_to_end_time_s,node_count,time_to_first_feasible_s,sol_count,np_30s_status,np_30s_objective,np_recovery_status,np_recovery_objective,np_optimal_objective,np_optimal_source,actual_optimality_gap,bound_check_available,bound_valid,bound_slack,delay_order_check_available,np_pp_chp_delay_order_holds,matching_chp_objective,pp_optimal_objective,np_30s_terminal_mip_gap,np_30s_solve_time_s,lambda,total_arrival_rate,per_approach_arrival_rate
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,CHP,initial_30s,2,2,,,"[[1, 4], [5], [5], [2, 3]]",6,13,150,0.9133333333333333,0.0016325,20,4.05,81,14.25,285,30.0,12,OPTIMAL,8.25,165.0,164.99999999999636,0.0,0.010065078735351562,0.004934546537697315,0.015053811374611854,1.0,0.00016307830810546875,2,OPTIMAL,8.25,,,8.25,initial_30s,0.0,False,,,False,,8.25,,,,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,CHP,initial_30s,4,4,,,"[[5], [5], [5], [5]]",4,6,150,0.96,0.001572,20,9.2,184,50.35,1007,30.0,12,OPTIMAL,9.25,185.0,184.99999999999716,0.0,0.0032820701599121094,0.003894575871527195,0.0072222649326057434,1.0,0.0004138946533203125,3,OPTIMAL,8.25,,,8.25,initial_30s,1.0,False,,,False,,9.25,,,,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,CHP,initial_30s,6,6,,,"[[5], [5], [5], [5]]",4,6,150,0.96,0.0041415,20,9.2,184,86.45,1729,30.0,12,OPTIMAL,9.25,185.0,184.99999999999716,0.0,0.0029420852661132812,0.003216051496565342,0.006206525398198604,1.0,0.00040411949157714844,3,OPTIMAL,8.25,,,8.25,initial_30s,1.0,False,,,False,,9.25,,,,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,CHP,initial_30s,8,8,,,"[[5], [5], [5], [5]]",4,6,150,0.96,0.004381,20,9.2,184,122.55,2451,30.0,12,OPTIMAL,9.25,185.0,184.99999999999716,0.0,0.0031790733337402344,0.003810778260231018,0.007047033927339077,1.0,0.0004069805145263672,3,OPTIMAL,8.25,,,8.25,initial_30s,1.0,False,,,False,,9.25,,,,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,NP,initial_30s,,,1,1,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",20,150,150,0.0,0.0011265,20,0.0,0,0.0,0,30.0,12,OPTIMAL,8.25,165.0,165.0,0.0,5.070898056030273,0.01449781097471714,5.085467993812789,66200.0,0.002398967742919922,9,OPTIMAL,8.25,,,8.25,initial_30s,0.0,False,,,False,,,,,,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,PP,initial_30s,2,2,2,2,"[[1, 2, 2], [2, 2, 1], [2, 2, 1], [2, 2, 1]]",12,54,150,0.64,0.0041265,20,2.15,43,7.5,150,30.0,12,OPTIMAL,8.25,165.0,165.0,0.0,0.0801241397857666,0.004546131007373333,0.08472059275548602,1965.0,0.001377105712890625,8,OPTIMAL,8.25,,,8.25,initial_30s,0.0,True,True,7.5,True,True,8.25,8.25,0.0,5.070898056030273,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,PP,initial_30s,2,2,4,4,"[[1, 4], [4, 1], [4, 1], [2, 3]]",8,24,150,0.84,0.0017775,20,3.45,69,11.25,225,30.0,12,OPTIMAL,8.25,165.0,165.0,0.0,0.01964402198791504,0.004018503241240978,0.023714695662345887,214.0,0.0001709461212158203,3,OPTIMAL,8.25,,,8.25,initial_30s,0.0,True,True,11.25,True,True,8.25,8.25,0.0,5.070898056030273,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,PP,initial_30s,2,2,6,6,"[[1, 4], [5], [5], [2, 3]]",6,13,150,0.9133333333333333,0.004271,20,4.05,81,12.0,240,30.0,12,OPTIMAL,8.25,165.0,164.99999999999636,0.0,0.005664825439453125,0.004047537222504616,0.00976023445961094,1.0,0.00013399124145507812,2,OPTIMAL,8.25,,,8.25,initial_30s,0.0,True,True,12.0,True,True,8.25,8.25,0.0,5.070898056030273,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,PP,initial_30s,2,2,8,8,"[[1, 4], [5], [5], [2, 3]]",6,13,150,0.9133333333333333,0.004717,20,4.05,81,12.75,255,30.0,12,OPTIMAL,8.25,165.0,164.99999999999636,0.0,0.005788087844848633,0.004097082652151585,0.009933363497428417,1.0,0.00013208389282226562,2,OPTIMAL,8.25,,,8.25,initial_30s,0.0,True,True,12.75,True,True,8.25,8.25,0.0,5.070898056030273,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,PP,initial_30s,4,4,2,2,"[[2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 1]]",12,54,150,0.64,0.004572,20,4.8,96,26.5,530,30.0,12,OPTIMAL,8.8,176.0,176.0,0.0,0.11054086685180664,0.004203583113849163,0.11479495852032613,3184.0,0.0008218288421630859,10,OPTIMAL,8.25,,,8.25,initial_30s,0.5500000000000007,True,True,25.95,True,True,9.25,8.8,0.0,5.070898056030273,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,PP,initial_30s,4,4,4,4,"[[4, 1], [4, 1], [4, 1], [4, 1]]",8,24,150,0.84,0.004667,20,8.0,160,39.75,795,30.0,12,OPTIMAL,8.85,177.0,177.0,0.0,0.020470142364501953,0.004201019182801247,0.024725377702240467,216.0,0.0001900196075439453,5,OPTIMAL,8.25,,,8.25,initial_30s,0.5999999999999996,True,True,39.15,True,True,9.25,8.85,0.0,5.070898056030273,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,PP,initial_30s,4,4,6,6,"[[5], [5], [5], [5]]",4,6,150,0.96,0.004387,20,9.2,184,42.4,848,30.0,12,OPTIMAL,9.25,185.0,184.99999999999716,0.0,0.003061056137084961,0.0036304863169789314,0.006744472780620575,1.0,0.0004858970642089844,3,OPTIMAL,8.25,,,8.25,initial_30s,1.0,True,True,41.4,True,True,9.25,9.25,0.0,5.070898056030273,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,PP,initial_30s,4,4,8,8,"[[5], [5], [5], [5]]",4,6,150,0.96,0.004457,20,9.2,184,45.05,901,30.0,12,OPTIMAL,9.25,185.0,184.99999999999716,0.0,0.0025129318237304688,0.003535814583301544,0.00609736486087513,1.0,0.0004088878631591797,3,OPTIMAL,8.25,,,8.25,initial_30s,1.0,True,True,44.05,True,True,9.25,9.25,0.0,5.070898056030273,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,PP,initial_30s,6,6,2,2,"[[2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 1]]",12,54,150,0.64,0.0017425,20,4.8,96,45.5,910,30.0,12,OPTIMAL,8.8,176.0,176.0,0.0,0.10973095893859863,0.004668715409934521,0.1144465971692729,3184.0,0.0008099079132080078,10,OPTIMAL,8.25,,,8.25,initial_30s,0.5500000000000007,True,True,44.95,True,True,9.25,8.8,0.0,5.070898056030273,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,PP,initial_30s,6,6,4,4,"[[4, 1], [4, 1], [4, 1], [4, 1]]",8,24,150,0.84,0.0016825,20,8.0,160,68.25,1365,30.0,12,OPTIMAL,8.85,177.0,177.0,0.0,0.02000117301940918,0.003989940509200096,0.024042105833644866,216.0,0.00019121170043945312,5,OPTIMAL,8.25,,,8.25,initial_30s,0.5999999999999996,True,True,67.65,True,True,9.25,8.85,0.0,5.070898056030273,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,PP,initial_30s,6,6,6,6,"[[5], [5], [5], [5]]",4,6,150,0.96,0.0016625,20,9.2,184,72.8,1456,30.0,12,OPTIMAL,9.25,185.0,184.99999999999716,0.0,0.002980947494506836,0.003538808785378933,0.006569759078121185,1.0,0.0004811286926269531,3,OPTIMAL,8.25,,,8.25,initial_30s,1.0,True,True,71.8,True,True,9.25,9.25,0.0,5.070898056030273,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,PP,initial_30s,6,6,8,8,"[[5], [5], [5], [5]]",4,6,150,0.96,0.004462,20,9.2,184,77.35,1547,30.0,12,OPTIMAL,9.25,185.0,184.99999999999716,0.0,0.0033540725708007812,0.003780773840844631,0.007184844497608662,1.0,0.00042891502380371094,3,OPTIMAL,8.25,,,8.25,initial_30s,1.0,True,True,76.35,True,True,9.25,9.25,0.0,5.070898056030273,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,PP,initial_30s,8,8,2,2,"[[2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 1]]",12,54,150,0.64,0.001803,20,4.8,96,64.5,1290,30.0,12,OPTIMAL,8.8,176.0,176.0,0.0,0.10954713821411133,0.005309955216944218,0.11490357756289529,3184.0,0.0007948875427246094,10,OPTIMAL,8.25,,,8.25,initial_30s,0.5500000000000007,True,True,63.95,True,True,9.25,8.8,0.0,5.070898056030273,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,PP,initial_30s,8,8,4,4,"[[4, 1], [4, 1], [4, 1], [4, 1]]",8,24,150,0.84,0.001727,20,8.0,160,96.75,1935,30.0,12,OPTIMAL,8.85,177.0,177.0,0.0,0.020472049713134766,0.003981326706707478,0.024504999958099842,216.0,0.00018906593322753906,5,OPTIMAL,8.25,,,8.25,initial_30s,0.5999999999999996,True,True,96.15,True,True,9.25,8.85,0.0,5.070898056030273,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,PP,initial_30s,8,8,6,6,"[[5], [5], [5], [5]]",4,6,150,0.96,0.004081,20,9.2,184,103.2,2064,30.0,12,OPTIMAL,9.25,185.0,184.99999999999716,0.0,0.002959012985229492,0.0035339202731847763,0.006546538267642022,1.0,0.0004878044128417969,3,OPTIMAL,8.25,,,8.25,initial_30s,1.0,True,True,102.2,True,True,9.25,9.25,0.0,5.070898056030273,1.5,1.5,0.375
N20_lambda1p5_rep000_seed2254167912808199683,2254167912808199683,0,20,4,"[5, 5, 5, 5]","[[1, 5, 6, 7, 8], [1, 3, 4, 6, 8], [4, 4, 6, 7, 8], [7, 9, 13, 14, 16]]",1.5,1,3,PP,initial_30s,8,8,8,8,"[[5], [5], [5], [5]]",4,6,150,0.96,0.004727,20,9.2,184,109.65,2193,30.0,12,OPTIMAL,9.25,185.0,184.99999999999716,0.0,0.003047943115234375,0.003727964125573635,0.006824973577262879,1.0,0.0004031658172607422,3,OPTIMAL,8.25,,,8.25,initial_30s,1.0,True,True,108.65,True,True,9.25,9.25,0.0,5.070898056030273,1.5,1.5,0.375
N20_lambda1p5_rep001_seed16722075741403979326,16722075741403979326,1,20,4,"[5, 5, 5, 5]","[[4, 4, 4, 7, 7], [2, 3, 5, 8, 11], [1, 4, 4, 7, 7], [1, 2, 5, 8, 9]]",1.5,1,3,CHP,initial_30s,2,2,,,"[[3, 2], [3, 1, 1], [1, 2, 2], [2, 1, 2]]",11,45,150,0.7,0.001773,20,0.7,14,14.25,285,30.0,12,OPTIMAL,9.55,191.0,191.0,0.0,0.09398794174194336,0.005168852396309376,0.09921441762172985,2764.0,0.0010099411010742188,9,OPTIMAL,9.55,,,9.55,initial_30s,0.0,False,,,False,,9.55,,,,1.5,1.5,0.375
N20_lambda1p5_rep001_seed16722075741403979326,16722075741403979326,1,20,4,"[5, 5, 5, 5]","[[4, 4, 4, 7, 7], [2, 3, 5, 8, 11], [1, 4, 4, 7, 7], [1, 2, 5, 8, 9]]",1.5,1,3,CHP,initial_30s,4,4,,,"[[5], [5], [5], [5]]",4,6,150,0.96,0.001562,20,11.4,228,50.35,1007,30.0,12,OPTIMAL,11.1,222.0,222.0,0.0,0.002856016159057617,0.003679681569337845,0.006585542284631252,1.0,0.0005218982696533203,2,OPTIMAL,9.55,,,9.55,initial_30s,1.549999999999999,False,,,False,,11.1,,,,1.5,1.5,0.375
N20_lambda1p5_rep001_seed16722075741403979326,16722075741403979326,1,20,4,"[5, 5, 5, 5]","[[4, 4, 4, 7, 7], [2, 3, 5, 8, 11], [1, 4, 4, 7, 7], [1, 2, 5, 8, 9]]",1.5,1,3,CHP,initial_30s,6,6,,,"[[5], [5], [5], [5]]",4,6,150,0.96,0.004452,20,11.4,228,86.45,1729,30.0,12,OPTIMAL,11.1,222.0,222.0,0.0,0.003371000289916992,0.0037305178120732307,0.007149069848098278,1.0,0.0004019737243652344,2,OPTIMAL,9.55,,,9.55,initial_30s,1.549999999999999,False,,,False,,11.1,,,,1.5,1.5,0.375
