N,lambda,arrival_rate,total_arrival_rate,per_approach_arrival_rate,method,threshold,delta,max_platoon_size,Pmax,case_count,optimality_rate,mean_average_delay_or_incumbent,median_average_delay_or_incumbent,mean_terminal_mip_gap,mean_solve_time_s,mean_end_to_end_time_s,mean_model_construction_time_s,mean_node_count,mean_number_of_platoons,mean_ordering_variable_count,mean_dimension_reduction_ratio,delay_order_check_case_count,delay_order_failure_count
20,0.5,0.5,0.5,0.125,CHP,2,2,NA,NA,10,1.0,2.21,2.1,0.0,0.06362385749816894,0.07049388720504365,0.006805971078574657,1005.6,16.6,102.7,0.31533333333333335,0,0
20,0.5,0.5,0.5,0.125,CHP,4,4,NA,NA,10,1.0,2.225,2.15,0.0,0.03012247085571289,0.036584423790905665,0.006392293702811002,223.5,14.1,74.3,0.5046666666666667,0,0
20,0.5,0.5,0.5,0.125,CHP,6,6,NA,NA,10,1.0,2.67,2.5,0.0,0.020311880111694335,0.026253467059368752,0.0058758314698934555,58.2,12.1,54.7,0.6353333333333333,0,0
20,0.5,0.5,0.5,0.125,CHP,8,8,NA,NA,10,1.0,3.5,3.175,0.0,0.00552978515625,0.01060628329098587,0.005015981663018465,16.5,9.6,33.8,0.7746666666666667,0,0
20,0.5,0.5,0.5,0.125,NP,NA,NA,1,1,10,1.0,2.21,2.1,0.0,0.23675138950347902,0.25138960467230204,0.014565666299313306,3014.1,20.0,150.0,0.0,0,0
20,0.5,0.5,0.5,0.125,PP,2,2,2,2,10,1.0,2.21,2.1,0.0,0.09598696231842041,0.10246272043872137,0.006413206551223993,1878.0,17.2,110.5,0.2633333333333333,10,0
20,0.5,0.5,0.5,0.125,PP,2,2,4,4,10,1.0,2.21,2.1,0.0,0.06362676620483398,0.07013496607653161,0.006443861965090036,1005.6,16.6,102.7,0.31533333333333335,10,0
20,0.5,0.5,0.5,0.125,PP,2,2,6,6,10,1.0,2.21,2.1,0.0,0.06618278026580811,0.07302771356785526,0.0067773709073662754,1005.6,16.6,102.7,0.31533333333333335,10,0
20,0.5,0.5,0.5,0.125,PP,2,2,8,8,10,1.0,2.21,2.1,0.0,0.06743319034576416,0.07474547123628464,0.00724156778305769,1005.6,16.6,102.7,0.31533333333333335,10,0
20,0.5,0.5,0.5,0.125,PP,4,4,2,2,10,1.0,2.21,2.1,0.0,0.059824895858764646,0.06691992286330142,0.007023518905043602,604.4,15.5,90.1,0.3993333333333333,10,0
20,0.5,0.5,0.5,0.125,PP,4,4,4,4,10,1.0,2.225,2.15,0.0,0.03169100284576416,0.03825119737542067,0.00649209376424551,223.5,14.2,75.2,0.49866666666666665,10,0
20,0.5,0.5,0.5,0.125,PP,4,4,6,6,10,1.0,2.225,2.15,0.0,0.03131461143493652,0.03749061529708719,0.006109679024666548,223.5,14.1,74.3,0.5046666666666667,10,0
20,0.5,0.5,0.5,0.125,PP,4,4,8,8,10,1.0,2.225,2.15,0.0,0.03027935028076172,0.03701850065824204,0.006667705066502094,223.5,14.1,74.3,0.5046666666666667,10,0
20,0.5,0.5,0.5,0.125,PP,6,6,2,2,10,1.0,2.375,2.3499999999999996,0.0,0.04579484462738037,0.05217945438822861,0.006310170330107212,197.4,14.2,75.6,0.496,10,0
20,0.5,0.5,0.5,0.125,PP,6,6,4,4,10,1.0,2.57,2.5,0.0,0.022791504859924316,0.028888250633717583,0.006025469489395618,81.3,12.4,57.6,0.616,10,0
20,0.5,0.5,0.5,0.125,PP,6,6,6,6,10,1.0,2.67,2.5,0.0,0.018950676918029784,0.024649288765586374,0.005634621437638998,58.2,12.1,54.7,0.6353333333333333,10,0
20,0.5,0.5,0.5,0.125,PP,6,6,8,8,10,1.0,2.67,2.5,0.0,0.019905591011047365,0.0253498166289834,0.005381752271205187,58.2,12.1,54.7,0.6353333333333333,10,0
20,0.5,0.5,0.5,0.125,PP,8,8,2,2,10,1.0,2.7299994863478094,2.4,0.0,0.025597667694091795,0.03120725429697533,0.005547665432095528,127.5,12.8,61.3,0.5913333333333334,10,0
20,0.5,0.5,0.5,0.125,PP,8,8,4,4,10,1.0,3.29,3.0,0.0,0.006566834449768066,0.011852723096075154,0.00522512448951602,16.5,10.1,37.7,0.7486666666666666,10,0
20,0.5,0.5,0.5,0.125,PP,8,8,6,6,10,1.0,3.5,3.175,0.0,0.00554664134979248,0.010367149168296145,0.004755171108990907,16.5,9.6,33.8,0.7746666666666667,10,0
20,0.5,0.5,0.5,0.125,PP,8,8,8,8,10,1.0,3.5,3.175,0.0,0.005626893043518067,0.010595869331929826,0.004910553153604269,16.5,9.6,33.8,0.7746666666666667,10,0
20,1.0,1.0,1.0,0.25,CHP,2,2,NA,NA,10,1.0,5.01,4.6,0.0,0.11711933612823486,0.1240786762454873,0.006877236906439066,2041.5,12.5,57.9,0.614,0,0
20,1.0,1.0,1.0,0.25,CHP,4,4,NA,NA,10,1.0,5.13,4.6,0.0,0.017069911956787108,0.02234054122371893,0.005205156654119492,94.4,8.4,25.7,0.8286666666666667,0,0
20,1.0,1.0,1.0,0.25,CHP,6,6,NA,NA,10,1.0,5.7,5.65,0.0,0.006527328491210937,0.011426002652102137,0.004834592435508966,12.7,6.8,17.3,0.8846666666666667,0,0
20,1.0,1.0,1.0,0.25,CHP,8,8,NA,NA,10,1.0,6.975,6.025,0.0,0.0027428865432739258,0.007047549211613512,0.004248364269733429,1.0,5.2,10.4,0.9306666666666666,0,0
20,1.0,1.0,1.0,0.25,NP,NA,NA,1,1,10,1.0,5.0,4.55,0.0,2.961624765396118,2.9697927352806888,0.008093074429780245,32834.4,20.0,150.0,0.0,0,0
20,1.0,1.0,1.0,0.25,PP,2,2,2,2,10,1.0,5.01,4.6,0.0,0.24775090217590331,0.2549849775651136,0.007155301980674267,4923.8,14.6,80.0,0.4666666666666667,10,0
20,1.0,1.0,1.0,0.25,PP,2,2,4,4,10,1.0,5.01,4.6,0.0,0.10864090919494629,0.1150282851836412,0.006313188094645738,2057.8,12.7,59.7,0.602,10,0
20,1.0,1.0,1.0,0.25,PP,2,2,6,6,10,1.0,5.01,4.6,0.0,0.10415782928466796,0.11018064246488446,0.005951205175369978,2041.5,12.5,57.9,0.614,10,0
20,1.0,1.0,1.0,0.25,PP,2,2,8,8,10,1.0,5.01,4.6,0.0,0.10259819030761719,0.10874123961657119,0.006067480705678463,2041.5,12.5,57.9,0.614,10,0
20,1.0,1.0,1.0,0.25,PP,4,4,2,2,10,1.0,5.13,4.6,0.0,0.10870437622070313,0.11464411457705134,0.005871038977056741,1638.0,13.0,63.3,0.5780000000000001,10,0
20,1.0,1.0,1.0,0.25,PP,4,4,4,4,10,1.0,5.13,4.6,0.0,0.026789641380310057,0.032279496155306384,0.005423660948872566,144.7,9.7,34.9,0.7673333333333333,10,0
20,1.0,1.0,1.0,0.25,PP,4,4,6,6,10,1.0,5.13,4.6,0.0,0.017156457901000975,0.022515938479853486,0.005291228741407394,94.4,8.4,25.7,0.8286666666666667,10,0
20,1.0,1.0,1.0,0.25,PP,4,4,8,8,10,1.0,5.13,4.6,0.0,0.016710710525512696,0.022395500010167692,0.005614734441041947,94.4,8.4,25.7,0.8286666666666667,10,0
20,1.0,1.0,1.0,0.25,PP,6,6,2,2,10,1.0,5.175,4.6,0.0,0.08299310207366943,0.08897176920318693,0.005908234044909477,1170.4,12.6,59.5,0.6033333333333333,10,0
20,1.0,1.0,1.0,0.25,PP,6,6,4,4,10,1.0,5.6,5.65,0.0,0.016044306755065917,0.02141886305467372,0.005313131492584944,56.1,8.7,28.4,0.8106666666666668,10,0
20,1.0,1.0,1.0,0.25,PP,6,6,6,6,10,1.0,5.7,5.65,0.0,0.006538105010986328,0.011201594474023819,0.004606167320162058,12.7,6.8,17.3,0.8846666666666667,10,0
20,1.0,1.0,1.0,0.25,PP,6,6,8,8,10,1.0,5.7,5.65,0.0,0.006402945518493653,0.01094148763408823,0.004481543879956007,12.7,6.8,17.3,0.8846666666666667,10,0
20,1.0,1.0,1.0,0.25,PP,8,8,2,2,10,1.0,5.4799999999999995,4.775,0.0,0.07115192413330078,0.07642224188104324,0.005207730457186699,1108.1,12.0,54.0,0.64,10,0
20,1.0,1.0,1.0,0.25,PP,8,8,4,4,10,1.0,6.375,5.75,0.0,0.014281225204467774,0.01963872498865223,0.0052900310605764386,58.6,8.1,24.6,0.836,10,0
