N,arrival_rate,method,threshold,max_platoon_size,cases,case_count,optimality_rate,mean_average_delay,median_average_delay,mean_actual_optimality_gap,median_actual_optimality_gap,actual_gap_case_count,actual_gap_availability_rate,bound_check_case_count,bound_violation_count,bound_violation_rate,mean_rule_level_upper_bound,median_rule_level_upper_bound,mean_bound_slack,median_bound_slack,delay_order_check_case_count,delay_order_failure_count,delay_order_failure_rate,mean_number_of_platoons,mean_ordering_variable_count,mean_dimension_reduction_ratio,mean_formation_time_ms,median_formation_time_ms,mean_solve_time_s,mean_end_to_end_time_s,mean_terminal_mip_gap,mean_node_count
20,0.7,CHP,2,NA,20,20,1.0,7.4875,7.375,0.1961538461538463,0.0,13,0.65,0,0,,16.15,16.15,,,0,0,,6.6,16.55,0.8896666666666666,0.0026693249999999997,0.0021585,0.020469963550567627,0.025684122383496117,0.0,234.7
20,0.7,CHP,3,NA,20,20,1.0,7.705,7.875,0.28846153846153866,0.0,13,0.65,0,0,,34.2,34.2,,,0,0,,5.3,10.4,0.9306666666666666,0.002316275,0.0016602499999999998,0.0055329322814941405,0.010294914507626915,0.0,8.5
20,0.7,CHP,4,NA,20,20,1.0,7.705,7.875,0.28846153846153866,0.0,13,0.65,0,0,,52.25,52.25,,,0,0,,4.6,7.85,0.9476666666666667,0.002187675,0.00164025,0.003457629680633545,0.007920223100245762,0.0,1.0
20,0.7,NP,NA,1,20,20,0.65,7.2700000000000005,7.05,0.0,0.0,13,0.65,0,0,,0.0,0.0,,,0,0,,20.0,150.0,0.0,0.002194925,0.00178025,21.100867784023286,21.108907209460412,0.07171484724556967,267434.95
20,0.7,PP,2,2,20,20,1.0,7.3375,7.05,0.07307692307692316,0.0,13,0.65,13,0,0.0,8.5,8.5,8.426923076923076,8.5,13,0,0.0,12.3,56.7,0.6220000000000001,0.002548625,0.00186775,0.20199309587478637,0.20778198075970283,0.0,6648.05
20,0.7,PP,2,3,20,20,1.0,7.390000000000001,7.275,0.13076923076923086,0.0,13,0.65,13,0,0.0,11.05,11.05,10.91923076923077,11.05,13,0,0.0,9.35,32.8,0.7813333333333333,0.002859575,0.0021035000000000003,0.05850836038589478,0.06391857391714711,0.0,1262.35
20,0.7,PP,2,4,20,20,1.0,7.4575000000000005,7.275,0.15000000000000016,0.0,13,0.65,13,0,0.0,12.75,12.75,12.600000000000001,12.75,13,0,0.0,8.65,28.0,0.8133333333333332,0.0025543750000000002,0.0021205,0.03653305768966675,0.04200448271750629,0.0,559.0
20,0.7,PP,2,5,20,20,1.0,7.4875,7.375,0.1961538461538463,0.0,13,0.65,13,0,0.0,13.6,13.6,13.403846153846153,13.6,13,0,0.0,6.6,16.55,0.8896666666666666,0.002637925,0.0022305,0.01717926263809204,0.022303510038555668,0.0,234.7
20,0.7,PP,3,2,20,20,1.0,7.3825,7.05,0.07307692307692316,0.0,13,0.65,13,0,0.0,18.0,18.0,17.926923076923078,18.0,13,0,0.0,12.0,54.0,0.64,0.002906325,0.0023815,0.15568959712982178,0.16127523574298866,0.0,4388.05
20,0.7,PP,3,3,20,20,1.0,7.575,7.6,0.22307692307692323,0.0,13,0.65,13,0,0.0,23.4,23.4,23.176923076923075,23.4,13,0,0.0,8.75,28.65,0.8089999999999999,0.00252105,0.0018305,0.04536031484603882,0.05075197169261556,0.0,718.45
20,0.7,PP,3,4,20,20,1.0,7.6450000000000005,7.875,0.24230769230769253,0.0,13,0.65,13,0,0.0,27.0,27.0,26.757692307692306,27.0,13,0,0.0,8.1,24.6,0.836,0.0026889,0.00183,0.025103771686553956,0.030329276793068786,0.0,250.45
20,0.7,PP,3,5,20,20,1.0,7.705,7.875,0.28846153846153866,0.0,13,0.65,13,0,0.0,28.8,28.8,28.511538461538464,28.8,13,0,0.0,5.3,10.4,0.9306666666666666,0.0029990249999999998,0.00214825,0.005789661407470703,0.010441014150691891,0.0,8.5
20,0.7,PP,4,2,20,20,1.0,7.3825,7.05,0.07307692307692316,0.0,13,0.65,13,0,0.0,27.5,27.5,27.426923076923078,27.5,13,0,0.0,12.0,54.0,0.64,0.0022724,0.00185775,0.14507832527160644,0.15047247812237668,0.0,4044.95
20,0.7,PP,4,3,20,20,1.0,7.575,7.6,0.22307692307692323,0.0,13,0.65,13,0,0.0,35.75,35.75,35.526923076923076,35.75,13,0,0.0,8.4,26.4,0.8240000000000001,0.00299855,0.002434,0.03820323944091797,0.04342536196908574,0.0,577.45
20,0.7,PP,4,4,20,20,1.0,7.6450000000000005,7.875,0.24230769230769253,0.0,13,0.65,13,0,0.0,41.25,41.25,41.00769230769231,41.25,13,0,0.0,8.0,24.0,0.8400000000000001,0.0023133999999999997,0.00179275,0.022262966632843016,0.02735304072903063,0.0,222.0
20,0.7,PP,4,5,20,20,1.0,7.705,7.875,0.28846153846153866,0.0,13,0.65,13,0,0.0,44.0,44.0,43.71153846153846,44.0,13,0,0.0,4.6,7.85,0.9476666666666667,0.00233455,0.001775,0.0035789132118225096,0.008308389507211017,0.0,1.0
