seed,replication,N,L,counts,releases,arrival_rate,h_F,h_S,threshold,max_platoon_size,method,partition,number_of_platoons,ordering_variable_count,vehicle_level_ordering_variable_count,dimension_reduction_ratio,formation_time_ms,formation_repetitions,model_build_time_s,solve_time_s,end_to_end_time_s,status,objective,actual_optimality_gap,actual_gap_reference,terminal_mip_gap,node_count,partition_specific_upper_bound,scaled_partition_specific_upper_bound,rule_level_upper_bound,scaled_rule_level_upper_bound,np_optimal_objective,matching_chp_objective,pp_optimal_objective,D_NP,D_CHP,D_PP,bound_check_available,bound_valid,bound_slack,delay_order_check_available,np_pp_chp_delay_order_holds
10107985014724230268,0,20,4,"[5, 5, 5, 5]","[[1, 1, 2, 4, 5], [3, 3, 4, 4, 6], [2, 3, 4, 4, 7], [1, 4, 4, 4, 4]]",1.0,1,2,,1,NP,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",20,150,150,0.0,0.001242,20,0.015877779573202133,30.00840401649475,30.024362479883568,TIME_LIMIT,8.5,,,0.06798899831722685,287409.0,0.0,0,0.0,0,,,,,,,False,,,False,
10107985014724230268,0,20,4,"[5, 5, 5, 5]","[[1, 1, 2, 4, 5], [3, 3, 4, 4, 6], [2, 3, 4, 4, 7], [1, 4, 4, 4, 4]]",1.0,1,2,2,,CHP,"[[5], [5], [4, 1], [1, 4]]",6,13,150,0.9133333333333333,0.001653,20,0.004857211373746395,0.014930009841918945,0.01985917696285534,OPTIMAL,8.5,,,0.0,68.0,1.45,29,16.15,323,,,,,8.5,,False,,,False,
10107985014724230268,0,20,4,"[5, 5, 5, 5]","[[1, 1, 2, 4, 5], [3, 3, 4, 4, 6], [2, 3, 4, 4, 7], [1, 4, 4, 4, 4]]",1.0,1,2,2,2,PP,"[[2, 2, 1], [2, 2, 1], [2, 2, 1], [1, 2, 2]]",12,54,150,0.64,0.001763,20,0.005591582506895065,0.2441699504852295,0.24983078893910693,OPTIMAL,8.5,,,0.0,8274.0,0.75,15,8.5,170,,8.5,8.5,,8.5,8.5,False,,,False,
10107985014724230268,0,20,4,"[5, 5, 5, 5]","[[1, 1, 2, 4, 5], [3, 3, 4, 4, 6], [2, 3, 4, 4, 7], [1, 4, 4, 4, 4]]",1.0,1,2,2,3,PP,"[[3, 2], [3, 2], [3, 1, 1], [1, 3, 1]]",10,37,150,0.7533333333333333,0.001853,20,0.005928040482103825,0.04517698287963867,0.05116958044804621,OPTIMAL,8.5,,,0.0,1218.0,0.7,14,11.05,221,,8.5,8.5,,8.5,8.5,False,,,False,
10107985014724230268,0,20,4,"[5, 5, 5, 5]","[[1, 1, 2, 4, 5], [3, 3, 4, 4, 6], [2, 3, 4, 4, 7], [1, 4, 4, 4, 4]]",1.0,1,2,2,4,PP,"[[4, 1], [4, 1], [4, 1], [1, 4]]",8,24,150,0.84,0.001833,20,0.004916711710393429,0.023193836212158203,0.02817425520044136,OPTIMAL,8.5,,,0.0,284.0,0.75,15,12.75,255,,8.5,8.5,,8.5,8.5,False,,,False,
10107985014724230268,0,20,4,"[5, 5, 5, 5]","[[1, 1, 2, 4, 5], [3, 3, 4, 4, 6], [2, 3, 4, 4, 7], [1, 4, 4, 4, 4]]",1.0,1,2,2,5,PP,"[[5], [5], [4, 1], [1, 4]]",6,13,150,0.9133333333333333,0.004737,20,0.004798943176865578,0.011594057083129883,0.016452457117866994,OPTIMAL,8.5,,,0.0,68.0,1.45,29,13.6,272,,8.5,8.5,,8.5,8.5,False,,,False,
10107985014724230268,0,20,4,"[5, 5, 5, 5]","[[1, 1, 2, 4, 5], [3, 3, 4, 4, 6], [2, 3, 4, 4, 7], [1, 4, 4, 4, 4]]",1.0,1,2,3,,CHP,"[[5], [5], [5], [5]]",4,6,150,0.96,0.0015375,20,0.004633803851902485,0.002727031707763672,0.007414591385102272,OPTIMAL,8.5,,,0.0,1.0,4.75,95,34.2,684,,,,,8.5,,False,,,False,
10107985014724230268,0,20,4,"[5, 5, 5, 5]","[[1, 1, 2, 4, 5], [3, 3, 4, 4, 6], [2, 3, 4, 4, 7], [1, 4, 4, 4, 4]]",1.0,1,2,3,2,PP,"[[2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 1]]",12,54,150,0.64,0.004472,20,0.0054629165679216385,0.11719393730163574,0.12273197879403544,OPTIMAL,8.5,,,0.0,4216.0,2.55,51,18.0,360,,8.5,8.5,,8.5,8.5,False,,,False,
10107985014724230268,0,20,4,"[5, 5, 5, 5]","[[1, 1, 2, 4, 5], [3, 3, 4, 4, 6], [2, 3, 4, 4, 7], [1, 4, 4, 4, 4]]",1.0,1,2,3,3,PP,"[[3, 2], [3, 2], [3, 2], [3, 2]]",8,24,150,0.84,0.0017725,20,0.004834337159991264,0.03139686584472656,0.03629752081575155,OPTIMAL,8.5,,,0.0,386.0,4.0,80,23.4,468,,8.5,8.5,,8.5,8.5,False,,,False,
10107985014724230268,0,20,4,"[5, 5, 5, 5]","[[1, 1, 2, 4, 5], [3, 3, 4, 4, 6], [2, 3, 4, 4, 7], [1, 4, 4, 4, 4]]",1.0,1,2,3,4,PP,"[[4, 1], [4, 1], [4, 1], [4, 1]]",8,24,150,0.84,0.0017975,20,0.0048672957345843315,0.026812076568603516,0.03174665668134451,OPTIMAL,8.5,,,0.0,196.0,2.55,51,27.0,540,,8.5,8.5,,8.5,8.5,False,,,False,
