N,arrival_rate,method,threshold,max_platoon_size,cases,case_count,optimality_rate,mean_average_delay,median_average_delay,mean_actual_optimality_gap,median_actual_optimality_gap,actual_gap_case_count,actual_gap_availability_rate,bound_check_case_count,bound_violation_count,bound_violation_rate,mean_rule_level_upper_bound,median_rule_level_upper_bound,mean_bound_slack,median_bound_slack,delay_order_check_case_count,delay_order_failure_count,delay_order_failure_rate,mean_number_of_platoons,mean_ordering_variable_count,mean_dimension_reduction_ratio,mean_formation_time_ms,median_formation_time_ms,mean_solve_time_s,mean_end_to_end_time_s,mean_terminal_mip_gap,mean_node_count
24,0.4,CHP,2,NA,20,20,1.0,6.697916666666667,6.375,0.13888888888888898,0.0,3,0.15,0,0,,20.125,20.125,,,0,0,,10.3,40.1,0.8143518518518519,0.0033461249999999997,0.0042565,0.12157280445098877,0.12713379554856646,0.0,2502.85
24,0.4,CHP,3,NA,20,20,1.0,6.9375,6.666666666666666,0.13888888888888898,0.0,3,0.15,0,0,,42.166666666666664,42.166666666666664,,,0,0,,8.0,24.4,0.8870370370370371,0.00267615,0.0018449999999999999,0.025575804710388183,0.030629160668870708,0.0,417.7
24,0.4,CHP,4,NA,20,20,1.0,7.154166666666667,6.770833333333333,0.31944444444444464,0.0,3,0.15,0,0,,64.20833333333333,64.20833333333333,,,0,0,,6.8,17.65,0.9182870370370371,0.0028595,0.0021060000000000002,0.012565910816192627,0.017421913486668585,0.0,117.8
24,0.4,NP,NA,1,20,20,0.15,6.625,6.166666666666667,0.0,0.0,3,0.15,0,0,,0.0,0.0,,,0,0,,24.0,216.0,0.0,0.0019154750000000003,0.0014447499999999999,28.396402049064637,28.406245679432175,0.30331467005895896,316799.55
24,0.4,PP,2,2,20,20,1.0,6.589583333333333,6.104166666666667,0.0,0.0,3,0.15,3,0,0.0,10.5,10.5,10.5,10.5,3,0,0.0,15.2,86.65,0.5988425925925925,0.00285435,0.002018,1.4552915215492248,1.461695764246374,0.0,36073.55
24,0.4,PP,2,3,20,20,1.0,6.6375,6.104166666666667,0.13888888888888898,0.0,3,0.15,3,0,0.0,14.0,14.0,13.861111111111109,14.0,3,0,0.0,12.45,58.4,0.7296296296296296,0.002479225,0.0019355000000000002,0.30396302938461306,0.30996827161644924,0.0,8779.25
24,0.4,PP,2,4,20,20,1.0,6.689583333333333,6.375,0.13888888888888898,0.0,3,0.15,3,0,0.0,15.75,15.75,15.611111111111109,15.75,3,0,0.0,11.6,50.75,0.7650462962962963,0.0028483000000000002,0.0019779999999999997,0.1590061068534851,0.1646868720546712,0.0,5294.55
24,0.4,PP,2,5,20,20,1.0,6.68125,6.375,0.13888888888888898,0.0,3,0.15,3,0,0.0,16.625,16.625,16.48611111111111,16.625,3,0,0.0,10.85,44.35,0.794675925925926,0.0032598,0.0029969999999999997,0.1219139814376831,0.12745705254711012,0.0,2812.25
24,0.4,PP,3,2,20,20,1.0,6.59375,6.104166666666667,0.0,0.0,3,0.15,3,0,0.0,22.0,22.0,22.0,22.0,3,0,0.0,14.15,75.05,0.6525462962962962,0.00301755,0.001983,0.6062803626060486,0.6123876969047273,0.0,20674.0
24,0.4,PP,3,3,20,20,1.0,6.716666666666667,6.104166666666667,0.13888888888888898,0.0,3,0.15,3,0,0.0,29.333333333333332,29.333333333333332,29.194444444444443,29.333333333333332,3,0,0.0,10.95,45.1,0.7912037037037037,0.00278225,0.0019979999999999998,0.10200740098953247,0.10750063319521941,0.0,2939.85
24,0.4,PP,3,4,20,20,1.0,6.804166666666667,6.375,0.13888888888888898,0.0,3,0.15,3,0,0.0,33.0,33.0,32.861111111111114,33.0,3,0,0.0,10.05,37.75,0.8252314814814815,0.002953025,0.00201575,0.05880153179168701,0.06407232148242166,0.0,1263.7
24,0.4,PP,3,5,20,20,1.0,6.833333333333333,6.520833333333334,0.13888888888888898,0.0,3,0.15,3,0,0.0,34.833333333333336,34.833333333333336,34.69444444444445,34.833333333333336,3,0,0.0,9.1,31.25,0.8553240740740741,0.0030551249999999997,0.0019705,0.03687505722045899,0.041943979696827054,0.0,620.55
24,0.4,PP,4,2,20,20,1.0,6.74375,6.104166666666667,0.0,0.0,3,0.15,3,0,0.0,33.5,33.5,33.5,33.5,3,0,0.0,13.35,66.95,0.6900462962962963,0.003153325,0.0020505000000000002,0.38288159370422364,0.38858162649621925,0.0,15225.25
24,0.4,PP,4,3,20,20,1.0,6.914583333333333,6.125,0.25,0.0,3,0.15,3,0,0.0,44.666666666666664,44.666666666666664,44.416666666666664,44.666666666666664,3,0,0.0,10.05,37.8,0.825,0.0029372,0.00207075,0.07536824941635131,0.08097635064691813,0.0,1511.75
24,0.4,PP,4,4,20,20,1.0,7.002083333333333,6.375,0.19444444444444464,0.0,3,0.15,3,0,0.0,50.25,50.25,50.05555555555555,50.25,3,0,0.0,9.3,32.4,0.85,0.0027086,0.001923,0.04385010004043579,0.04909158734335051,0.0,706.35
24,0.4,PP,4,5,20,20,1.0,7.010416666666667,6.625,0.13888888888888898,0.0,3,0.15,3,0,0.0,53.041666666666664,53.041666666666664,52.90277777777777,53.041666666666664,3,0,0.0,8.7,28.4,0.8685185185185185,0.0032587,0.003075,0.030211043357849122,0.035414331734629226,0.0,340.2
