N,arrival_rate,method,threshold,max_platoon_size,cases,case_count,optimality_rate,mean_average_delay,median_average_delay,mean_actual_optimality_gap,median_actual_optimality_gap,actual_gap_case_count,actual_gap_availability_rate,bound_check_case_count,bound_violation_count,bound_violation_rate,mean_rule_level_upper_bound,median_rule_level_upper_bound,mean_bound_slack,median_bound_slack,delay_order_check_case_count,delay_order_failure_count,delay_order_failure_rate,mean_number_of_platoons,mean_ordering_variable_count,mean_dimension_reduction_ratio,mean_formation_time_ms,median_formation_time_ms,mean_solve_time_s,mean_end_to_end_time_s,mean_terminal_mip_gap,mean_node_count
12,0.4,CHP,2,NA,20,20,1.0,3.1125,3.0833333333333335,0.06666666666666665,0.0,20,1.0,0,0,,8.25,8.25,,,0,0,,7.3,19.7,0.6351851851851852,0.002088675,0.001958,0.01109095811843872,0.016386336039476323,0.0,58.8
12,0.4,CHP,3,NA,20,20,1.0,3.1166666666666667,3.0833333333333335,0.07083333333333332,0.0,20,1.0,0,0,,18.333333333333332,18.333333333333332,,,0,0,,6.35,14.95,0.7231481481481482,0.00203335,0.0018552500000000001,0.006534171104431152,0.011501618654409265,0.0,17.1
12,0.4,CHP,4,NA,20,20,1.0,3.2666666666666666,3.125,0.2208333333333333,0.0,20,1.0,0,0,,28.416666666666668,28.416666666666668,,,0,0,,5.3,10.55,0.8046296296296296,0.002315475,0.0023032499999999997,0.003657889366149902,0.008366181396273828,0.0,4.9
12,0.4,NP,NA,1,20,20,1.0,3.0458333333333334,3.0833333333333335,0.0,0.0,20,1.0,0,0,,0.0,0.0,,,0,0,,12.0,54.0,0.0,0.0016037249999999999,0.00153475,0.10773696899414062,0.11420855478998897,0.0,2124.9
12,0.4,PP,2,2,20,20,1.0,3.091666666666667,3.0833333333333335,0.04583333333333335,0.0,20,1.0,20,0,0.0,4.5,4.5,4.454166666666667,4.5,20,0,0.0,8.5,27.0,0.5,0.00216525,0.0019955,0.02117389440536499,0.026673880423870328,0.0,186.05
12,0.4,PP,2,3,20,20,1.0,3.1125,3.0833333333333335,0.06666666666666665,0.0,20,1.0,20,0,0.0,6.0,6.0,5.933333333333334,6.0,20,0,0.0,7.3,19.7,0.6351851851851852,0.0023422250000000003,0.0024285,0.011147820949554443,0.016509178555518124,0.0,58.8
12,0.4,PP,2,4,20,20,1.0,3.1125,3.0833333333333335,0.06666666666666665,0.0,20,1.0,20,0,0.0,6.75,6.75,6.683333333333333,6.75,20,0,0.0,7.3,19.7,0.6351851851851852,0.0022604,0.00203825,0.01086195707321167,0.015968995248916533,0.0,58.8
12,0.4,PP,2,5,20,20,1.0,3.1125,3.0833333333333335,0.06666666666666665,0.0,20,1.0,20,0,0.0,6.75,6.75,6.683333333333333,6.75,20,0,0.0,7.3,19.7,0.6351851851851852,0.002182375,0.0020005,0.010704445838928222,0.015915172740177393,0.0,58.8
12,0.4,PP,3,2,20,20,1.0,3.095833333333333,3.0833333333333335,0.05000000000000001,0.0,20,1.0,20,0,0.0,10.0,10.0,9.95,10.0,20,0,0.0,8.15,24.9,0.538888888888889,0.0026278,0.0025440000000000003,0.01617903709411621,0.021432590464842603,0.0,120.9
12,0.4,PP,3,3,20,20,1.0,3.1166666666666667,3.0833333333333335,0.07083333333333332,0.0,20,1.0,20,0,0.0,13.333333333333334,13.333333333333334,13.2625,13.333333333333334,20,0,0.0,6.35,14.95,0.7231481481481482,0.002506725,0.0023435,0.0066331267356872555,0.011683783750490999,0.0,17.1
12,0.4,PP,3,4,20,20,1.0,3.1166666666666667,3.0833333333333335,0.07083333333333332,0.0,20,1.0,20,0,0.0,15.0,15.0,14.929166666666665,15.0,20,0,0.0,6.35,14.95,0.7231481481481482,0.002283,0.00236625,0.00664132833480835,0.011672660431437373,0.0,17.1
12,0.4,PP,3,5,20,20,1.0,3.1166666666666667,3.0833333333333335,0.07083333333333332,0.0,20,1.0,20,0,0.0,15.0,15.0,14.929166666666665,15.0,20,0,0.0,6.35,14.95,0.7231481481481482,0.0022199,0.002236,0.006501412391662598,0.011493580648186707,0.0,17.1
12,0.4,PP,4,2,20,20,1.0,3.191666666666667,3.0833333333333335,0.14583333333333334,0.0,20,1.0,20,0,0.0,15.5,15.5,15.354166666666666,15.5,20,0,0.0,8.1,24.6,0.5444444444444445,0.0023518750000000002,0.0020257499999999998,0.015225088596343994,0.020303379470996856,0.0,114.65
12,0.4,PP,4,3,20,20,1.0,3.2666666666666666,3.125,0.2208333333333333,0.0,20,1.0,20,0,0.0,20.666666666666668,20.666666666666668,20.445833333333333,20.666666666666668,20,0,0.0,5.3,10.55,0.8046296296296296,0.002638175,0.002503,0.0037972450256347655,0.008878921734948206,0.0,4.9
12,0.4,PP,4,4,20,20,1.0,3.2666666666666666,3.125,0.2208333333333333,0.0,20,1.0,20,0,0.0,23.25,23.25,23.029166666666665,23.25,20,0,0.0,5.3,10.55,0.8046296296296296,0.002382825,0.0023785,0.0037595391273498534,0.008624389431310605,0.0,4.9
12,0.4,PP,4,5,20,20,1.0,3.2666666666666666,3.125,0.2208333333333333,0.0,20,1.0,20,0,0.0,23.25,23.25,23.029166666666665,23.25,20,0,0.0,5.3,10.55,0.8046296296296296,0.0022772749999999996,0.00226375,0.003827357292175293,0.008740713778335834,0.0,4.9
12,0.7,CHP,2,NA,20,20,1.0,4.370833333333334,4.541666666666667,0.06666666666666665,0.0,20,1.0,0,0,,8.25,8.25,,,0,0,,5.5,11.5,0.787037037037037,0.002379275,0.00238325,0.006613743305206299,0.01144892077620914,0.0,32.4
12,0.7,CHP,3,NA,20,20,1.0,4.554166666666666,4.541666666666667,0.24999999999999994,0.0,20,1.0,0,0,,18.333333333333332,18.333333333333332,,,0,0,,4.5,7.6,0.8592592592592592,0.00234935,0.0019377499999999998,0.0030718207359313964,0.007339349431315636,0.0,1.0
12,0.7,CHP,4,NA,20,20,1.0,4.6875,4.875,0.3833333333333333,0.0,20,1.0,0,0,,28.416666666666668,28.416666666666668,,,0,0,,4.15,6.5,0.8796296296296295,0.0025696,0.0033825,0.0024497389793395998,0.006410667334674812,0.0,1.0
12,0.7,NP,NA,1,20,20,1.0,4.304166666666666,4.416666666666667,0.0,0.0,20,1.0,0,0,,0.0,0.0,,,0,0,,12.0,54.0,0.0,0.0019344,0.0017552499999999999,0.15439136028289796,0.1601229753309715,0.0,4276.75
12,0.7,PP,2,2,20,20,1.0,4.345833332642639,4.541666666666667,0.04166666597597155,0.0,20,1.0,20,0,0.0,4.5,4.5,4.4583333340240285,4.5,20,0,0.0,8.1,24.6,0.5444444444444445,0.002005375,0.0015452500000000002,0.0254209041595459,0.03031958672684646,0.0,270.7
12,0.7,PP,2,3,20,20,1.0,4.370833333333334,4.541666666666667,0.06666666666666665,0.0,20,1.0,20,0,0.0,6.0,6.0,5.933333333333334,6.0,20,0,0.0,5.5,11.5,0.787037037037037,0.0020475750000000003,0.0015297499999999999,0.0068459153175354,0.011376773255798292,0.0,32.4
12,0.7,PP,2,4,20,20,1.0,4.370833333333334,4.541666666666667,0.06666666666666665,0.0,20,1.0,20,0,0.0,6.75,6.75,6.683333333333333,6.75,20,0,0.0,5.5,11.5,0.787037037037037,0.0026647750000000003,0.00205075,0.0064635157585144045,0.010803597588435793,0.0,32.4
12,0.7,PP,2,5,20,20,1.0,4.370833333333334,4.541666666666667,0.06666666666666665,0.0,20,1.0,20,0,0.0,6.75,6.75,6.683333333333333,6.75,20,0,0.0,5.5,11.5,0.787037037037037,0.002135275,0.0015022500000000001,0.006141364574432373,0.01049344752363231,0.0,32.4
12,0.7,PP,3,2,20,20,1.0,4.445833332642638,4.541666666666667,0.14166666597597155,0.0,20,1.0,20,0,0.0,10.0,10.0,9.858333334024028,10.0,20,0,0.0,8.0,24.0,0.5555555555555556,0.002501725,0.0021632500000000002,0.023038792610168456,0.02758696401190445,0.0,221.15
12,0.7,PP,3,3,20,20,1.0,4.554166666666666,4.541666666666667,0.24999999999999994,0.0,20,1.0,20,0,0.0,13.333333333333334,13.333333333333334,13.083333333333334,13.333333333333334,20,0,0.0,4.5,7.6,0.8592592592592592,0.002143125,0.00148475,0.003139948844909668,0.007395234669508933,0.0,1.0
12,0.7,PP,3,4,20,20,1.0,4.554166666666666,4.541666666666667,0.24999999999999994,0.0,20,1.0,20,0,0.0,15.0,15.0,14.75,15.0,20,0,0.0,4.5,7.6,0.8592592592592592,0.001803875,0.001502,0.002990567684173584,0.007213860793069721,0.0,1.0
12,0.7,PP,3,5,20,20,1.0,4.554166666666666,4.541666666666667,0.24999999999999994,0.0,20,1.0,20,0,0.0,15.0,15.0,14.75,15.0,20,0,0.0,4.5,7.6,0.8592592592592592,0.002558425,0.00270675,0.0028927087783813476,0.006992188503896881,0.0,1.0
12,0.7,PP,4,2,20,20,1.0,4.5416666659759715,4.708333333333334,0.23749999930930485,0.0,20,1.0,20,0,0.0,15.5,15.5,15.262500000690697,15.5,20,0,0.0,8.0,24.0,0.5555555555555556,0.002409325,0.00174725,0.022213804721832275,0.026703024183418706,0.0,215.45
12,0.7,PP,4,3,20,20,1.0,4.6875,4.875,0.3833333333333333,0.0,20,1.0,20,0,0.0,20.666666666666668,20.666666666666668,20.283333333333335,20.666666666666668,20,0,0.0,4.15,6.5,0.8796296296296295,0.00218345,0.0015095,0.0026107072830200196,0.006862499435977649,0.0,1.0
12,0.7,PP,4,4,20,20,1.0,4.6875,4.875,0.3833333333333333,0.0,20,1.0,20,0,0.0,23.25,23.25,22.866666666666667,23.25,20,0,0.0,4.15,6.5,0.8796296296296295,0.0016271750000000002,0.00148225,0.0025116562843322753,0.0065866626946744205,0.0,1.0
12,0.7,PP,4,5,20,20,1.0,4.6875,4.875,0.3833333333333333,0.0,20,1.0,20,0,0.0,23.25,23.25,22.866666666666667,23.25,20,0,0.0,4.15,6.5,0.8796296296296295,0.001968475,0.00152275,0.002548956871032715,0.006837241290078497,0.0,1.0
12,1.0,CHP,2,NA,20,20,1.0,5.129166666666666,5.25,0.15,0.0,20,1.0,0,0,,8.25,8.25,,,0,0,,4.55,7.75,0.8564814814814815,0.002201875,0.0016825,0.0040899872779846195,0.008846734040676357,0.0,6.2
12,1.0,CHP,3,NA,20,20,1.0,5.133333333333334,5.25,0.15416666666666665,0.0,20,1.0,0,0,,18.333333333333332,18.333333333333332,,,0,0,,4.2,6.6,0.8777777777777777,0.00207845,0.001833,0.0029375672340393065,0.007530305831408214,0.0,1.0
12,1.0,CHP,4,NA,20,20,1.0,5.166666666666666,5.25,0.1875,0.0,20,1.0,0,0,,28.416666666666668,28.416666666666668,,,0,0,,4.05,6.15,0.8861111111111111,0.0025025,0.002436,0.002632761001586914,0.007135963895278573,0.0,1.0
12,1.0,NP,NA,1,20,20,1.0,4.979166666666666,5.125,0.0,0.0,20,1.0,0,0,,0.0,0.0,,,0,0,,12.0,54.0,0.0,0.001633675,0.00120425,0.1743723511695862,0.1804601028050988,0.0,4539.35
12,1.0,PP,2,2,20,20,1.0,5.033333333333333,5.125,0.054166666666666655,0.0,20,1.0,20,0,0.0,4.5,4.5,4.445833333333334,4.5,20,0,0.0,8.05,24.3,0.55,0.00275685,0.0026865,0.02704576253890991,0.0319952014322835,0.0,253.15
12,1.0,PP,2,3,20,20,1.0,5.129166666666666,5.25,0.15,0.0,20,1.0,20,0,0.0,6.0,6.0,5.85,6.0,20,0,0.0,4.55,7.75,0.8564814814814815,0.00238615,0.002078,0.003918969631195068,0.008732643545654917,0.0,6.2
12,1.0,PP,2,4,20,20,1.0,5.129166666666666,5.25,0.15,0.0,20,1.0,20,0,0.0,6.75,6.75,6.6,6.75,20,0,0.0,4.55,7.75,0.8564814814814815,0.002063425,0.00173025,0.003910374641418457,0.008671632814894605,0.0,6.2
12,1.0,PP,2,5,20,20,1.0,5.129166666666666,5.25,0.15,0.0,20,1.0,20,0,0.0,6.75,6.75,6.6,6.75,20,0,0.0,4.55,7.75,0.8564814814814815,0.002093375,0.001923,0.0036872386932373046,0.008196831535818816,0.0,6.2
12,1.0,PP,3,2,20,20,1.0,5.033333333333333,5.125,0.054166666666666655,0.0,20,1.0,20,0,0.0,10.0,10.0,9.945833333333333,10.0,20,0,0.0,8.0,24.0,0.5555555555555556,0.002182925,0.00217825,0.027446460723876954,0.03254001410479765,0.0,231.25
12,1.0,PP,3,3,20,20,1.0,5.133333333333334,5.25,0.15416666666666665,0.0,20,1.0,20,0,0.0,13.333333333333334,13.333333333333334,13.179166666666669,13.333333333333334,20,0,0.0,4.2,6.6,0.8777777777777777,0.00206185,0.001923,0.0033046841621398927,0.00805683060975728,0.0,1.0
12,1.0,PP,3,4,20,20,1.0,5.133333333333334,5.25,0.15416666666666665,0.0,20,1.0,20,0,0.0,15.0,15.0,14.845833333333335,15.0,20,0,0.0,4.2,6.6,0.8777777777777777,0.002226675,0.0019155,0.0029826998710632325,0.007433295318927574,0.0,1.0
12,1.0,PP,3,5,20,20,1.0,5.133333333333334,5.25,0.15416666666666665,0.0,20,1.0,20,0,0.0,15.0,15.0,14.845833333333335,15.0,20,0,0.0,4.2,6.6,0.8777777777777777,0.0022561,0.00194525,0.0027495503425598146,0.007140138343841887,0.0,1.0
12,1.0,PP,4,2,20,20,1.0,5.033333333333333,5.125,0.054166666666666655,0.0,20,1.0,20,0,0.0,15.5,15.5,15.445833333333335,15.5,20,0,0.0,8.0,24.0,0.5555555555555556,0.002333275,0.00203825,0.025739943981170653,0.03071512662335708,0.0,223.1
12,1.0,PP,4,3,20,20,1.0,5.166666666666666,5.25,0.1875,0.0,20,1.0,20,0,0.0,20.666666666666668,20.666666666666668,20.479166666666668,20.666666666666668,20,0,0.0,4.05,6.15,0.8861111111111111,0.00205235,0.001745,0.002600884437561035,0.007205817842886304,0.0,1.0
12,1.0,PP,4,4,20,20,1.0,5.166666666666666,5.25,0.1875,0.0,20,1.0,20,0,0.0,23.25,23.25,23.0625,23.25,20,0,0.0,4.05,6.15,0.8861111111111111,0.002277475,0.001993,0.0024548649787902834,0.006846775412709093,0.0,1.0
12,1.0,PP,4,5,20,20,1.0,5.166666666666666,5.25,0.1875,0.0,20,1.0,20,0,0.0,23.25,23.25,23.0625,23.25,20,0,0.0,4.05,6.15,0.8861111111111111,0.00229725,0.001958,0.002343904972076416,0.006686023905319333,0.0,1.0
16,0.4,CHP,2,NA,20,20,1.0,4.428125,4.40625,0.05625,0.0,20,1.0,0,0,,12.1875,12.1875,,,0,0,,8.3,25.6,0.7333333333333333,0.0027308,0.0028015,0.023276364803314208,0.029000288317141104,0.0,341.8
