N,arrival_rate,method,threshold,delta,max_platoon_size,Pmax,case_count,optimality_rate,mean_average_delay_or_incumbent,median_average_delay_or_incumbent,mean_terminal_mip_gap,mean_solve_time_s,mean_end_to_end_time_s,mean_model_construction_time_s,mean_node_count,mean_number_of_platoons,mean_ordering_variable_count,mean_dimension_reduction_ratio,delay_order_check_case_count,delay_order_failure_count
20,0.4,CHP,2,2,NA,NA,1,1.0,8.25,8.25,0.0,0.008517026901245117,0.013060468623840332,0.0044893743470311165,1.0,6.0,13.0,0.9133333333333333,0,0
20,0.4,CHP,4,4,NA,NA,1,1.0,9.25,9.25,0.0,0.0031249523162841797,0.006837035578438282,0.0036637960001826286,1.0,4.0,6.0,0.96,0,0
20,0.4,CHP,6,6,NA,NA,1,1.0,9.25,9.25,0.0,0.003030061721801758,0.006949086197616577,0.0038717202842235565,1.0,4.0,6.0,0.96,0,0
20,0.4,CHP,8,8,NA,NA,1,1.0,9.25,9.25,0.0,0.0026328563690185547,0.006739678168889999,0.004061225801706314,1.0,4.0,6.0,0.96,0,0
20,0.4,NP,NA,NA,1,1,1,1.0,8.25,8.25,0.0,5.0523741245269775,5.066900291933391,0.014455943368375301,66200.0,20.0,150.0,0.0,0,0
20,0.4,PP,2,2,2,2,1,1.0,8.25,8.25,0.0,0.08269906044006348,0.08755885731735277,0.00480752345174551,1965.0,12.0,54.0,0.64,1,0
20,0.4,PP,2,2,4,4,1,1.0,8.25,8.25,0.0,0.0185699462890625,0.022808544682405472,0.004184052348136902,214.0,8.0,24.0,0.84,1,0
20,0.4,PP,2,2,6,6,1,1.0,8.25,8.25,0.0,0.005877017974853516,0.009740242688949585,0.003812771290540695,1.0,6.0,13.0,0.9133333333333333,1,0
20,0.4,PP,2,2,8,8,1,1.0,8.25,8.25,0.0,0.005628108978271484,0.00974289625691843,0.004062097519636154,1.0,6.0,13.0,0.9133333333333333,1,0
20,0.4,PP,4,4,2,2,1,1.0,8.8,8.8,0.0,0.11049413681030273,0.11531669478531599,0.004774774424731731,3184.0,12.0,54.0,0.64,1,0
20,0.4,PP,4,4,4,4,1,1.0,8.85,8.85,0.0,0.019549131393432617,0.023922786680306434,0.0043187253177165985,216.0,8.0,24.0,0.84,1,0
20,0.4,PP,4,4,6,6,1,1.0,9.25,9.25,0.0,0.0032248497009277344,0.0068761090485568045,0.003601151518523693,1.0,4.0,6.0,0.96,1,0
20,0.4,PP,4,4,8,8,1,1.0,9.25,9.25,0.0,0.002971172332763672,0.0065026995405063626,0.0034833932295441628,1.0,4.0,6.0,0.96,1,0
20,0.4,PP,6,6,2,2,1,1.0,8.8,8.8,0.0,0.11059188842773438,0.1148673914467926,0.004224332980811596,3184.0,12.0,54.0,0.64,1,0
20,0.4,PP,6,6,4,4,1,1.0,8.85,8.85,0.0,0.019899845123291016,0.02391359286521864,0.0039622969925403595,216.0,8.0,24.0,0.84,1,0
20,0.4,PP,6,6,6,6,1,1.0,9.25,9.25,0.0,0.0026810169219970703,0.006280014468545437,0.003547361120581627,1.0,4.0,6.0,0.96,1,0
20,0.4,PP,6,6,8,8,1,1.0,9.25,9.25,0.0,0.002668142318725586,0.006840065757725716,0.004121117293834686,1.0,4.0,6.0,0.96,1,0
20,0.4,PP,8,8,2,2,1,1.0,8.8,8.8,0.0,0.11163592338562012,0.1161410951548171,0.004457474686205387,3184.0,12.0,54.0,0.64,1,0
20,0.4,PP,8,8,4,4,1,1.0,8.85,8.85,0.0,0.020331859588623047,0.024534577339667796,0.00414743646979332,216.0,8.0,24.0,0.84,1,0
20,0.4,PP,8,8,6,6,1,1.0,9.25,9.25,0.0,0.003156900405883789,0.006854001620700359,0.0036469008773565292,1.0,4.0,6.0,0.96,1,0
20,0.4,PP,8,8,8,8,1,1.0,9.25,9.25,0.0,0.0032100677490234375,0.007322339623812199,0.004058913327753544,1.0,4.0,6.0,0.96,1,0
20,0.7,CHP,2,2,NA,NA,1,1.0,8.35,8.35,0.0,0.09708499908447266,0.10220003553723812,0.005058754235506058,2147.0,11.0,45.0,0.7,0,0
20,0.7,CHP,4,4,NA,NA,1,1.0,9.75,9.75,0.0,0.004356861114501953,0.008172208756921769,0.003762505017220974,1.0,5.0,9.0,0.94,0,0
20,0.7,CHP,6,6,NA,NA,1,1.0,10.85,10.85,0.0,0.002925872802734375,0.006376509477080822,0.0034051956608891487,1.0,4.0,6.0,0.96,0,0
20,0.7,CHP,8,8,NA,NA,1,1.0,10.85,10.85,0.0,0.0031709671020507812,0.0068863247479591366,0.003667420707643032,1.0,4.0,6.0,0.96,0,0
20,0.7,NP,NA,NA,1,1,1,1.0,8.35,8.35,0.0,3.8753738403320312,3.8814036275668067,0.00597689114511013,59739.0,20.0,150.0,0.0,0,0
20,0.7,PP,2,2,2,2,1,1.0,8.35,8.35,0.0,0.18089604377746582,0.18594565664604235,0.004997502081096172,7005.0,13.0,63.0,0.5800000000000001,1,0
20,0.7,PP,2,2,4,4,1,1.0,8.35,8.35,0.0,0.0958399772644043,0.10046212918423175,0.004569443874061108,2147.0,11.0,45.0,0.7,1,0
20,0.7,PP,2,2,6,6,1,1.0,8.35,8.35,0.0,0.09539198875427246,0.09987607863767195,0.004432558082044125,2147.0,11.0,45.0,0.7,1,0
20,0.7,PP,2,2,8,8,1,1.0,8.35,8.35,0.0,0.09400200843811035,0.09875523437507486,0.004698770120739937,2147.0,11.0,45.0,0.7,1,0
20,0.7,PP,4,4,2,2,1,1.0,8.35,8.35,0.0,0.11073017120361328,0.11502492949717236,0.004248490557074547,2927.0,12.0,54.0,0.64,1,0
20,0.7,PP,4,4,4,4,1,1.0,9.75,9.75,0.0,0.03178811073303223,0.0360693601940527,0.004226336255669594,240.0,8.0,24.0,0.84,1,0
20,0.7,PP,4,4,6,6,1,1.0,9.75,9.75,0.0,0.004338979721069336,0.008470714093798161,0.004079654812812805,1.0,5.0,9.0,0.94,1,0
20,0.7,PP,4,4,8,8,1,1.0,9.75,9.75,0.0,0.004381895065307617,0.007697631881656647,0.0032700924202799797,1.0,5.0,9.0,0.94,1,0
