instance_id,N,L,counts,releases,h_F,h_S,threshold,max_platoon_size,method,partition,number_of_platoons,ordering_variable_count,formation_time_ms,scaled_actual_optimality_gap,actual_optimality_gap,scaled_partition_specific_upper_bound,partition_specific_upper_bound,scaled_rule_level_upper_bound,rule_level_upper_bound,bound_chain_valid
0,5,2,"[3, 2]","[[0, 0, 0], [0, 0]]",1,2,0,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.0034654513001441956,0,0,0,0,0,0,True
0,5,2,"[3, 2]","[[0, 0, 0], [0, 0]]",1,2,0,2,PP,"[[2, 1], [2]]",3,2,0.0023730099201202393,0,0,0,0,0,0,True
0,5,2,"[3, 2]","[[0, 0, 0], [0, 0]]",1,2,0,3,PP,"[[3], [2]]",2,1,0.0016223639249801636,0,0,0,0,0,0,True
0,5,2,"[3, 2]","[[0, 0, 0], [0, 0]]",1,2,0,5,PP,"[[3], [2]]",2,1,0.0012423843145370483,0,0,0,0,0,0,True
0,5,2,"[3, 2]","[[0, 0, 0], [0, 0]]",1,2,1,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.0013923272490501404,0,0,0,0,0,0,True
0,5,2,"[3, 2]","[[0, 0, 0], [0, 0]]",1,2,1,2,PP,"[[2, 1], [2]]",3,2,0.001321546733379364,0,0,0,0,0,0,True
0,5,2,"[3, 2]","[[0, 0, 0], [0, 0]]",1,2,1,3,PP,"[[3], [2]]",2,1,0.0010617077350616455,0,0,0,0,0,0,True
0,5,2,"[3, 2]","[[0, 0, 0], [0, 0]]",1,2,1,5,PP,"[[3], [2]]",2,1,0.0009415671229362488,0,0,0,0,0,0,True
0,5,2,"[3, 2]","[[0, 0, 0], [0, 0]]",1,2,2,1,PP,"[[1, 1, 1], [1, 1]]",5,6,0.0010309740900993347,0,0,0,0,0,0,True
0,5,2,"[3, 2]","[[0, 0, 0], [0, 0]]",1,2,2,2,PP,"[[2, 1], [2]]",3,2,0.0009806826710700989,0,0,0,0,4,4/5,True
0,5,2,"[3, 2]","[[0, 0, 0], [0, 0]]",1,2,2,3,PP,"[[3], [2]]",2,1,0.0009415671229362488,0,0,0,0,6,6/5,True
0,5,2,"[3, 2]","[[0, 0, 0], [0, 0]]",1,2,2,5,PP,"[[3], [2]]",2,1,0.0010123476386070251,0,0,0,0,8,8/5,True
