threshold,max_platoon_size,cases,valid_cases,mean_scaled_actual_gap,mean_scaled_partition_bound,mean_scaled_rule_bound,mean_number_of_platoons,mean_ordering_variable_count
0,1,400,400,0.0,0.0,0.0,5.0,6.0
0,2,400,400,0.0,0.0,0.0,3.8,3.52
0,3,400,400,0.0,0.0,0.0,3.6,3.2
0,5,400,400,0.0,0.0,0.0,3.6,3.2
1,1,400,400,0.0,0.0,0.0,5.0,6.0
1,2,400,400,0.0,0.0,0.0,3.3,2.6
1,3,400,400,0.0,0.0,0.0,2.7,1.82
1,5,400,400,0.0,0.0,0.0,2.7,1.82
2,1,400,400,0.0,0.0,0.0,5.0,6.0
2,2,400,400,0.075,0.35,2.0,3.1,2.2
2,3,400,400,0.095,0.425,3.0,2.2,1.21
2,5,400,400,0.095,0.425,4.0,2.2,1.21
3,1,400,400,0.0,0.0,0.0,5.0,6.0
3,2,400,400,0.2775,1.1,10.0,3.0,2.0
3,3,400,400,0.3175,1.325,15.0,2.0,1.0
3,5,400,400,0.3175,1.325,20.0,2.0,1.0
